G_mM,theta,p0_H,p1_H,p2_H,p3_H,p0_R,p1_R,p2_R,p3_R,UT_H,UR,UT_R
3.510560289402777159e-03,9.987131872968380009e-01,2.130816340408929269e-09,4.961268350036047187e-06,3.850509180336904053e-03,9.961445274204967504e-01,2.921055819001161040e-09,5.807564334568889030e-06,3.848814217649291266e-03,9.961453752969602338e-01,8.767984190506041831e-01,1.129729093495344169e-03,7.486989633941723010e-01
3.548750002940659256e-03,9.987108308040801852e-01,2.142544047428115124e-09,4.979444014983340792e-06,3.857542272097335377e-03,9.961374761413436252e-01,2.937132890582876149e-09,5.828838061664223645e-06,3.855841100237396117e-03,9.961383271245680682e-01,8.755959507506040351e-01,1.130248409212619232e-03,7.476718727841791257e-01
3.587355164184854051e-03,9.987084405502588691e-01,2.154483656124174058e-09,4.997913985678466033e-06,3.864676057801067800e-03,9.961303238737295729e-01,2.953500450187766199e-09,5.850456246043513810e-06,3.862968576230008631e-03,9.961311780140233996e-01,8.743829174398791704e-01,1.130777986705903309e-03,7.466357572184162406e-01
3.626380292593112294e-03,9.987060159905261081e-01,2.166639859654888330e-09,5.016683930743422728e-06,3.871912160640609678e-03,9.961230689887887735e-01,2.970164931488212330e-09,5.872425521929248957e-06,3.870198266882886491e-03,9.961239263374301878e-01,8.731592520971275251e-01,1.131318017361852488e-03,7.455905594268079639e-01
3.665829956788200540e-03,9.987035565702290230e-01,2.179017475799111283e-09,5.035759647361605961e-06,3.879252232965780915e-03,9.961157098283693889e-01,2.987132938996496812e-09,5.894752673995814743e-06,3.877531822565860944e-03,9.961165704376271357e-01,8.719248878104446376e-01,1.131868695789682881e-03,7.445362222322431389e-01
3.705708775092773216e-03,9.987010617247177313e-01,2.191621450795830440e-09,5.055147064627436840e-06,3.886697956853198826e-03,9.961082447044606880e-01,3.004411253325325986e-09,5.917444641286025160e-06,3.884970923330188092e-03,9.961091086276172568e-01,8.706797577909628494e-01,1.132430219864919482e-03,7.434726885622184867e-01
3.746021416070001355e-03,9.986985308791508364e-01,2.204456863308757324e-09,5.074852246981757871e-06,3.894251044682937521e-03,9.961006718986131769e-01,3.022006836623176986e-09,5.940508521231616093e-06,3.892517279484216438e-03,9.961015391899876725e-01,8.694237953867578472e-01,1.133002790773417374e-03,7.423999014607097768e-01
3.786772599070143634e-03,9.986959634482962533e-01,2.217528928532220822e-09,5.094881397752597546e-06,3.901913239728948841e-03,9.960929896613444079e-01,3.039926838203251474e-09,5.963951573796899158e-06,3.900172632182753556e-03,9.960938603763165311e-01,8.681569340970231030e-01,1.133586613055643589e-03,7.413178041002710383e-01
3.827967094783021971e-03,9.986933588363270387e-01,2.230843002445033649e-09,5.115240862806556585e-06,3.909686316764264015e-03,9.960851962115299107e-01,3.058178600375490624e-09,5.987781225752095433e-06,3.907938754031248588e-03,9.960860704065643834e-01,8.668791075865115436e-01,1.134181894651203762e-03,7.402263397943629197e-01
3.869609725796509248e-03,9.986907164366155554e-01,2.244404586200399415e-09,5.135937134287406382e-06,3.917572082671000495e-03,9.960772897357901279e-01,3.076769664463387642e-09,6.012005075046510666e-06,3.915817449694037472e-03,9.960781674684613396e-01,8.655902497002524454e-01,1.134788846943612537e-03,7.391254520099155290e-01
3.911705367161131923e-03,9.986880356315196439e-01,2.258219330689471375e-09,5.156976854494110769e-06,3.925572377074087668e-03,9.960692683878520359e-01,3.095707777059965483e-09,6.036630895346290668e-06,3.923810556526729880e-03,9.960701497168700236e-01,8.642902944785361141e-01,1.135407684805290118e-03,7.380150843801203120e-01
3.954258946960752426e-03,9.986853157921685709e-01,2.272293041244333705e-09,5.178366819840324726e-06,3.933689072975483057e-03,9.960611302879116558e-01,3.115000896476670063e-09,6.061666640669811661e-06,3.931919945209816532e-03,9.960620152731485266e-01,8.629791761721772314e-01,1.136038626642774585e-03,7.368951807174594082e-01
3.997275446889526906e-03,9.986825562782413179e-01,2.286631682524283532e-09,5.200113984956530056e-06,3.941924077411085650e-03,9.960528735219722485e-01,3.134657199441704316e-09,6.087120450187561033e-06,3.940147520404136197e-03,9.960537622244884925e-01,8.616568292580499833e-01,1.136681894442137823e-03,7.357656850269678195e-01
4.040759902835072866e-03,9.986797564377409842e-01,2.301241383572169293e-09,5.222225466908411074e-06,3.950279332119079750e-03,9.960444961411726306e-01,3.154685088026060686e-09,6.113000653151008503e-06,3.948495221415473412e-03,9.960453886232460974e-01,8.603231884549040753e-01,1.137337713814595740e-03,7.346265415197344995e-01
4.084717405468049622e-03,9.986769156067668574e-01,2.316128443038803514e-09,5.244708549522223276e-06,3.958756814215054660e-03,9.960359961611069401e-01,3.175093196813752217e-09,6.139315773964508971e-06,3.956965022871670491e-03,9.960368924862610385e-01,8.589781887394553062e-01,1.138006314042293255e-03,7.334776946266390318e-01
4.129153100838080064e-03,9.986740331092790468e-01,2.331299334608568248e-09,5.267570687860750906e-06,3.967358536889134535e-03,9.960273715611236423e-01,3.195890400335418364e-09,6.166074537417275102e-06,3.965558935416484826e-03,9.960282717941557618e-01,8.576217653627593585e-01,1.138687928124256258e-03,7.323190890123288943e-01
4.174072190976220974e-03,9.986711082568582309e-01,2.346760712619950588e-09,5.290819512833248196e-06,3.976086550117502970e-03,9.960186202836089908e-01,3.217085820773508682e-09,6.193285874077764256e-06,3.974279006419621611e-03,9.960195244906204781e-01,8.562538538668612587e-01,1.139382792822492317e-03,7.311506695894340879e-01
4.219479934503951590e-03,9.986681403484638508e-01,2.362519417870428194e-09,5.314462835916366482e-06,3.984942941378360678e-03,9.960097402332662719e-01,3.238688835917847043e-09,6.220958925814912822e-06,3.983127320690208265e-03,9.960106484816950712e-01,8.548743901017309410e-01,1.140091148708227567e-03,7.299723815330231291e-01
4.265381647248774055e-03,9.986651286701814234e-01,2.378582483662450269e-09,5.338508654063857872e-06,3.993929836400150757e-03,9.960007292763632947e-01,3.260709087458076751e-09,6.249103051548412511e-06,3.992106001225086478e-03,9.960016416350143675e-01,8.534833102424785878e-01,1.140813240208263940e-03,7.287841702953014034e-01
4.311782702866565412e-03,9.986620724949721861e-01,2.394957142028321151e-09,5.362965154703768080e-06,4.003049399902608267e-03,9.959915852399855440e-01,3.283156489516296977e-09,6.277727833094812322e-06,4.001217209947806157e-03,9.959925017790625112e-01,8.520805508068528544e-01,1.141549315651436578e-03,7.275859816205476616e-01
4.358688533470625633e-03,9.986589710824101962e-01,2.411650830221095262e-09,5.387840720945579104e-06,4.012303836375030047e-03,9.959823059112531407e-01,3.306041237539925601e-09,6.306843081253634923e-06,4.010463148482984290e-03,9.959832267023944752e-01,8.506660486730234227e-01,1.142299627315163406e-03,7.263777615602975413e-01
4.406104630267645463e-03,9.986558236784187637e-01,2.428671197416831600e-09,5.413143936906739481e-06,4.021695390856303530e-03,9.959728890365355802e-01,3.329373817497521093e-09,6.336458842050007777e-06,4.019846058937740635e-03,9.959738141528462485e-01,8.492397410976472161e-01,1.143064431472061264e-03,7.251594564887642314e-01
4.454036544200534221e-03,9.986526295149998900e-01,2.446026111670712022e-09,5.438883593213282703e-06,4.031226349735568364e-03,9.959633323206451561e-01,3.353165015410276347e-09,6.366585403165220390e-06,4.029368224698696467e-03,9.959642618367330336e-01,8.478015657342186095e-01,1.143843988436613231e-03,7.239310131185062724e-01
4.502489886598255893e-03,9.986493878099580446e-01,2.463723667129248032e-09,5.465068692668394466e-06,4.040899041569527908e-03,9.959536334260141732e-01,3.377425927238201362e-09,6.397233300568412911e-06,4.039031971247050018e-03,9.959545674180263486e-01,8.463514606517058558e-01,1.144638562611869975e-03,7.226923785163369418e-01
4.551470329832764568e-03,9.986460977666181682e-01,2.481772191508866191e-09,5.491708456094409918e-06,4.050715837916731531e-03,9.959437899718549536e-01,3.402167969131542561e-09,6.428413325351284145e-06,4.048839666990602763e-03,9.959447285175160314e-01,8.448893643534692854e-01,1.145448422536167162e-03,7.214435001194762220e-01
