PII_uM,Kp_uM,Kq_uM,gain_R_over_H,max_absolute_GS_fraction_difference
5.000000000000000000e-01,5.389561679446264186e-02,4.054260618103502356e-01,8.339783312106775481e-01,2.190430578194957345e-02
5.000000000000000000e-01,5.389561679446264186e-02,4.447337317522747635e-01,8.339783312106775481e-01,2.173819909576590881e-02
5.000000000000000000e-01,5.389561679446264186e-02,4.878524367060187439e-01,8.339783312106776592e-01,2.157945233332936308e-02
5.000000000000000000e-01,5.389561679446264186e-02,5.351516716806418161e-01,8.339783312106775481e-01,2.142926087215057951e-02
5.000000000000000000e-01,5.389561679446264186e-02,5.870367556966068490e-01,8.339783312106776592e-01,2.128655735196749443e-02
5.000000000000000000e-01,5.389561679446264186e-02,6.439523050662339099e-01,8.339783312106774371e-01,2.115090112831041758e-02
5.000000000000000000e-01,5.389561679446264186e-02,7.063860434225154306e-01,8.339783312106776592e-01,2.102393045873551802e-02
5.000000000000000000e-01,5.389561679446264186e-02,7.748729811453863858e-01,8.339783312106775481e-01,2.090308469373092226e-02
5.000000000000000000e-01,5.389561679446264186e-02,8.499999999999999778e-01,8.339783312106776592e-01,2.079090845833975187e-02
5.000000000000000000e-01,7.420257786237444142e-02,2.800000000000000266e-01,8.143510888922605995e-01,2.236102502487291588e-02
5.000000000000000000e-01,7.420257786237444142e-02,3.071471141608240196e-01,8.143510888922607105e-01,2.215435548898658791e-02
5.000000000000000000e-01,7.420257786237444142e-02,3.369262490618652461e-01,8.143510888922607105e-01,2.195538775875105486e-02
5.000000000000000000e-01,7.420257786237444142e-02,3.695925895870819655e-01,8.143510888922605995e-01,2.176432280147733156e-02
5.000000000000000000e-01,7.420257786237444142e-02,4.054260618103502356e-01,8.143510888922607105e-01,2.158123780690890392e-02
5.000000000000000000e-01,7.420257786237444142e-02,4.447337317522747635e-01,8.143510888922605995e-01,2.140608600646976001e-02
5.000000000000000000e-01,7.420257786237444142e-02,4.878524367060187439e-01,8.143510888922608215e-01,2.124009566193296727e-02
5.000000000000000000e-01,7.420257786237444142e-02,5.351516716806418161e-01,8.143510888922608215e-01,2.108218334586131615e-02
5.000000000000000000e-01,7.420257786237444142e-02,5.870367556966068490e-01,8.143510888922607105e-01,2.093178269899220734e-02
5.000000000000000000e-01,7.420257786237444142e-02,6.439523050662339099e-01,8.143510888922605995e-01,2.079082670441123604e-02
5.000000000000000000e-01,7.420257786237444142e-02,7.063860434225154306e-01,8.143510888922608215e-01,2.065692690219533834e-02
5.000000000000000000e-01,7.420257786237444142e-02,7.748729811453863858e-01,8.143510888922608215e-01,2.053164856065314847e-02
5.000000000000000000e-01,7.420257786237444142e-02,8.499999999999999778e-01,8.143510888922607105e-01,2.041316930427583554e-02
5.000000000000000000e-01,1.021608599901475400e-01,2.800000000000000266e-01,7.969124641325808778e-01,2.101023259508139063e-02
5.000000000000000000e-01,1.021608599901475400e-01,3.071471141608240196e-01,7.969124641325808778e-01,2.080358696421868991e-02
5.000000000000000000e-01,1.021608599901475400e-01,3.369262490618652461e-01,7.969124641325810998e-01,2.060479184091568161e-02
5.000000000000000000e-01,1.021608599901475400e-01,3.695925895870819655e-01,7.969124641325809888e-01,2.041398956361584194e-02
5.000000000000000000e-01,1.021608599901475400e-01,4.054260618103502356e-01,7.969124641325810998e-01,2.023172476073309412e-02
5.000000000000000000e-01,1.021608599901475400e-01,4.447337317522747635e-01,7.969124641325810998e-01,2.005824573031389502e-02
5.000000000000000000e-01,1.021608599901475400e-01,4.878524367060187439e-01,7.969124641325810998e-01,1.989285435100274224e-02
5.000000000000000000e-01,1.021608599901475400e-01,5.351516716806418161e-01,7.969124641325809888e-01,1.973530191077532692e-02
5.000000000000000000e-01,1.021608599901475400e-01,5.870367556966068490e-01,7.969124641325810998e-01,1.958738532044701497e-02
5.000000000000000000e-01,1.021608599901475400e-01,6.439523050662339099e-01,7.969124641325808778e-01,1.944674223735587404e-02
5.000000000000000000e-01,1.021608599901475400e-01,7.063860434225154306e-01,7.969124641325810998e-01,1.931479093449806061e-02
5.000000000000000000e-01,1.021608599901475400e-01,7.748729811453863858e-01,7.969124641325810998e-01,1.919020853718833575e-02
5.000000000000000000e-01,1.021608599901475400e-01,8.499999999999999778e-01,7.969124641325812108e-01,1.907389508649748322e-02
5.000000000000000000e-01,1.406533521420781918e-01,2.800000000000000266e-01,7.820419055614347137e-01,1.883668714502095831e-02
5.000000000000000000e-01,1.406533521420781918e-01,3.071471141608240196e-01,7.820419055614348247e-01,1.864123402084805203e-02
5.000000000000000000e-01,1.406533521420781918e-01,3.369262490618652461e-01,7.820419055614347137e-01,1.845357897080990295e-02
5.000000000000000000e-01,1.406533521420781918e-01,3.695925895870819655e-01,7.820419055614347137e-01,1.827382741896832474e-02
5.000000000000000000e-01,1.406533521420781918e-01,4.054260618103502356e-01,7.820419055614347137e-01,1.810197051133988211e-02
5.000000000000000000e-01,1.406533521420781918e-01,4.447337317522747635e-01,7.820419055614348247e-01,1.793788642721416693e-02
5.000000000000000000e-01,1.406533521420781918e-01,4.878524367060187439e-01,7.820419055614348247e-01,1.778223345075979900e-02
5.000000000000000000e-01,1.406533521420781918e-01,5.351516716806418161e-01,7.820419055614348247e-01,1.763492531200339108e-02
5.000000000000000000e-01,1.406533521420781918e-01,5.870367556966068490e-01,7.820419055614348247e-01,1.749479038704315759e-02
5.000000000000000000e-01,1.406533521420781918e-01,6.439523050662339099e-01,7.820419055614347137e-01,1.736354611307622253e-02
5.000000000000000000e-01,1.406533521420781918e-01,7.063860434225154306e-01,7.820419055614348247e-01,1.723913290531764453e-02
5.000000000000000000e-01,1.406533521420781918e-01,7.748729811453863858e-01,7.820419055614348247e-01,1.712296353289177731e-02
5.000000000000000000e-01,1.406533521420781918e-01,8.499999999999999778e-01,7.820419055614348247e-01,1.701307305687760341e-02
5.000000000000000000e-01,1.936491673103708511e-01,2.800000000000000266e-01,7.697989651266125000e-01,1.619165185230697634e-02
5.000000000000000000e-01,1.936491673103708511e-01,3.071471141608240196e-01,7.697989651266126110e-01,1.601580528458934616e-02
5.000000000000000000e-01,1.936491673103708511e-01,3.369262490618652461e-01,7.697989651266127220e-01,1.584698045008214873e-02
5.000000000000000000e-01,1.936491673103708511e-01,3.695925895870819655e-01,7.697989651266126110e-01,1.568523063505566917e-02
5.000000000000000000e-01,1.936491673103708511e-01,4.054260618103502356e-01,7.697989651266127220e-01,1.553126862754805604e-02
5.000000000000000000e-01,1.936491673103708511e-01,4.447337317522747635e-01,7.697989651266126110e-01,1.538476002374511431e-02
5.000000000000000000e-01,1.936491673103708511e-01,4.878524367060187439e-01,7.697989651266127220e-01,1.524522317010879036e-02
5.000000000000000000e-01,1.936491673103708511e-01,5.351516716806418161e-01,7.697989651266128330e-01,1.511305726881428946e-02
5.000000000000000000e-01,1.936491673103708511e-01,5.870367556966068490e-01,7.697989651266127220e-01,1.498856006862392398e-02
5.000000000000000000e-01,1.936491673103708511e-01,6.439523050662339099e-01,7.697989651266127220e-01,1.487029480865553754e-02
5.000000000000000000e-01,1.936491673103708511e-01,7.063860434225154306e-01,7.697989651266128330e-01,1.476014872940178968e-02
5.000000000000000000e-01,1.936491673103708511e-01,7.748729811453863858e-01,7.697989651266128330e-01,1.465561980516238982e-02
5.000000000000000000e-01,1.936491673103708511e-01,8.499999999999999778e-01,7.697989651266128330e-01,1.455869131785103576e-02
5.000000000000000000e-01,2.666129134421205693e-01,2.800000000000000266e-01,7.600075663835773598e-01,1.342074863962283704e-02
5.000000000000000000e-01,2.666129134421205693e-01,3.071471141608240196e-01,7.600075663835773598e-01,1.326963122677515816e-02
5.000000000000000000e-01,2.666129134421205693e-01,3.369262490618652461e-01,7.600075663835773598e-01,1.312474260619733712e-02
5.000000000000000000e-01,2.666129134421205693e-01,3.695925895870819655e-01,7.600075663835772488e-01,1.298611249150394276e-02
5.000000000000000000e-01,2.666129134421205693e-01,4.054260618103502356e-01,7.600075663835773598e-01,1.285368423969224239e-02
5.000000000000000000e-01,2.666129134421205693e-01,4.447337317522747635e-01,7.600075663835773598e-01,1.272784026309425887e-02
5.000000000000000000e-01,2.666129134421205693e-01,4.878524367060187439e-01,7.600075663835774709e-01,1.260872146319858000e-02
5.000000000000000000e-01,2.666129134421205693e-01,5.351516716806418161e-01,7.600075663835773598e-01,1.249544013218761851e-02
5.000000000000000000e-01,2.666129134421205693e-01,5.870367556966068490e-01,7.600075663835774709e-01,1.238879438769713293e-02
5.000000000000000000e-01,2.666129134421205693e-01,6.439523050662339099e-01,7.600075663835773598e-01,1.228816743930816191e-02
5.000000000000000000e-01,2.666129134421205693e-01,7.063860434225154306e-01,7.600075663835774709e-01,1.219347384060609496e-02
5.000000000000000000e-01,2.666129134421205693e-01,7.748729811453863858e-01,7.600075663835772488e-01,1.210465594991982918e-02
5.000000000000000000e-01,2.666129134421205693e-01,8.499999999999999778e-01,7.600075663835773598e-01,1.202155203389154714e-02
5.000000000000000000e-01,3.670681707614493750e-01,2.800000000000000266e-01,7.523569202509724496e-01,1.079261961241495538e-02
