# Re F(i omega) of the auxiliary chain at the identical-independent steady state (companion manuscript); omega in units of the mean exit rate
n,omega,ReF
1,68.56782936641739,0.0010408811987678845
1,71.81039092537357,0.0009491093852697086
1,75.20629269592408,0.0008654202672759848
1,78.76278611187062,0.0007891034189042578
1,82.48746552614581,0.0007195106127235729
1,86.38828442740453,0.0006560504154368152
1,90.47357242349293,0.0005981832461581238
1,94.75205302806548,0.0005454168588882036
1,99.23286228832545,0.0004973022137430005
1,103.9255682936713,0.0004534297043133906
1,108.84019160690055,0.0004134257111093609
1,113.98722666160525,0.0003769494534680007
1,119.37766417144357,0.00034369011455470666
1,125.0230145991456,0.0003133642161508021
1,130.93533273536096,0.00028571322185289016
1,137.1272434398401,0.00026050134907873446
1,143.61196859990804,0.0002375135719148158
1,150.40335536380252,0.00021655379834029098
1,157.51590570916244,0.0001974432067651799
1,164.96480740980206,0.00018001872808015573
1,172.76596646690382,0.00016413166059814355
1,180.93604107387165,0.00014964640634185233
1,189.49247718738235,0.0001364393181243484
1,198.45354578058033,0.00012439764776184248
1,207.83838185797595,0.00011341858660551818
1,217.6670253153459,0.00010340839032962901
1,227.96046373189822,9.428158061186576e-05
1,238.7406771860647,8.596021697793166e-05
1,250.03068519063265,7.837323267323448e-05
1,261.8545958474233,7.145582894574343e-05
1,274.23765732649525,6.514892262243777e-05
1,287.2063117797828,5.9398642307639804e-05
1,300.7882518043102,5.415586892532076e-05
1,315.0124795755328,4.9375816727148525e-05
1,329.90936877709424,4.50176511931355e-05
1,345.5107294592218,4.104414059824535e-05
1,361.84987596427504,3.742133827466798e-05
1,378.9616980644716,3.411829287380819e-05
1,396.8827354637166,3.1106784165291224e-05
1,415.6512558225988,2.836108212045385e-05
1,435.3073364731892,2.5857727239064765e-05
1,455.89294999810596,2.357533024077707e-05
1,477.45205385661313,2.1494389420562143e-05
1,500.030684249109,1.9597124106929265e-05
1,523.6770544204655,1.7867322814613118e-05
1,548.4416576121015,1.629020478244314e-05
1,574.3773748826587,1.4852293729106236e-05
1,601.5395880274832,1.3541302743780292e-05
1,629.9862978380693,1.2346029330645436e-05
1,659.7782479539546,1.1256259712877359e-05
1,690.9790545715645,1.0262681579331634e-05
1,723.6553422869665,9.356804531290841e-06
1,757.876886362593,8.530887544599963e-06
1,793.7167617217559,7.777872836234323e-06
1,831.2514989890632,7.091325564534401e-06
1,870.5612479099874,6.465378849518366e-06
1,911.7299484984921,5.8946836464235375e-06
1,954.8455102782303,5.374363042931485e-06
1,1000.0,4.899970587834979e-06
2,0.001,0.9876540801331309
2,0.0010472898382363584,0.9876540568145644
2,0.001096816005273138,0.9876540312383886
2,0.0011486842567375536,0.9876540031860311
2,0.0012030053494233243,0.9876539724177584
2,0.0012598952777950272,0.9876539386706266
2,0.001319475521676706,0.9876539016562349
2,0.0013818733056536322,0.9876538610582609
2,0.0014472218707411344,0.987653816529757
2,0.0015156607589006028,0.987653767690186
2,0.0015873361110102086,0.9876537141221683
2,0.001662400978926612,0.9876536553679158
2,0.0017410156523040153,0.9876535909253193
2,0.0018233480008684403,0.9876535202436577
