lambda,G_mM,mean_UMP,UT_capacity,UR_capacity,E0,E1,E2
1.000000000000000000e+00,6.885825532199987137e-03,2.995422195761700213e+00,7.793782409636557107e-01,1.191097875875520885e-03,7.799592720760862852e-01,2.063875132185044314e-01,1.365321470540933890e-02
1.000000000000000000e+00,6.981067855528631100e-03,2.995399239064851393e+00,7.768692022644212436e-01,1.193226408982399952e-03,7.774442518188913187e-01,2.085674802970489961e-01,1.398826788405965055e-02
1.000000000000000000e+00,7.077627537264130284e-03,2.995375812879068178e+00,7.743378278516355184e-01,1.195403593567946794e-03,7.749068425997175380e-01,2.107621780904346820e-01,1.433097930984778348e-02
1.000000000000000000e+00,7.175522798645877012e-03,2.995351906488247007e+00,7.717840704509698613e-01,1.197630409491122526e-03,7.723469970315341993e-01,2.129714997457327341e-01,1.468150322273304234e-02
1.000000000000000000e+00,7.274772112943031326e-03,2.995327508910956116e+00,7.692078866441233176e-01,1.199907851570464375e-03,7.697646715925310357e-01,2.151953321900021698e-01,1.503999621746693674e-02
1.000000000000000000e+00,7.375394208940539743e-03,2.995302608893521068e+00,7.666092369634328607e-01,1.202236929639240778e-03,7.671598267209537303e-01,2.174335560267707801e-01,1.540661725227548441e-02
1.000000000000000000e+00,7.477408074473324701e-03,2.995277194902937978e+00,7.639880859868023455e-01,1.204618668593620320e-03,7.645324269102600212e-01,2.196860454332988377e-01,1.578152765644117578e-02
1.000000000000000000e+00,7.580832960009404459e-03,2.995251255119588674e+00,7.613444024328867021e-01,1.207054108433550706e-03,7.618824408045296037e-01,2.219526680587323442e-01,1.616489113673800354e-02
1.000000000000000000e+00,7.685688382282486464e-03,2.995224777429764007e+00,7.586781592564758592e-01,1.209544304296047892e-03,7.592098412940767593e-01,2.242332849232518410e-01,1.655687378267146209e-02
1.000000000000000000e+00,7.791994127974924932e-03,2.995197749417989108e+00,7.559893337440096728e-01,1.212090326480591345e-03,7.565146056111922146e-01,2.265277503183317498e-01,1.695764407047598357e-02
1.000000000000000000e+00,7.899770257451498023e-03,2.995170158359142576e+00,7.532779076091680182e-01,1.214693260466308006e-03,7.537967154259609392e-01,2.288359117082192640e-01,1.736737286581987658e-02
1.000000000000000000e+00,8.009037108544923150e-03,2.995141991210362065e+00,7.505438670884564401e-01,1.217354206920635493e-03,7.510561569420765027e-01,2.311576096327543073e-01,1.778623342516909289e-02
1.000000000000000000e+00,8.119815300393674190e-03,2.995113234602738039e+00,7.477872030367331835e-01,1.220074281699144508e-03,7.482929209925947012e-01,2.334926776116464375e-01,1.821440139575895498e-02
1.000000000000000000e+00,8.232125737332944559e-03,2.995083874832780602e+00,7.450079110225892309e-01,1.222854615836193454e-03,7.455070031355426341e-01,2.358409420503337350e-01,1.865205481412368638e-02
1.000000000000000000e+00,8.345989612839331204e-03,2.995053897853664271e+00,7.422059914235271672e-01,1.225696355526099089e-03,7.426984037493223889e-01,2.382022221475458834e-01,1.909937410313189074e-02
1.000000000000000000e+00,8.461428413530164977e-03,2.995023289266229849e+00,7.393814495208437254e-01,1.228600662094486489e-03,7.398671281278214051e-01,2.405763298047015886e-01,1.955654206747700283e-02
1.000000000000000000e+00,8.578463923218156151e-03,2.994992034309755802e+00,7.365342955941518444e-01,1.231568711959492822e-03,7.370131865751593514e-01,2.429630695372702320e-01,2.002374388757036106e-02
1.000000000000000000e+00,8.697118227022047204e-03,2.994960117852471626e+00,7.336645450154566372e-01,1.234601696582488190e-03,7.341365944999882487e-01,2.453622383882277380e-01,2.050116711178414514e-02
1.000000000000000000e+00,8.817413715534202709e-03,2.994927524381830075e+00,7.307722183427023399e-01,1.237700822407982858e-03,7.312373725092625731e-01,2.477736258437454320e-01,2.098900164699209897e-02
1.000000000000000000e+00,8.939373089045798970e-03,2.994894237994501385e+00,7.278573414127096353e-01,1.240867310792380645e-03,7.283155465013979590e-01,2.501970137512474213e-01,2.148743974735466827e-02
1.000000000000000000e+00,9.063019361830503343e-03,2.994860242386124582e+00,7.249199454334116499e-01,1.244102397921244534e-03,7.253711477587274636e-01,2.526321762399769133e-01,2.199667600129565775e-02
1.000000000000000000e+00,9.188375866487305879e-03,2.994825520840755928e+00,7.219600670753066884e-01,1.247407334714731916e-03,7.224042130391720162e-01,2.550788796442112205e-01,2.251690731661675285e-02
1.000000000000000000e+00,9.315466258343558029e-03,2.994790056220058894e+00,7.189777485620300057e-01,1.250783386720866371e-03,7.194147846670281288e-01,2.575368824292744718e-01,2.304833290369746185e-02
1.000000000000000000e+00,9.444314519918776962e-03,2.994753830952190388e+00,7.159730377599589080e-01,1.254231833996301455e-03,7.164029106227867150e-01,2.600059351204871416e-01,2.359115425672613300e-02
1.000000000000000000e+00,9.574944965450284118e-03,2.994716827020395211e+00,7.129459882667522619e-01,1.257753970974246445e-03,7.133686446318837637e-01,2.624857802352063563e-01,2.414557513290991816e-02
1.000000000000000000e+00,9.707382245481390934e-03,2.994679025951295870e+00,7.098966594987300427e-01,1.261351106319208827e-03,7.103120462522879430e-01,2.649761522181019457e-01,2.471180152960997939e-02
1.000000000000000000e+00,9.841651351513110157e-03,2.994640408802862197e+00,7.068251167769949994e-01,1.265024562768228295e-03,7.072331809608276565e-01,2.674767773798226722e-01,2.529004165934979967e-02
1.000000000000000000e+00,9.977777620720086615e-03,2.994600956152068783e+00,7.037314314121955183e-01,1.268775676958257010e-03,7.041321202381563005e-01,2.699873738392004063e-01,2.588050592264336952e-02
1.000000000000000000e+00,1.011578674073191839e-02,2.994560648082214893e+00,7.006156807878305415e-01,1.272605799239372171e-03,7.010089416522553574e-01,2.725076514691521790e-01,2.648340687859255735e-02
1.000000000000000000e+00,1.025570475448045644e-02,2.994519464169906442e+00,6.974779484419911801e-01,1.276516293473477183e-03,6.978637289403711863e-01,2.750373118464281563e-01,2.709895921320081350e-02
1.000000000000000000e+00,1.039755806511425372e-02,2.994477383471690679e+00,6.943183241474357725e-01,1.280508536818180049e-03,6.946965720892803731e-01,2.775760482053661327e-01,2.772737970535346652e-02
1.000000000000000000e+00,1.054137344098096327e-02,2.994434384510333391e+00,6.911369039898915823e-01,1.284583919495529795e-03,6.915075674137791673e-01,2.801235453958068056e-01,2.836888719041408616e-02
1.000000000000000000e+00,1.068717802067863099e-02,2.994390445260725730e+00,6.879337904444763341e-01,1.288743844545288267e-03,6.882968176332863175e-01,2.826794798453263757e-01,2.902370252138730330e-02
1.000000000000000000e+00,1.083499931817685606e-02,2.994345543135418453e+00,6.847090924501328946e-01,1.292989727562441097e-03,6.850644319464556098e-01,2.852435195259442891e-01,2.969204852760006993e-02
1.000000000000000000e+00,1.098486522800883047e-02,2.994299654969764468e+00,6.814629254819626336e-01,1.297322996418640581e-03,6.818105261036814246e-01,2.878153239254646611e-01,3.037414997085393156e-02
1.000000000000000000e+00,1.113680403053514574e-02,2.994252757006671484e+00,6.781954116213511075e-01,1.301745090967285556e-03,6.785352224773919527e-01,2.903945440236065378e-01,3.107023349900163087e-02
1.000000000000000000e+00,1.129084439728040776e-02,2.994204824880931426e+00,6.749066796237735977e-01,1.306257462731955522e-03,6.752386501300158272e-01,2.929808222730809208e-01,3.178052759690323109e-02
1.000000000000000000e+00,1.144701539634368666e-02,2.994155833603151962e+00,6.715968649841660421e-01,1.310861574577916900e-03,6.719209448795095962e-01,2.955737925857722659e-01,3.250526253471806154e-02
1.000000000000000000e+00,1.160534649788383908e-02,2.994105757543239932e+00,6.682661099997486698e-01,1.315558900366439483e-03,6.685822493623305718e-01,2.981730803241792183e-01,3.324467031349018220e-02
1.000000000000000000e+00,1.176586757968058408e-02,2.994054570413450911e+00,6.649145638301916517e-01,1.320350924591652672e-03,6.652227130937461430e-01,3.007783022982677967e-01,3.399898460798612271e-02
1.000000000000000000e+00,1.192860893277261289e-02,2.994002245250988903e+00,6.615423825550041936e-01,1.325239141999705805e-03,6.618424925253595381e-01,3.033890667678937891e-01,3.476844070674665887e-02
1.000000000000000000e+00,1.209360126717366930e-02,2.993948754400131307e+00,6.581497292280341638e-01,1.330225057189991008e-03,6.584417510997399026e-01,3.060049734509450725e-01,3.555327544931505268e-02
1.000000000000000000e+00,1.226087571766760337e-02,2.993894069493888477e+00,6.547367739289667865e-01,1.335310184198199371e-03,6.550206593020427848e-01,3.086256135373513509e-01,3.635372716060587817e-02
1.000000000000000000e+00,1.243046384968367508e-02,2.993838161435162348e+00,6.513036938117015007e-01,1.340496046061007054e-03,6.515793947085034565e-01,3.112505697091144108e-01,3.717003558238211880e-02
1.000000000000000000e+00,1.260239766525310390e-02,2.993781000377405910e+00,6.478506731494981796e-01,1.345784174362190961e-03,6.481181420316899366e-01,3.138794161665010574e-01,3.800244180180902681e-02
1.000000000000000000e+00,1.277670960904798286e-02,2.993722555704771082e+00,6.443779033767755848e-01,1.351176108759990103e-03,6.446370931624012535e-01,3.165117186605430066e-01,3.885118817705576766e-02
1.000000000000000000e+00,1.295343257450370239e-02,2.993662796011717919e+00,6.408855831274500314e-01,1.356673396495543076e-03,6.411364472080975929e-01,3.191470345319837310e-01,3.971651825991869694e-02
1.000000000000000000e+00,1.313259991002613605e-02,2.993601689082088235e+00,6.373739182696980254e-01,1.362277591882259196e-03,6.376164105277464245e-01,3.217849127568107037e-01,4.059867671544285794e-02
1.000000000000000000e+00,1.331424542528461194e-02,2.993539201867611244e+00,6.338431219370364023e-01,1.367990255775981693e-03,6.340771967629754702e-01,3.244248939985044378e-01,4.149790923852009900e-02
1.000000000000000000e+00,1.349840339759191682e-02,2.993475300465848310e+00,6.302934145556036150e-01,1.373812955025826080e-03,6.305190268654198293e-01,3.270665106671344913e-01,4.241446246744563775e-02
1.000000000000000000e+00,1.368510857837263242e-02,2.993409950097539074e+00,6.267250238675331486e-01,1.379747261905606755e-03,6.269421291201513480e-01,3.297092869854301722e-01,4.334858389441843124e-02
1.000000000000000000e+00,1.387439619972084988e-02,2.993343115083349382e+00,6.231381849503138115e-01,1.385794753525762058e-03,6.233467391650844291e-01,3.323527390619433475e-01,4.430052177297221644e-02
1.000000000000000000e+00,1.406630198104860847e-02,2.993274758819997938e+00,6.195331402320265468e-01,1.391957011225729204e-03,6.197331000062492601e-01,3.349963749714218730e-01,4.527052502232891545e-02
1.000000000000000000e+00,1.426086213582634585e-02,2.993204843755750133e+00,6.159101395023520720e-01,1.398235619946728995e-03,6.161014620288265409e-01,3.376396948425047784e-01,4.625884312866872933e-02
