model,G_mM,GS_fraction,AT_capacity,AR_capacity,E,EG,EP,EU,EGP,EPU
reference,1.8707710225419991,0.9805508487861176,4.264413411390018,0.08458431439767523,0.026942313513548217,0.0032309550898325465,0.3554785089121673,0.08458431439767523,0.2507612721000454,0.2790026359867315
reference,1.8966468710905284,0.9810559278403832,4.3167630045991565,0.08335617525405287,0.026765343969394863,0.0032541285828983665,0.3555372870958619,0.08335617525405287,0.254271750801803,0.276815314295989
reference,1.9228806252993647,0.9815434665755354,4.369212699429161,0.08215685089011161,0.02659004709286425,0.0032775311782478433,0.35554463711915774,0.08215685089011161,0.2577940777320971,0.2746368559875214
reference,1.9494772355940544,0.9820141939308401,4.421758195120575,0.0809854744194849,0.026416359672721403,0.003301159732643281,0.3555012425563268,0.0809854744194849,0.2613278957726091,0.2724678678462145
reference,1.9764417208726908,0.9824688054253404,4.474395262324817,0.07984120565923881,0.026244220892144586,0.0033250110963482862,0.3554077990247613,0.07984120565923881,0.26487285140123473,0.27030891192627227
reference,2.003779169453012,0.9829079647808833,4.527119742516983,0.07872323030519819,0.026073572263651437,0.0033490821137905484,0.35526501328557436,0.07872323030519819,0.2684285947424892,0.2681605072892962
reference,2.0314947400325747,0.9833323054644504,4.579927547199814,0.07763075913144127,0.025904357564474075,0.003373369624112315,0.3550736023541483,0.07763075913144127,0.27199477960289226,0.26602313172293174
reference,2.0595936626622318,0.9837424321536662,4.632814656912067,0.0765630272136844,0.025736522772518686,0.0033978704616180575,0.35483429262264565,0.0765630272136844,0.2755710634920199,0.2638972234375135
reference,2.0880812397330715,0.9841389221291993,4.685777120054595,0.07551929317621825,0.025570016003031167,0.003422581456128449,0.35454781899635773,0.07551929317621825,0.2791571076299288,0.2617831827383356
reference,2.116962846976988,0.9845223265976225,4.7388110515475566,0.07449883846200175,0.02540478744607544,0.003447499433249302,0.35421492404561605,0.07449883846200175,0.28275257694168365,0.25968137367137384
reference,2.146243934481114,0.9848931719481526,4.791912631332459,0.07350096662547048,0.025240789304917695,0.003472621214563806,0.35383635717484657,0.07350096662547048,0.2863571400397464,0.2575921256404551
reference,2.1759300277162823,0.9852519609465353,4.84507810273248,0.07252500264758373,0.025077975735397856,0.0034979436177559305,0.3534128738101986,0.07252500264758373,0.2899704691949911,0.2555157349940728
reference,2.206026728579693,0.9855991738692031,4.898303770684534,0.07157029227260316,0.024916302786358552,0.0035234634566725415,0.35294523460703614,0.07157029227260316,0.2935922402971162,0.25345246658021336
reference,2.2365397164520235,0.9859352695806899,4.951585999856461,0.07063620136606936,0.024755728341190514,0.0035491775413313818,0.3524342046784349,0.07063620136606936,0.29722213280524173,0.25140255526773203
reference,2.267474749269159,0.9862606865571548,5.004921212662429,0.06972211529342859,0.024596212060544742,0.003575082677881715,0.35188055284568753,0.06972211529342859,0.3008598296894678,0.24936620743298976
reference,2.2988376646087274,0.9865758438587265,5.058305887189366,0.06882743831874738,0.02443771532625249,0.00360117566852405,0.3512850509116859,0.06882743831874738,0.3045050173641697,0.24734360241062056
reference,2.3306343807916834,0.98688114205326,5.111736555047088,0.06795159302294379,0.024280201186485936,0.0036274533113950735,0.3506484729579131,0.06795159302294379,0.3081573856138066,0.2453348939074556
reference,2.362870897999126,0.9871769640939682,5.165209799154232,0.06709401974096048,0.02412363430218532,0.003653912400423535,0.3499715946656527,0.06709401974096048,0.3118166275119973,0.24334021137878067
reference,2.3955532994045496,0.9874636761532765,5.218722251471895,0.06625417601730418,0.023967980894771573,0.003680549725162516,0.34925519266190164,0.06625417601730418,0.3154824393346116,0.24135966136624842
reference,2.42868775232177,0.9877416284151286,5.272270590696391,0.06543153607937566,0.023813208695156993,0.0037073620706032095,0.34850004389035394,0.06543153607937566,0.31915452046761,0.23939332879690026
reference,2.462280509368729,0.9880111558278659,5.325851539922121,0.06462559032802109,0.023659286894061316,0.0037343462169750125,0.3477069250077134,0.06462559032802109,0.32283257331034204,0.23744127824288727
reference,2.496337909647384,0.9882725788196973,5.379461864285057,0.06383584484474147,0.023506186093635507,0.0037614989395364407,0.3468766118054907,0.06383584484474147,0.32651630317499464,0.23550355514160123
reference,2.5308663799399223,0.9885262039786717,5.433098368596923,0.06306182091500427,0.023353878260390846,0.0037888170083610916,0.3460098786573383,0.06306182091500427,0.3302054181828618,0.2335801869760437
reference,2.565872435921538,0.9887723246989744,5.486757894979641,0.062303054567111486,0.023202336679426738,0.0038162971881225863,0.3451074979918878,0.062303054567111486,0.3338996291580816,0.23167118441536996
reference,2.601362683389951,0.9890112217952707,5.540437320509018,0.06155909612609163,0.02305153590994774,0.0038439362378821446,0.34417023979096895,0.06155909612609163,0.3375986495194561,0.22977654241565346
reference,2.6373438195119574,0.9892431640867374,5.594133554876332,0.06082950978209158,0.022901451742056017,0.0038717309108822298,0.34319887111300906,0.06082950978209158,0.34130219517095595,0.2278962412810051
reference,2.6738226340872235,0.9894684089523347,5.6478435380757706,0.06011387317275986,0.02275206115480345,0.0038996779543493693,0.3421941556413398,0.06011387317275986,0.3450099843914708,0.22603024768527674
reference,2.7108060108295353,0.9896872028587935,5.701564238125241,0.05941177697912685,0.02260334227548481,0.003927774109309075,0.34115685325707223,0.05941177697912685,0.34872173772434434,0.22417851565466268
reference,2.748300928665795,0.9898997818627165,5.755292648827603,0.058722824534498765,0.022455274340151012,0.003956016110415527,0.3400877196361409,0.058722824534498765,0.3524371778672091,0.22234098751158485
reference,2.786314463052971,0.9901063720881172,5.809025787578777,0.05804663144590003,0.022307837655320052,0.003984400685798458,0.3389875058700619,0.05804663144590003,0.356156029562597,0.22051759478032257
reference,2.82485378731328,0.9903071901806576,5.862760693228745,0.057382825227610616,0.022161013560861146,0.004012924556929459,0.33785695810990435,0.057382825227610616,0.35987801948978415,0.21870825905491034
reference,2.863926173987805,0.9905024437397705,5.916494424000887,0.05673104494636197,0.022014784394026682,0.004041584438509696,0.336696817232929,0.05673104494636197,0.3636028761582856,0.21691289282988702
reference,2.903538996208867,0.9906923317298023,5.970224055474762,0.056090940877767274,0.02186913345460498,0.004070377038380865,0.3355078185313116,0.056090940877767274,0.36733032980340546,0.21513140029452982
