G_mM,PII_uM,GS_odds,large_pool_limit,odds_above_large_pool_limit
2.999999999999999889e-01,2.256319680029213259e+01,6.078310510660312610e-02,6.022933334391179783e-02,5.537717626913282731e-04
2.999999999999999889e-01,2.338882839813138403e+01,6.076355682237587208e-02,6.022933334391179783e-02,5.342234784640742529e-04
2.999999999999999889e-01,2.424467147448513060e+01,6.074469859755934203e-02,6.022933334391179783e-02,5.153652536475442081e-04
2.999999999999999889e-01,2.513183152657082431e+01,6.072650607288057611e-02,6.022933334391179783e-02,4.971727289687782880e-04
2.999999999999999889e-01,2.605145450391598771e+01,6.070895574895528168e-02,6.022933334391179783e-02,4.796224050434838571e-04
2.999999999999999889e-01,2.700472828858759300e+01,6.069202495593329499e-02,6.022933334391179783e-02,4.626916120214971673e-04
2.999999999999999889e-01,2.799288422958584732e+01,6.067569182421597013e-02,6.022933334391179783e-02,4.463584803041723004e-04
2.999999999999999889e-01,2.901719873338447897e+01,6.065993525620712312e-02,6.022933334391179783e-02,4.306019122953252953e-04
2.999999999999999889e-01,3.007899491267201952e+01,6.064473489906099801e-02,6.022933334391179783e-02,4.154015551492001856e-04
2.999999999999999889e-01,3.117964429542378468e+01,6.063007111839252561e-02,6.022933334391179783e-02,4.007377744807277820e-04
2.999999999999999889e-01,3.232056859651204661e+01,6.061592497291542342e-02,6.022933334391179783e-02,3.865916290036255920e-04
2.999999999999999889e-01,3.350324155414303107e+01,6.060227818997561411e-02,6.022933334391179783e-02,3.729448460638162821e-04
2.999999999999999889e-01,3.472919083349263758e+01,6.058911314194840442e-02,6.022933334391179783e-02,3.597797980366065906e-04
2.999999999999999889e-01,3.600000000000000000e+01,6.057641282346869910e-02,6.022933334391179783e-02,3.470794795569012714e-04
5.300000000000000266e-01,5.000000000000000000e-01,1.053778920139435193e+00,9.940245644289517069e-01,5.975435571048348660e-02
5.300000000000000266e-01,5.182959800676063544e-01,1.051669576167890252e+00,9.940245644289517069e-01,5.764501173893854524e-02
5.300000000000000266e-01,5.372614459084812388e-01,1.049634692575633022e+00,9.940245644289517069e-01,5.561012814668131465e-02
5.300000000000000266e-01,5.569208953193511835e-01,1.047671640892314793e+00,9.940245644289517069e-01,5.364707646336308589e-02
5.300000000000000266e-01,5.772997225193439164e-01,1.045777885433260224e+00,9.940245644289517069e-01,5.175332100430851678e-02
5.300000000000000266e-01,5.984242509518411524e-01,1.043950980024108244e+00,9.940245644289517069e-01,4.992641559515653693e-02
5.300000000000000266e-01,6.203217672866154775e-01,1.042188564841075582e+00,9.940245644289517069e-01,4.816400041212387517e-02
5.300000000000000266e-01,6.430205566661719718e-01,1.040488363362759072e+00,9.940245644289517069e-01,4.646379893380736537e-02
5.300000000000000266e-01,6.665499392418229307e-01,1.038848179429541219e+00,9.940245644289517069e-01,4.482361500058951176e-02
5.300000000000000266e-01,6.909403080466881564e-01,1.037265894406798505e+00,9.940245644289517069e-01,4.324132997784679855e-02
5.300000000000000266e-01,7.162231682545442402e-01,1.035739464448248270e+00,9.940245644289517069e-01,4.171490001929656355e-02
5.300000000000000266e-01,7.424311778752302748e-01,1.034266917855901857e+00,9.940245644289517069e-01,4.024235342695015039e-02
5.300000000000000266e-01,7.695981899391798331e-01,1.032846352533212775e+00,9.940245644289517069e-01,3.882178810426106796e-02
5.300000000000000266e-01,7.977592962255661835e-01,1.031475933528126721e+00,9.940245644289517069e-01,3.745136909917501367e-02
5.300000000000000266e-01,8.269508725905474478e-01,1.030153890662863336e+00,9.940245644289517069e-01,3.612932623391162945e-02
5.300000000000000266e-01,8.572106259541601991e-01,1.028878516247369479e+00,9.940245644289517069e-01,3.485395181841777212e-02
5.300000000000000266e-01,8.885776430065556175e-01,1.027648162873484372e+00,9.940245644289517069e-01,3.362359844453266522e-02
5.300000000000000266e-01,9.210924406964927647e-01,1.026461241286976911e+00,9.940245644289517069e-01,3.243667685802520406e-02
5.300000000000000266e-01,9.547970185673047006e-01,1.025316218334692886e+00,9.940245644289517069e-01,3.129165390574117911e-02
5.300000000000000266e-01,9.897349130079394763e-01,1.024211614984176677e+00,9.940245644289517069e-01,3.018705055522497016e-02
5.300000000000000266e-01,1.025951253489154391e+00,1.023146004413193255e+00,9.940245644289517069e-01,2.912143998424154834e-02
5.300000000000000266e-01,1.063492820857501187e+00,1.022118010166696900e+00,9.940245644289517069e-01,2.809344573774519294e-02
5.300000000000000266e-01,1.102408107762403722e+00,1.021126304378854988e+00,9.940245644289517069e-01,2.710173994990328072e-02
5.300000000000000266e-01,1.142747381294380915e+00,1.020169606057837131e+00,9.940245644289517069e-01,2.614504162888542371e-02
5.300000000000000266e-01,1.184562747915323788e+00,1.019246679431151437e+00,9.940245644289517069e-01,2.522211500219972979e-02
5.300000000000000266e-01,1.227908220764699410e+00,1.018356332349387383e+00,9.940245644289517069e-01,2.433176792043567627e-02
5.300000000000000266e-01,1.272839789428621193e+00,1.017497414746314721e+00,9.940245644289517069e-01,2.347285031736301431e-02
5.300000000000000266e-01,1.319415492261905909e+00,1.016668817153332682e+00,9.940245644289517069e-01,2.264425272438097547e-02
5.300000000000000266e-01,1.367695491356535786e+00,1.015869469266364344e+00,9.940245644289517069e-01,2.184490483741263755e-02
5.300000000000000266e-01,1.417742150253364253e+00,1.015098338563340308e+00,9.940245644289517069e-01,2.107377413438860092e-02
5.300000000000000266e-01,1.469620114497446117e+00,1.014354428970482225e+00,9.940245644289517069e-01,2.032986454153051792e-02
5.300000000000000266e-01,1.523396395141043635e+00,1.013636779575670221e+00,9.940245644289517069e-01,1.961221514671851462e-02
5.300000000000000266e-01,1.579140455302171508e+00,1.012944463387226879e+00,9.940245644289517069e-01,1.891989895827517199e-02
5.300000000000000266e-01,1.636924299890490486e+00,1.012276586136516610e+00,9.940245644289517069e-01,1.825202170756490272e-02
5.300000000000000266e-01,1.696822568616444205e+00,1.011632285122814778e+00,9.940245644289517069e-01,1.760772069386307148e-02
5.300000000000000266e-01,1.758912632403786480e+00,1.011010728098952205e+00,9.940245644289517069e-01,1.698616367000049809e-02
5.300000000000000266e-01,1.823274693330028118e+00,1.010411112196295313e+00,9.940245644289517069e-01,1.638654776734360663e-02
5.300000000000000266e-01,1.889991888223902627e+00,1.009832662887680366e+00,9.940245644289517069e-01,1.580809845872865882e-02
5.300000000000000266e-01,1.959150396053667365e+00,1.009274632986946862e+00,9.940245644289517069e-01,1.525006855799515559e-02
5.300000000000000266e-01,2.030839549244949360e+00,1.008736301683797798e+00,9.940245644289517069e-01,1.471173725484609118e-02
5.300000000000000266e-01,2.105151949071933704e+00,1.008216973612722445e+00,9.940245644289517069e-01,1.419240918377073779e-02
5.300000000000000266e-01,2.182183585270939918e+00,1.007715977954790176e+00,9.940245644289517069e-01,1.369141352583846949e-02
5.300000000000000266e-01,2.262033960030889634e+00,1.007232667571149154e+00,9.940245644289517069e-01,1.320810314219744708e-02
5.300000000000000266e-01,2.344806216520837427e+00,1.006766418167113653e+00,9.940245644289517069e-01,1.274185373816194566e-02
5.300000000000000266e-01,2.430607272120567153e+00,1.006316627485759563e+00,9.940245644289517069e-01,1.229206305680785594e-02
