G_mM,total_log_ratio_sensitivity,via_PII,direct_glutamine
3.464685207892998289e-03,1.000081308877298625e+00,3.459936144907286518e-04,9.997353152649344210e-01
3.512607518334791377e-03,1.000088195457493612e+00,3.510708980337205048e-04,9.997371245567543419e-01
3.561192673364264871e-03,1.000095147141166763e+00,3.562540586124027676e-04,9.997388930470434421e-01
3.610449841215247150e-03,1.000102166504035495e+00,3.615456167580898667e-04,9.997406209392120102e-01
3.660388316933351621e-03,1.000109256565906435e+00,3.669481878699248825e-04,9.997423084243807212e-01
3.711017524130004637e-03,1.000116420168950526e+00,3.724644644068453672e-04,9.997439556812399708e-01
3.762347016760716600e-03,1.000123659977703028e+00,3.780971804410246254e-04,9.997455628758956658e-01
3.814386480927970096e-03,1.000130979278424093e+00,3.838491390191836605e-04,9.997471301617086858e-01
3.867145736709009553e-03,1.000138381002102506e+00,3.897232828598665199e-04,9.997486576791212443e-01
3.920634740008940508e-03,1.000145868079727052e+00,3.957225621426874239e-04,9.997501455554731464e-01
3.974863584439471131e-03,1.000153443975193568e+00,4.018500584181822211e-04,9.997515939048082778e-01
4.029842503223590028e-03,1.000161111708308681e+00,4.081089145177346691e-04,9.997530028276662151e-01
4.085581871126639161e-03,1.000168874742968228e+00,4.145023526208513245e-04,9.997543724108655105e-01
4.142092206414086340e-03,1.000176736454250204e+00,4.210337182947575686e-04,9.997557027272705454e-01
4.199384172836347247e-03,1.000184700217232603e+00,4.277064112642881694e-04,9.997569938355481689e-01
4.257468581641089822e-03,1.000192769762264788e+00,4.345239727868475217e-04,9.997582457799089051e-01
4.316356393613381831e-03,1.000200948642060439e+00,4.414899823610083361e-04,9.997594585898360586e-01
4.376058721144012939e-03,1.000209240498151075e+00,4.486081792684397992e-04,9.997606322797956135e-01
4.436586830326462276e-03,1.000217649238521744e+00,4.558823855316762553e-04,9.997617668489365839e-01
4.497952143082876650e-03,1.000226178771157493e+00,4.633165068756411441e-04,9.997628622807703813e-01
4.560166239319408954e-03,1.000234833181679051e+00,4.709146276063406068e-04,9.997639185428364161e-01
4.623240859111413768e-03,1.000243616466889307e+00,4.786808746266136378e-04,9.997649355863488241e-01
4.687187904918860976e-03,1.000252532890044677e+00,4.866195124519936380e-04,9.997659133458247638e-01
4.752019443832360308e-03,1.000261586714401574e+00,4.947349693758685673e-04,9.997668517386960607e-01
4.817747709850288620e-03,1.000270782380852097e+00,5.030317621872450965e-04,9.997677506648970924e-01
4.884385106187392848e-03,1.000280124507924029e+00,5.115145480804692696e-04,9.997686100064364645e-01
4.951944207615349182e-03,1.000289617714145152e+00,5.201881007165439245e-04,9.997694296269431513e-01
5.020437762835646203e-03,1.000299266706861090e+00,5.290574037361145138e-04,9.997702093711935412e-01
5.089878696885358385e-03,1.000309076548688836e+00,5.381274927019638697e-04,9.997709490646116137e-01
5.160280113576124796e-03,1.000319052124609698e+00,5.474036075579860345e-04,9.997716485127476904e-01
5.231655297966915884e-03,1.000329198586058510e+00,5.568911353876831657e-04,9.997723075007296512e-01
5.304017718870969976e-03,1.000339521350923633e+00,5.665956204634797809e-04,9.997729257926877278e-01
5.377381031397444194e-03,1.000350025925911268e+00,5.765227743985766162e-04,9.997735031311512088e-01
5.451759079528157963e-03,1.000360717640091934e+00,5.866784613159228357e-04,9.997740392364162787e-01
5.527165898730031918e-03,1.000371602533078885e+00,5.970687414296857367e-04,9.997745338058825482e-01
5.603615718603657640e-03,1.000382686378031849e+00,6.076998400308098423e-04,9.997749865133581659e-01
5.681122965568452705e-03,1.000393975214564080e+00,6.185781991517232689e-04,9.997753970083300690e-01
5.759702265585010805e-03,1.000405475348742357e+00,6.297104470081691004e-04,9.997757649152012593e-01
5.839368446915094504e-03,1.000417193175451303e+00,6.411033841717690132e-04,9.997760898324890011e-01
5.920136542919769360e-03,1.000429135356029064e+00,6.527640356808184479e-04,9.997763713319861578e-01
6.002021794896273549e-03,1.000441308551813790e+00,6.646996700838533542e-04,9.997766089578808968e-01
6.085039654954141689e-03,1.000453719957050680e+00,6.769177370527443283e-04,9.997768022258354259e-01
6.169205788931050351e-03,1.000466376588349249e+00,6.894259606217037310e-04,9.997769506220186564e-01
6.254536079349045340e-03,1.000479285817590380e+00,7.022322526992533492e-04,9.997770536020947896e-01
6.341046628411665075e-03,1.000492455460744168e+00,7.153448228153342324e-04,9.997771105901611666e-01
6.428753761042461413e-03,1.000505893067327179e+00,7.287721086188257745e-04,9.997771209776356027e-01
6.517674027965601399e-03,1.000519606897398717e+00,7.425228125398349120e-04,9.997770841220914306e-01
6.607824208829082488e-03,1.000533605299835926e+00,7.566059386206725433e-04,9.997769993460340343e-01
6.699221315371086879e-03,1.000547896712333795e+00,7.710307483384819163e-04,9.997768659356214282e-01
6.791882594630200068e-03,1.000562489927858678e+00,7.858068061653209185e-04,9.997766831393201103e-01
6.885825532199987137e-03,1.000577394183466140e+00,8.009439927047609827e-04,9.997764501664985204e-01
6.981067855528631100e-03,1.000592618716211746e+00,8.164524939935771186e-04,9.997761661859505544e-01
7.077627537264130284e-03,1.000608173207240270e+00,8.323428316484803545e-04,9.997758303243485800e-01
7.175522798645877012e-03,1.000624067515332172e+00,8.486258607689801687e-04,9.997754416646216225e-01
7.274772112943031326e-03,1.000640312032174961e+00,8.653128248810450056e-04,9.997749992442533928e-01
7.375394208940539743e-03,1.000656917327091833e+00,8.824152903682449655e-04,9.997745020534992699e-01
7.477408074473324701e-03,1.000673894235859507e+00,8.999452341431227274e-04,9.997739490335149082e-01
7.580832960009404459e-03,1.000691254127161756e+00,9.179150113167173618e-04,9.997733390743943627e-01
7.685688382282486464e-03,1.000709008458500193e+00,9.363373873771900892e-04,9.997726710131102923e-01
7.791994127974924932e-03,1.000727169220283486e+00,9.552255869601200241e-04,9.997719436313565744e-01
7.899770257451498023e-03,1.000745748847009509e+00,9.745932389062405459e-04,9.997711556532803412e-01
8.009037108544923150e-03,1.000764760128447506e+00,9.944544660640693666e-04,9.997703057431071016e-01
8.119815300393674190e-03,1.000784216298455931e+00,1.014823847554368903e-03,9.997693925026429618e-01
8.232125737332944559e-03,1.000804130946164605e+00,1.035716453730103296e-03,9.997684144686587171e-01
8.345989612839331204e-03,1.000824518015974718e+00,1.057147897531457827e-03,9.997673701101396082e-01
8.461428413530164977e-03,1.000845392162830194e+00,1.079134314824018240e-03,9.997662578254010723e-01
8.578463923218156151e-03,1.000866768308128485e+00,1.101692385295787498e-03,9.997650759390590558e-01
8.697118227022047204e-03,1.000888662083809777e+00,1.124839394042355693e-03,9.997638226988487808e-01
8.817413715534202709e-03,1.000911089477085625e+00,1.148593245948237307e-03,9.997624962722848618e-01
8.939373089045798970e-03,1.000934067185710319e+00,1.172972425283964502e-03,9.997610947431523343e-01
9.063019361830503343e-03,1.000957612262709517e+00,1.197996123537145791e-03,9.997596161078214916e-01
9.188375866487305879e-03,1.000981742382833772e+00,1.223684152981530061e-03,9.997580582713759823e-01
9.315466258343558029e-03,1.001006476197829898e+00,1.250057100315954493e-03,9.997564190435445086e-01
9.444314519918776962e-03,1.001031832448262548e+00,1.277136258341776036e-03,9.997546961344250249e-01
9.574944965450284118e-03,1.001057830851692643e+00,1.304943694049771246e-03,9.997528871499936631e-01
9.707382245481390934e-03,1.001084491836223833e+00,1.333502270314653338e-03,9.997509895873788466e-01
9.841651351513110157e-03,1.001111836540502509e+00,1.362835724585732735e-03,9.997490008298988151e-01
9.977777620720086615e-03,1.001139886813717794e+00,1.392968605210544945e-03,9.997469181418402462e-01
1.011578674073191839e-02,1.001168665037965866e+00,1.423926416872603982e-03,9.997447386629672028e-01
1.025570475448045644e-02,1.001198195016428372e+00,1.455735599869276316e-03,9.997424594027503053e-01
1.039755806511425372e-02,1.001228500818740486e+00,1.488423582626419769e-03,9.997400772342900366e-01
