PII_uM,bound_fraction_reference,bound_fraction_tradeoff
7.134003750712564207e-02,4.416129269388553991e-01,2.549559942618652153e-01
7.356422544596413760e-02,4.491965472254954572e-01,2.608315210908064841e-01
7.585775750291839925e-02,4.568038593075895437e-01,2.667939642720680293e-01
7.822279563860029539e-02,4.644313737808622444e-01,2.728423948306555880e-01
8.066156921766134968e-02,4.720755636023885593e-01,2.789757746159878815e-01
8.317637711026712455e-02,4.797328705485817690e-01,2.851929549468703584e-01
8.576958985908941790e-02,4.873997117966732406e-01,2.914926755028722782e-01
8.844365191385998581e-02,4.950724866040105976e-01,2.978735634759097639e-01
9.120108393559100968e-02,5.027475830588234995e-01,3.043341329951346208e-01
9.404448517263518104e-02,5.104213848756296024e-01,3.108727848374285840e-01
9.697653591082495972e-02,5.180902782081381330e-01,3.174878064348704010e-01
1.000000000000000056e-01,5.257506584523925497e-01,3.241773721894966598e-01
1.031177274593055998e-01,5.333989370129624819e-01,3.309395441045213659e-01
1.063326571637161627e-01,5.410315480052430015e-01,3.377722727399042335e-01
1.096478196143185063e-01,5.486449548673634213e-01,3.446733984987866428e-01
1.130663397949639853e-01,5.562356568558164405e-01,3.516406532498344562e-01
1.165914401179832249e-01,5.638001953997117122e-01,3.586716622889634110e-01
1.202264434617413141e-01,5.713351602895153647e-01,3.657639466422802910e-01
1.239747763028944127e-01,5.788371956772312421e-01,3.729149257103417936e-01
1.278399719463024220e-01,5.863030058662503929e-01,3.801219202520687568e-01
1.318256738556407293e-01,5.937293608704603542e-01,3.873821557048170439e-01
1.359356390878525556e-01,6.011131017237205665e-01,3.946927658352570312e-01
1.401737418346770958e-01,6.084511455224000942e-01,4.020507967138245431e-01
1.445439770745927943e-01,6.157404901853702484e-01,4.094532110036379624e-01
1.490504643386195982e-01,6.229782189176077400e-01,4.168968925529024094e-01
1.536974515935272401e-01,6.301615043653703285e-01,4.243786512779794129e-01
1.584893192461114264e-01,6.372876124527674380e-01,4.318952283225141464e-01
1.634305842723137725e-01,6.443539058914224960e-01,4.394433014762755274e-01
1.685259044750752611e-01,6.513578473568025773e-01,4.470194908357120744e-01
1.737800828749376247e-01,6.582970023266631054e-01,4.546203646866633363e-01
1.791980722375333956e-01,6.651690415789024424e-01,4.622424455882212513e-01
1.847849797422290719e-01,6.719717433479280855e-01,4.698822166354028607e-01
1.905460717963248229e-01,6.787029951403873440e-01,4.775361278771029783e-01
1.964867789993468006e-01,6.853607952128097924e-01,4.852006028647574687e-01
2.026127012621143364e-01,6.919432537153196172e-01,4.928720453062627738e-01
2.089296130854040867e-01,6.984485935071025331e-01,5.005468457989742381e-01
2.154434690031884481e-01,7.048751506507485720e-01,5.082213886150778182e-01
2.221604091955811655e-01,7.112213745939222065e-01,5.158920585122617197e-01
2.290867652767774598e-01,7.174858280480296280e-01,5.235552475424463115e-01
2.362290662634462801e-01,7.236671865746745480e-01,5.312073618313383205e-01
2.435940447292027078e-01,7.297642378916807671e-01,5.388448283017847062e-01
2.511886431509582351e-01,7.357758809113370546e-01,5.464641013142765846e-01
2.590200204531325490e-01,7.417011245242854933e-01,5.540616691985218445e-01
2.670955587558985211e-01,7.475390861431088219e-01,5.616340606507531641e-01
2.754228703338166273e-01,7.532889900201961142e-01,5.691778509723294244e-01
2.840098047914216828e-01,7.589501653548773596e-01,5.766896681262704272e-01
2.928644564625237368e-01,7.645220442051130494e-01,5.841661985895627573e-01
3.019951720402015982e-01,7.700041592192186091e-01,5.916041929804330968e-01
3.114105584446761332e-01,7.753961412031851186e-01,5.990004714412416886e-01
3.211194909364823991e-01,7.806977165391559836e-01,6.063519287592303852e-01
3.311311214825911065e-01,7.859087044705166392e-01,6.136555392090285999e-01
3.414548873833604392e-01,7.910290142688698456e-01,6.209083611025500993e-01
3.521005201684521135e-01,7.960586422979087917e-01,6.281075410337272347e-01
3.630780547701014105e-01,8.009976689888678170e-01,6.352503178073702905e-01
3.743978389823814368e-01,8.058462557418307748e-01,6.423340260433036963e-01
3.860705432153815342e-01,8.106046417667277515e-01,6.493560994488202232e-01
3.981071705534973137e-01,8.152731408773483679e-01,6.563140737543672332e-01
4.105190671273078462e-01,8.198521382511451128e-01,6.632055893092290155e-01
4.233179328088211291e-01,8.243420871670309458e-01,6.700283933357991106e-01
4.365158322401661017e-01,8.287435057327525723e-01,6.767803418427927875e-01
4.501252062061336656e-01,8.330569736127936276e-01,6.834594011994773455e-01
4.641588833612781961e-01,8.372831287671055334e-01,6.900636493746171718e-01
4.786300923226385340e-01,8.414226642102986542e-01,6.965912768453906834e-01
4.935524741394806680e-01,8.454763248002624687e-01,7.030405871830052167e-01
5.089400951518093796e-01,8.494449040645070115e-01,7.094099973230815204e-01
5.248074602497728725e-01,8.533292410718454901e-01,7.156980375301464914e-01
5.411695265464637750e-01,8.571302173563897231e-01,7.219033510667127729e-01
5.580417174769969346e-01,8.608487539001633548e-01,7.280246935784534523e-01
5.754399373371572590e-01,8.644858081800115279e-01,7.340609322078847088e-01
5.933805862753280813e-01,8.680423712838656325e-01,7.400110444497791651e-01
6.118805757518218646e-01,8.715194651008176807e-01,7.458741167621814050e-01
6.309573444801935826e-01,8.749181395888816493e-01,7.516493429474814247e-01
6.506288748655573162e-01,8.782394701237712376e-01,7.573360223184191220e-01
6.709137099554112194e-01,8.814845549314825890e-01,7.629335576642398697e-01
6.918309709189369716e-01,8.846545126069769172e-01,7.684414530324301662e-01
7.134003750712564207e-01,8.877504797207749210e-01,7.738593113415855873e-01
7.356422544596413760e-01,8.907736085148326710e-01,7.791868318409803651e-01
7.585775750291843256e-01,8.937250646886386596e-01,7.844238074323314214e-01
7.822279563860029539e-01,8.966060252760852389e-01,7.895701218690928114e-01
8.066156921766135524e-01,8.994176766133028522e-01,7.946257468483762798e-01
8.317637711026717451e-01,9.021612123973015152e-01,7.995907390102746648e-01
8.576958985908945676e-01,9.048378318349593608e-01,8.044652368589964020e-01
8.844365191385998859e-01,9.074487378816133987e-01,8.092494576197686307e-01
9.120108393559106519e-01,9.099951355682442955e-01,8.139436940449911173e-01
9.404448517263522822e-01,9.124782304160194979e-01,8.185483111825750946e-01
