# Fig 7b-d: n=3, A=1, Bhat=Ghat=0.4, Khat=1; (enzyme x, target x)
l,b_theta_1x1x,c_theta_bridge_1x1x,d_theta_1x1x,d_TL_1x1x,b_theta_2x1x,c_theta_bridge_2x1x,d_theta_2x1x,d_TL_2x1x,b_theta_1x4x,c_theta_bridge_1x4x,d_theta_1x4x,d_TL_1x4x,b_theta_2x4x,c_theta_bridge_2x4x,d_theta_2x4x,d_TL_2x4x
0.10306884590241455,0.9065594392680453,0.9278129984582185,0.893907107788254,0.19709567181710497,0.9065571497339459,0.9278129984582185,0.8831494419325298,0.2854316320644149,0.9065602093967615,0.9578282955358612,0.897780409963658,0.26450763541591776,0.9065586899458764,0.9578282955358612,0.8896567335363886,0.41805471522328574
0.10529162355679407,0.9047362912295022,0.9263443662024539,0.8919704783613912,0.20075283696594293,0.9047339789857971,0.9263443662024539,0.8811370642044106,0.29040991731355437,0.9047370764290279,0.9569359763433342,0.895913872339868,0.2683452358216627,0.9047355493380905,0.9569359763433342,0.8877521212663436,0.4234430865806232
0.10756233752459157,0.9028813821341591,0.9248477502972471,0.8900037310164975,0.20447206502934473,0.9028790474377829,0.9248477502972471,0.8790963298564044,0.2954640383710625,0.9028821824405888,0.9560251658227025,0.8940172260486424,0.27222999757355015,0.9028806480026144,0.9560251658227025,0.8858188672090055,0.42888007351063306
0.10988202159798126,0.9009943080561138,0.9233226980225842,0.8880065619301508,0.20825433180052397,0.9009919511836091,0.9233226980225842,0.8770270065571041,0.3005949989214154,0.900995123493804,0.955095498268781,0.8920901117414344,0.2761626616675003,0.9009935820096798,0.955095498268781,0.8838566509735775,0.4343661918835318
0.11225173186384851,0.8990746658361092,0.9217687528190103,0.8859786694638481,0.21210063065173843,0.8990722870839843,0.9217687528190103,0.8749288645101574,0.3058038187179518,0.899075496417264,0.9541466015478298,0.89013217058993,0.2801439938870053,0.8990739481956912,0.9541466015478298,0.8818651525836892,0.4399019831670315
0.11467254718459637,0.8971220533610244,0.9201854544216281,0.8839197543810734,0.21601197303469707,0.8971196530460989,0.9201854544216281,0.8728016766175904,0.31109153407681567,0.8971228990852832,0.9531780970233623,0.8881430445300779,0.2841747855419354,0.897121344442712,0.9531780970233623,0.8798440526941066,0.44548801532526183
0.11714556968932131,0.8951360698534031,0.9185723390038413,0.8818295200706103,0.21998938899669748,0.8951336483131436,0.9185723390038413,0.8706452186478559,0.31645919838515935,0.8951369307074377,0.9521895994832026,0.886122376515944,0.2882558542142306,0.8951353699679953,0.9521895994832026,0.8777930328167708,0.45112488372450654
0.11967192527558176,0.8931163161710961,0.916928939331196,0.8797076727761494,0.22403392771274272,0.8931138737639347,0.916928939331196,0.868459269408687,0.3219078826237277,0.8931171921282082,0.951180717067946,0.8840698107834921,0.2923880445103178,0.8931156256236233,0.951180717067946,0.8757117755562805,0.45681321204545655
0.12225276412198732,0.8910623951170674,0.9152547849256766,0.8775539218322295,0.22814665803388037,0.8910599322227122,0.9152547849256766,0.8662436109248296,0.32743867590393466,0.8910632861368013,0.9501510512009808,0.8819849931243865,0.2965722288201118,0.8910617142063182,0.9501510512009808,0.8735999648549089,0.46255365320169856
0.12488926121184282,0.8889739117594216,0.9135494022408162,0.8753679799065508,0.23232866905200297,0.8889714287791454,0.9135494022408162,0.8639980286207182,0.33305268601954796,0.8889748177871785,0.9491001965202428,0.8798675711698732,0.300809308082474,0.8889732407774672,0.9491001965202428,0.8714572862472355,0.46834689026417575
0.12758261686808525,0.8868504737616689,0.9118123148479872,0.8731495632486821,0.2365810706813422,0.8868479711185867,0.9118123148479872,0.8617223115081569,0.33875104001309214,0.8868513947283355,0.9480277408118823,0.8777171946848131,0.3051002125570186,0.8868498129933932,0.9480277408118823,0.869283427124465,0.47419363739136877
0.13033405729975697,0.8846916917232438,0.910043043634239,0.8708983919451748,0.2409049942568833,0.8846891698625714,0.910043043634239,0.8594162523790554,0.34453488475707883,0.8846926275448291,0.9469332649460311,0.8755335158718895,0.3094459026021722,0.884691041445878,0.9469332649460311,0.867078077008477,0.48009464076496156
