# Fig 8c
Khat2,factor_linear,factor_complementary
1.9551021399635212e-10,1.1856078531619503,1.146245084410917
2.230738626258455e-10,1.1856078531745868,1.146245084415109
2.5452352165980984e-10,1.1856078531890057,1.1462450844198908
2.9040705314171564e-10,1.1856078532054581,1.1462450844253487
3.313495584395409e-10,1.1856078532242287,1.1462450844315752
3.7806426769015835e-10,1.1856078532456469,1.1462450844386818
4.313649644720274e-10,1.1856078532700847,1.1462450844467869
4.921801621475959e-10,1.1856078532979655,1.1462450844560357
5.615692788312722e-10,1.1856078533297796,1.1462450844665888
6.407410927555923e-10,1.185607853366077,1.1462450844786298
7.31074799533297e-10,1.1856078534074939,1.1462450844923708
8.341440381388484e-10,1.185607853454748,1.1462450845080456
9.517443041488631e-10,1.185607853508666,1.1462450845259335
1.0859242277878932e-09,1.1856078535701842,1.1462450845463397
1.239021261652108e-09,1.185607853640376,1.1462450845696217
1.413702399801174e-09,1.185607853720463,1.1462450845961896
1.6130106375565525e-09,1.1856078538118415,1.1462450846265042
1.8404179813492143e-09,1.1856078539161023,1.1462450846610899
2.099885932063319e-09,1.185607854035063,1.1462450847005545
2.3959344955132547e-09,1.1856078541707944,1.1462450847455796
2.7337209222359117e-09,1.1856078543256612,1.146245084796953
3.1191295482681618e-09,1.185607854502362,1.1462450848555712
3.5588743019613783e-09,1.1856078547039774,1.146245084922451
4.060615662531031e-09,1.1856078549340128,1.146245084998764
4.633094107792776e-09,1.1856078551964804,1.1462450850858321
5.2862823757824934e-09,1.185607855495954,1.1462450851851758
6.031559192701484e-09,1.1856078558376457,1.1462450852985264
6.8819074935770405e-09,1.1856078562275112,1.1462450854278574
7.852140588698956e-09,1.1856078566723405,1.1462450855754185
8.959160215716123e-09,1.1856078571798843,1.1462450857437874
1.0222250972733733e-08,1.1856078577589821,1.1462450859358906
1.1663416261521082e-08,1.1856078584197247,1.146245086155079
1.3307761593054936e-08,1.1856078591736179,1.1462450864051705
1.5183931932691877e-08,1.1856078600338005,1.146245086690518
1.7324610703646892e-08,1.185607861015252,1.1462450870160952
1.9767089141561102e-08,1.1856078621350725,1.1462450873875756
2.2553915918478347e-08,1.185607863412771,1.1462450878114272
2.5733638352865708e-08,1.1856078648706019,1.1462450882950332
2.9361648117767704e-08,1.1856078665339609,1.1462450888468207
3.35011461795726e-08,1.1856078684318265,1.1462450894764002
3.822424377689948e-08,1.1856078705972601,1.1462450901947407
4.3613218618972e-08,1.1856078730679822,1.1462450910143525
4.976194818681459e-08,1.1856078758870345,1.1462450919495195
5.677754510578683e-08,1.1856078791035272,1.1462450930165282
6.478222307811169e-08,1.1856078827734884,1.1462450942339673
7.391542588047686e-08,1.185607886960855,1.146245095623044
8.433625651445508e-08,1.1856078917385673,1.1462450972079583
9.622624882623596e-08,1.1856078971898576,1.146245099016316
1.0979252987807917e-07,1.1856079034096887,1.1462451010796233
1.2527142816090235e-07,1.1856079105064097,1.1462451034338226
1.429325905040951e-07,1.1856079186036514,1.1462451061199275
1.6308367940030788e-07,1.1856079278424643,1.1462451091847223
1.8607573257395385e-07,1.1856079383837927,1.1462451126816053
2.1230927815863485e-07,1.1856079504112729,1.146245116671487
2.422413120116338e-07,1.1856079641344235,1.1462451212238782
2.763932587122841e-07,1.1856079797923063,1.1462451264180755
3.153600549270752e-07,1.1856079976576854,1.1462451323445726
3.5982051337631854e-07,1.1856080180417807,1.1462451391065993
4.1054914794562966e-07,1.185608041299687,1.1462451468219623
4.6842966593903933e-07,1.1856080678365646,1.1462451556250575
5.344703625126481e-07,1.185608098114689,1.146245165669243
6.098216854642534e-07,1.185608132661513,1.1462451771294893
