G_mM,U,p0,p1,p2,p3,variance
5.866130859440759661e-03,2.967453410738725150e+00,1.276887646382078436e-06,3.492628279082187924e-04,3.184423294251870901e-02,9.678052273419266438e-01,3.219349577043040256e-02
5.951948680920672585e-03,2.967445837609969050e+00,1.277779194623627358e-06,3.494244920549667392e-04,3.185148006833725398e-02,9.677978176604131733e-01,3.220090456039237381e-02
6.039021963395238904e-03,2.967438039301497188e+00,1.278697685787034535e-06,3.495910017862431446e-04,3.185894260187251831e-02,9.677901876986554353e-01,3.220853360366149332e-02
6.127369073472727599e-03,2.967430009119269130e+00,1.279643947100444198e-06,3.497625034823293312e-04,3.186662694192491513e-02,9.677823309106456939e-01,3.221638944540927696e-02
6.217008646453367829e-03,2.967421740170331557e+00,1.280618831969026957e-06,3.499391480138890802e-04,3.187453967714475728e-02,9.677742405560093575e-01,3.222447882515844242e-02
6.307959590260181146e-03,2.967413225356917650e+00,1.281623220849559956e-06,3.501210908837987007e-04,3.188268759165231725e-02,9.677659096942430317e-01,3.223280868253652898e-02
6.400241089427259958e-03,2.967404457370367066e+00,1.282658022156355503e-06,3.503084923735963431e-04,3.189107767081893891e-02,9.677573311787852628e-01,3.224138616319471851e-02
6.493872609146422031e-03,2.967395428684863834e+00,1.283724173201364514e-06,3.505015176949959456e-04,3.189971710722656895e-02,9.677484976509052039e-01,3.225021862492027935e-02
6.588873899373035546e-03,2.967386131550989958e+00,1.284822641167778418e-06,3.507003371462717972e-04,3.190861330679388430e-02,9.677394015334186417e-01,3.225931364393908041e-02
6.685264998991968799e-03,2.967376557989091612e+00,1.285954424120281754e-06,3.509051262740090328e-04,3.191777389508812512e-02,9.677300350242137306e-01,3.226867902136199007e-02
6.783066240044423496e-03,2.967366699782443273e+00,1.287120552052515981e-06,3.511160660402408255e-04,3.192720672382019786e-02,9.677203900895875455e-01,3.227832278986220160e-02
6.882298252016637828e-03,2.967356548470213795e+00,1.288322087973750120e-06,3.513333429952482574e-04,3.193691987753190242e-02,9.677104584573849033e-01,3.228825322052841784e-02
6.982981966191297192e-03,2.967346095340220646e+00,1.289560129036290074e-06,3.515571494562085941e-04,3.194692168047971043e-02,9.677002316099350132e-01,3.229847882993652775e-02
7.085138620062668251e-03,2.967335331421473654e+00,1.290835807705147908e-06,3.517876836918709107e-04,3.195722070371937590e-02,9.676897007767810699e-01,3.230900838741135317e-02
