draw,model,p0,p1,p2,p3
3.000000000000000000e+01,3.000000000000000000e+00,2.063187285319283693e-01,3.780725295853684664e-01,2.309353084330056094e-01,1.846734334496975549e-01
3.100000000000000000e+01,0.000000000000000000e+00,1.441533367010873479e-01,3.923192297655282434e-01,3.559043020117998446e-01,1.076231315215843976e-01
3.100000000000000000e+01,1.000000000000000000e+00,3.102110259940227821e-01,2.178167721736215812e-01,2.067361507041531599e-01,2.652360511282024214e-01
3.100000000000000000e+01,2.000000000000000000e+00,4.954992089337677957e-02,5.026273947546248122e-01,4.190982194702509989e-01,2.872446488174755161e-02
3.100000000000000000e+01,3.000000000000000000e+00,1.937178102539388047e-01,3.749616027670932272e-01,2.419261353501158951e-01,1.893944516288521840e-01
3.200000000000000000e+01,0.000000000000000000e+00,1.467463665552474483e-01,3.944014735853774711e-01,3.533364539506433366e-01,1.055157059087315080e-01
3.200000000000000000e+01,1.000000000000000000e+00,3.131905715541709601e-01,2.184358701799195279e-01,2.059350429407080241e-01,2.624385153252014602e-01
3.200000000000000000e+01,2.000000000000000000e+00,5.122485673383761484e-02,5.076133001510666487e-01,4.134773303206710771e-01,2.768451279442470797e-02
3.200000000000000000e+01,3.000000000000000000e+00,1.968808810451945224e-01,3.761149377221199019e-01,2.395059822073176414e-01,1.874981990253679065e-01
3.300000000000000000e+01,0.000000000000000000e+00,1.515576016314049979e-01,3.981125576882847961e-01,3.485882746516658082e-01,1.017415660286442314e-01
3.300000000000000000e+01,1.000000000000000000e+00,3.186561475627111562e-01,2.195357407464263721e-01,2.044462677885789947e-01,2.573618439022834492e-01
3.300000000000000000e+01,2.000000000000000000e+00,5.439994987148651789e-02,5.165534184302674747e-01,4.031795084300452414e-01,2.586712326820064800e-02
3.300000000000000000e+01,3.000000000000000000e+00,2.168489135217840369e-01,3.695221446997939974e-01,2.098951649575106770e-01,2.037337768209112887e-01
3.400000000000000000e+01,0.000000000000000000e+00,1.365366205139758315e-01,3.858544274742106706e-01,3.634766961932903162e-01,1.141322558185233760e-01
3.400000000000000000e+01,1.000000000000000000e+00,3.013140849490512641e-01,2.158853091838159599e-01,2.090825396090073562e-01,2.737180662581254476e-01
3.400000000000000000e+01,2.000000000000000000e+00,4.477831613363310315e-02,4.872883296890028193e-01,4.358838048678446708e-01,3.204954930951951081e-02
3.400000000000000000e+01,3.000000000000000000e+00,1.859448319361539093e-01,3.704651164728330337e-01,2.460306839295109127e-01,1.975593676615021166e-01
3.500000000000000000e+01,0.000000000000000000e+00,1.580113251944073316e-01,4.027919822349480539e-01,3.422568619752350272e-01,9.693983059540940694e-02
