G_mM,U,p0,p1,p2,p3,variance
2.470514625588134811e-02,2.963081461267123018e+00,2.586578884822885301e-06,5.274767888507785659e-04,3.585582541852132266e-02,9.636141112137430742e-01,3.662603328171520900e-02
2.506656707683188601e-02,2.962944124821197622e+00,2.615552510949610640e-06,5.313794194590335971e-04,3.598526968235143952e-02,9.634807353456785739e-01,3.676118944751927131e-02
2.543327525809447112e-02,2.962802719650929006e+00,2.645609752789803521e-06,5.354124718420180153e-04,3.611851857612900785e-02,9.633434233422761839e-01,3.690034128590191642e-02
2.580534815043986768e-02,2.962657125696470217e+00,2.676797065560796144e-06,5.395806834410454096e-04,3.625568254545159103e-02,9.632020599740418465e-01,3.704360619155444567e-02
2.618286423623217632e-02,2.962507219384166390e+00,2.709163220696863986e-06,5.438889836955614976e-04,3.639687515878053947e-02,9.630565266943031943e-01,3.719110496423994050e-02
2.656590314598332794e-02,2.962352873525455621e+00,2.742759438033470775e-06,5.483425027719044612e-04,3.654221319068605422e-02,9.629067015471040047e-01,3.734296190492791823e-02
2.695454567514982136e-02,2.962193957212972517e+00,2.777639526364710269e-06,5.529465807276675747e-04,3.669181670699309117e-02,9.627524590727528642e-01,3.749930491442476921e-02
2.734887380117508732e-02,2.962030335713768725e+00,2.813860032949625719e-06,5.577067771350322596e-04,3.684580915186227990e-02,9.625936702109696430e-01,3.766026559469004553e-02
2.774897070078120170e-02,2.961861870359598026e+00,2.851480402580278122e-06,5.626288811871034499e-04,3.700431743681954072e-02,9.624302022015907010e-01,3.782597935272491441e-02
2.815492076751360470e-02,2.961688418434172743e+00,2.890563146872528474e-06,5.677189223130332807e-04,3.716747203176107295e-02,9.622619184827790884e-01,3.799658550725659723e-02
2.856680962954248962e-02,2.961509833057317298e+00,2.931174024486843404e-06,5.729831813288475528e-04,3.733540705795109632e-02,9.620886785866955559e-01,3.817222739821346522e-02
2.898472416772457025e-02,2.961325963065970512e+00,2.973382233037855611e-06,5.784282021523015974e-04,3.750826038302628590e-02,9.619103380325884078e-01,3.835305249895526458e-02
2.940875253392906050e-02,2.961136652891902532e+00,3.017260613510583897e-06,5.840608041120504525e-04,3.768617371803288651e-02,9.617267482172415782e-01,3.853921253155689897e-02
2.983898416963182490e-02,2.960941742436132174e+00,3.062885868056077729e-06,5.898880948823519762e-04,3.786929271649894929e-02,9.615377563027506236e-01,3.873086358491484305e-02
3.027550982478155461e-02,2.960741066939911903e+00,3.110338792107899930e-06,5.959174840767334034e-04,3.805776707555790644e-02,9.613432051015732283e-01,3.892816623597994408e-02
3.071842157694186504e-02,2.960534456852224938e+00,3.159704521830674828e-06,6.021566975358415459e-04,3.825175063913796580e-02,9.611429329588043746e-01,3.913128567402957003e-02
3.116781285071343680e-02,2.960321737693696331e+00,3.211072797984183624e-06,6.086137923462198130e-04,3.845140150321729039e-02,9.609367736316385411e-01,3.934039182813720004e-02
3.162377843744036687e-02,2.960102729916853193e+00,3.264538247368429026e-06,6.152971726288673652e-04,3.865688212314694061e-02,9.607245561659768507e-01,3.955565949780215362e-02
3.208641451520480303e-02,2.959877248762622148e+00,3.320200683104963510e-06,6.222156061388593382e-04,3.886835942305085639e-02,9.605061047701272114e-01,3.977726848689755457e-02
3.255581866911400751e-02,2.959645104112994307e+00,3.378165425099674127e-06,6.293782417189830360e-04,3.908600490729283866e-02,9.602812386855631432e-01,4.000540374094185836e-02
3.303208991188421456e-02,2.959406100339759593e+00,3.438543642136304444e-06,6.367946276530080064e-04,3.930999477400833053e-02,9.600497720546965486e-01,4.024025548777210304e-02
3.351532870472573311e-02,2.959160036149232731e+00,3.501452717156084627e-06,6.444747309662501172e-04,3.954051003068329018e-02,9.598115137856333412e-01,4.048201938167039771e-02
3.400563697853348222e-02,2.958906704422859857e+00,3.567016637402198776e-06,6.524289577243332517e-04,3.977773661177947534e-02,9.595662674138588644e-01,4.073089665102358481e-02
3.450311815538756322e-02,2.958645892053634263e+00,3.635366411225455373e-06,6.606681743826040574e-04,4.002186549836735108e-02,9.593138309608388870e-01,4.098709424955693237e-02
3.500787717036831642e-02,2.958377379778212468e+00,3.706640513494957044e-06,6.692037302427503252e-04,4.027309283976155535e-02,9.590539967894821105e-01,4.125082501122712131e-02
3.552002049369060166e-02,2.958100942004647571e+00,3.780985361696208604e-06,6.780474810750607368e-04,4.053162007711702541e-02,9.587865514564462011e-01,4.152230780877630423e-02
3.603965615316189613e-02,2.957816346635642191e+00,3.858555824960584115e-06,6.872118139681436099e-04,4.079765406894695495e-02,9.585112755612599234e-01,4.180176771607868602e-02
3.656689375696885874e-02,2.957523354887208633e+00,3.939515768448527407e-06,6.967096734719929090e-04,4.107140721854203591e-02,9.582279435922175237e-01,4.208943617430804807e-02
3.710184451679725270e-02,2.957221721102677225e+00,4.024038635679037936e-06,7.065545891019256322e-04,4.135309760321175671e-02,9.579363237690506905e-01,4.238555116192443961e-02
3.764462127129016705e-02,2.956911192561916479e+00,4.112308071613211778e-06,7.167607042763384081e-04,4.164294910531642080e-02,9.576361778823356818e-01,4.269035736862747399e-02
3.819533850984943579e-02,2.956591509285686037e+00,4.204518589505533538e-06,7.273428067638508911e-04,4.194119154501759622e-02,9.573272611296289591e-01,4.300410637328333507e-02
3.875411239678514669e-02,2.956262403835033581e+00,4.300876284770462574e-06,7.383163607195103971e-04,4.224806081467302049e-02,9.570093219483226665e-01,4.332705682582549400e-02
3.932106079581847158e-02,2.955923601105613585e+00,4.401599599364809734e-06,7.496975403941016610e-04,4.256379901480013273e-02,9.566821018452064118e-01,4.365947463327302103e-02
3.989630329494302241e-02,2.955574818116849301e+00,4.506920140455866989e-06,7.615032656047704537e-04,4.288865459152002568e-02,9.563453352227347937e-01,4.400163314985050533e-02
4.047996123164993021e-02,2.955215763795837614e+00,4.617083557433201217e-06,7.737512390592452037e-04,4.322288247537156569e-02,9.559987492020117772e-01,4.435381337123622814e-02
4.107215771852183034e-02,2.954846138755887086e+00,4.732350481646613986e-06,7.864599856317005915e-04,4.356674422140444786e-02,9.556420634424822591e-01,4.471630413301319606e-02
4.167301766920133294e-02,2.954465635069607465e+00,4.852997533579525758e-06,7.996488936917707860e-04,4.392050815040832168e-02,9.552749899583663495e-01,4.508940231336389104e-02
4.228266782473941165e-02,2.954073936036440973e+00,4.979318402546582276e-06,8.133382585947621785e-04,4.428444949116182999e-02,9.548972329318408114e-01,4.547341303998031492e-02
4.290123678032931737e-02,2.953670715944547887e+00,5.111625004392154201e-06,8.275493284455828118e-04,4.465885052354776064e-02,9.545084885230022964e-01,4.586864990127992314e-02
4.352885501243143607e-02,2.953255639826947387e+00,5.250248723095833274e-06,8.423043522547613753e-04,4.504400072237383507e-02,9.541084446766482374e-01,4.627543516191146011e-02
4.416565490629506541e-02,2.952828363211826623e+00,5.395541742652251221e-06,8.576266306107608803e-04,4.544019690172389908e-02,9.536967809259226936e-01,4.669409998257556538e-02
4.481177078388276502e-02,2.952388531866910970e+00,5.547878476095121081e-06,8.735405689994047915e-04,4.584774335966191466e-02,9.532731681928625633e-01,4.712498464415659782e-02
4.546733893220339384e-02,2.951935781537825765e+00,5.707657099061595305e-06,8.900717339064051405e-04,4.626695202306423116e-02,9.528372685859302083e-01,4.756843877620120509e-02
4.613249763205937160e-02,2.951469737680347816e+00,5.875301195884673068e-06,9.072469118468504210e-04,4.669814259237075466e-02,9.523887351945865554e-01,4.802482158970811099e-02
4.680738718721467323e-02,2.950990015186462312e+00,6.051261526822535451e-06,9.250941714718905091e-04,4.714164268601341024e-02,9.519272118809878336e-01,4.849450211422023926e-02
4.749214995398945427e-02,2.950496218104147861e+00,6.236017925706870807e-06,9.436429289097840152e-04,4.759778798425541579e-02,9.514523330689090841e-01,4.897785943923338436e-02
4.818693037128776030e-02,2.949987939350811494e+00,6.430081338024198381e-06,9.629240165062290940e-04,4.806692237216192432e-02,9.509637235299938096e-01,4.947528295985215152e-02
4.889187499106437823e-02,2.949464760420283937e+00,6.633996010235339698e-06,9.829697551370661455e-04,4.854939808141103125e-02,9.504609981674416730e-01,4.998717262667362604e-02
4.960713250923735884e-02,2.948926251083327621e+00,6.848341841974371420e-06,1.003814030273174817e-03,4.904557583059996478e-02,9.499437617972849024e-01,5.051393919986857384e-02
5.033285379705294826e-02,2.948371969081563737e+00,7.073736913702474172e-06,1.025492371987495955e-03,4.955582496372029633e-02,9.494116089273785253e-01,5.105600450737846074e-02
5.106919193290933301e-02,2.947801459814775260e+00,7.310840203364935455e-06,1.048042039101164478e-03,5.008052358641229551e-02,9.488641235342831770e-01,5.161380170717855265e-02
5.181630223464570723e-02,2.947214256021523315e+00,7.560354506675986925e-06,1.071502107675617555e-03,5.062005869960526511e-02,9.483008788382124576e-01,5.218777555350584407e-02
5.257434229230411454e-02,2.946609877453021831e+00,7.823029576803926623e-06,1.095913564066474093e-03,5.117482633011500442e-02,9.477214370762417905e-01,5.277838266699141911e-02
5.334347200137012218e-02,2.945987830540231833e+00,8.099665500469429400e-06,1.121319402764411194e-03,5.174523165773796396e-02,9.471253492739971636e-01,5.338609180854980707e-02
5.412385359650025846e-02,2.945347608054136312e+00,8.391116328813657255e-06,1.147764729258520661e-03,5.233168913836024755e-02,9.465121550160523478e-01,5.401138415694894945e-02
