G_mM,Y_0p5,Y_5,Y_36
4.958306088514909963e-08,1.291385891399886081e-11,1.913126437468364533e-11,4.448184234398191656e-10
5.011872336272716368e-08,1.305337184733097978e-11,1.933794611501804056e-11,4.496239523630595495e-10
5.066017278215114356e-08,1.319439197191292299e-11,1.954686068512430393e-11,4.544813966506113323e-10
5.120747166169950247e-08,1.333693525264721465e-11,1.975803173608484237e-11,4.593913059860145155e-10
5.176068319505665054e-08,1.348101910953941208e-11,1.997148507716471080e-11,4.643542806158824884e-10
5.231987125860965726e-08,1.362665892338928891e-11,2.018724349754135943e-11,4.693708502046843593e-10
5.288510041882365189e-08,1.377387277045902092e-11,2.040533377441278821e-11,4.744416375137067677e-10
5.345643593969700377e-08,1.392267699875382140e-11,2.062578012320393589e-11,4.795672055182846825e-10
5.403394379029700392e-08,1.407308818304820515e-11,2.084860709452499967e-11,4.847481252230823683e-10
5.461769065237694114e-08,1.422512462809159695e-11,2.107384182128078437e-11,4.899850270932024053e-10
5.520774392807571753e-08,1.437880356835103472e-11,2.130150982201443544e-11,4.952785047564866396e-10
5.580417174769961297e-08,1.453414336870416724e-11,2.153163830487642798e-11,5.006291907396221667e-10
5.640704297759009623e-08,1.469116040979724431e-11,2.176425154001582779e-11,5.060376494827541582e-10
5.701642722807468503e-08,1.484987409758516652e-11,2.199937828153961775e-11,5.115045493190377722e-10
5.763239486150466666e-08,1.501030272307377537e-11,2.223704561446899110e-11,5.170305202253055554e-10
5.825501700037946082e-08,1.517246449824323188e-11,2.247728052805793408e-11,5.226161894657786218e-10
5.888436553555878271e-08,1.533637751653519979e-11,2.272010982686650853e-11,5.282621803985182337e-10
5.952051313456344680e-08,1.550206195526381007e-11,2.296556340052726997e-11,5.339691879945217786e-10
6.016353324996595611e-08,1.566953604530667216e-11,2.321366825539548848e-11,5.397378402232895828e-10
6.081350012787161807e-08,1.583881938846490235e-11,2.346445342945954738e-11,5.455688121452525750e-10
6.147048881649141798e-08,1.600993221015521346e-11,2.371794889443818791e-11,5.514628006844886890e-10
6.213457517480736454e-08,1.618289296115271182e-11,2.397418197477065475e-11,5.574204410802959361e-10
6.280583588133155830e-08,1.635772258154100195e-11,2.423318369561508574e-11,5.634424548872620521e-10
6.348434844296010797e-08,1.653444063360837203e-11,2.449498303681547132e-11,5.695295157552603678e-10
6.417019120392145115e-08,1.671306844741290732e-11,2.475961160155351534e-11,5.756823584221689967e-10
6.486344335482377794e-08,1.689362508188376047e-11,2.502709762063676171e-11,5.819016394484107305e-10
6.556418494179781193e-08,1.707613267623311807e-11,2.529747389091687012e-11,5.881881212947503609e-10
6.627249687573952785e-08,1.726061192487783637e-11,2.557077107842490772e-11,5.945425169439241032e-10
6.698846094165251469e-08,1.744708508556860246e-11,2.584702214418490564e-11,6.009655929256137953e-10
6.771215980809129456e-08,1.763557217585026149e-11,2.612625675551267444e-11,6.074580388940991688e-10
6.844367703670651050e-08,1.782609520265290656e-11,2.640850750746465263e-11,6.140206126444537600e-10
6.918309709189346557e-08,1.801867651649648367e-11,2.669380751497647769e-11,6.206540842870063166e-10
6.993050535054470138e-08,1.821333900905496143e-11,2.698219068648357290e-11,6.273592421608330765e-10
7.068598811190803219e-08,1.841010383343764803e-11,2.727368836522804423e-11,6.341368149818152844e-10
7.144963260755133171e-08,1.860899469219056415e-11,2.756833566015579919e-11,6.409876190289247257e-10
7.222152701143366221e-08,1.881003393411570505e-11,2.786616568278220620e-11,6.479124243582380602e-10
7.300176045008776194e-08,1.901324599016958255e-11,2.816721462627487449e-11,6.549120723675069086e-10
7.379042301291003960e-08,1.921865244294881691e-11,2.847151445978308435e-11,6.619873063664613182e-10
7.458760576256290662e-08,1.942627831782036687e-11,2.877910226232120430e-11,6.691389885314549484e-10
7.539340074548936763e-08,1.963614783099708332e-11,2.909001391239313476e-11,6.763679529361893364e-10
7.620790100254107378e-08,1.984828370407594785e-11,2.940428306191496696e-11,6.836749821147528242e-10
7.703120057972130775e-08,2.006271134380865915e-11,2.972194735424361413e-11,6.910609513725374640e-10
7.786339453904391968e-08,2.027945645587007881e-11,3.004304487052895427e-11,6.985267460515972383e-10
7.870457896950966979e-08,2.049854250572922644e-11,3.036761037769112418e-11,7.060731743473224452e-10
7.955485099820108945e-08,2.071999599962532099e-11,3.069568314028920225e-11,7.137011494874104236e-10
8.041430880149725030e-08,2.094384100774553015e-11,3.102729881451033101e-11,7.214115003916013187e-10
8.128305161640965918e-08,2.117010523030380921e-11,3.136249843660710741e-11,7.292051811395175408e-10
8.216117975204089333e-08,2.139881288523095980e-11,3.170131788850368801e-11,7.370830261303741896e-10
8.304879460116564515e-08,2.162999200086925611e-11,3.204379869554952808e-11,7.450460007282562152e-10
8.394599865193969534e-08,2.186366891853478224e-11,3.238997987262489911e-11,7.530950121388639845e-10
8.485289549973253972e-08,2.209986933531266227e-11,3.273989949403917332e-11,7.612309455957469936e-10
8.576958985908930759e-08,2.233862247695580172e-11,3.309360084999481230e-11,7.694548077489332094e-10
