J,SSE,loss_vs_reference,top,bottom,logmid,h,success
1.000000000000000888e-01,1.480980237558976453e-02,-5.540641159632752472e-02,2.971344586046748226e+00,4.493375114317872399e-01,-5.805644939973194640e-01,1.894484660343705107e+00,1.000000000000000000e+00
1.500000000000001332e-01,1.481123948433436116e-02,-5.424201602710731346e-02,2.972927256278747876e+00,4.471507876719139074e-01,-5.805215080394189320e-01,1.837031749674166603e+00,1.000000000000000000e+00
2.000000000000001776e-01,1.482927249303077344e-02,-3.964063996308498511e-02,2.974316596032609006e+00,4.448905138827833339e-01,-5.804604004686892971e-01,1.782557712691937635e+00,1.000000000000000000e+00
2.500000000000000000e-01,1.485880647589855885e-02,-1.576520418988098388e-02,2.975486972544277187e+00,4.425578514833544141e-01,-5.803692634123073235e-01,1.731154800817559458e+00,1.000000000000000000e+00
3.000000000000000444e-01,1.489551763142491804e-02,1.384622897639458880e-02,2.976415249285215836e+00,4.401585276405945990e-01,-5.802357533106843324e-01,1.682900763963992352e+00,1.000000000000000000e+00
3.500000000000000888e-01,1.493614575720593821e-02,4.653215764557304401e-02,2.977081937352923369e+00,4.377037179552176194e-01,-5.800481276252833496e-01,1.637858272835890361e+00,1.000000000000000000e+00
4.000000000000001332e-01,1.497862211899215687e-02,8.061008772343683515e-02,2.977472365303734048e+00,4.352104109902167894e-01,-5.797961906367404827e-01,1.596074214212374054e+00,1.000000000000000000e+00
4.500000000000001776e-01,1.502202340850052227e-02,1.153303964553347438e-01,2.977577912369925528e+00,4.327013652152499334e-01,-5.794722692868522484e-01,1.557579145381506214e+00,1.000000000000000000e+00
5.000000000000000000e-01,1.506636960983437010e-02,1.507031597006846246e-01,2.977397093598421751e+00,4.302045014451604810e-01,-5.790720118402540306e-01,1.522386567626647924e+00,1.000000000000000000e+00
5.500000000000002665e-01,1.511230742468733235e-02,1.872358548464102268e-01,2.976936506084464806e+00,4.277518927787036240e-01,-5.785950491868213641e-01,1.490491977881455377e+00,1.000000000000000000e+00
6.000000000000000888e-01,1.516073718677971721e-02,2.256302514684451754e-01,2.976211501783376345e+00,4.253780818895247506e-01,-5.780453148757683790e-01,1.461871028486119162e+00,1.000000000000000000e+00
6.499999999999999112e-01,1.521244733274460317e-02,2.664901323745680894e-01,2.975246484179794315e+00,4.231180991389779100e-01,-5.774311105019674928e-01,1.436477079524596467e+00,1.000000000000000000e+00
7.000000000000001776e-01,1.526781584895006705e-02,3.100870607427845815e-01,2.974074638085714373e+00,4.210052830509649069e-01,-5.767648218685923478e-01,1.414238289200118182e+00,1.000000000000000000e+00
7.500000000000000000e-01,1.532662377794950966e-02,3.562193662026664764e-01,2.972737057436985353e+00,4.190689561611659619e-01,-5.760623156634271380e-01,1.395054135278202878e+00,1.000000000000000000e+00
8.000000000000002665e-01,1.538800425098295691e-02,4.041813116469197276e-01,2.971281019351722730e+00,4.173323523734945861e-01,-5.753419024244447177e-01,1.378792576541742143e+00,1.000000000000000000e+00
8.500000000000000888e-01,1.545052503525533305e-02,4.528380054986694270e-01,2.969757597914914893e+00,4.158109652730311301e-01,-5.746231607041609735e-01,1.365288074141282948e+00,1.000000000000000000e+00
9.000000000000003553e-01,1.551237762018990371e-02,5.007813146114619141e-01,2.968218499352672346e+00,4.145115064970683605e-01,-5.739253692568128118e-01,1.354342053791732781e+00,1.000000000000000000e+00
9.500000000000001776e-01,1.557162655905534182e-02,5.465275526660020589e-01,2.966712641398104644e+00,4.134318495812532301e-01,-5.732661086265379291e-01,1.345726390185623567e+00,1.000000000000000000e+00
1.000000000000000000e+00,1.562646408990819857e-02,5.887128937716523680e-01,2.965282738424505293e+00,4.125618581019028230e-01,-5.726598991902004387e-01,1.339190545934916043e+00,1.000000000000000000e+00
1.050000000000000266e+00,1.567541979720690759e-02,6.262485877060276485e-01,2.963962769279669285e+00,4.118848644963226668e-01,-5.721173061963689133e-01,1.334470813847238313e+00,1.000000000000000000e+00
1.100000000000000089e+00,1.571749189286488282e-02,6.584128835916286393e-01,2.962776376048418037e+00,4.113798473617991669e-01,-5.716445670232269682e-01,1.331301735928567709e+00,1.000000000000000000e+00
1.150000000000000355e+00,1.575218978418068544e-02,6.848748522120784443e-01,2.961736733674269040e+00,4.110234308188583374e-01,-5.712436965143897760e-01,1.329426379365739486e+00,1.000000000000000000e+00
1.200000000000000178e+00,1.577949905386067178e-02,7.056610092608217588e-01,2.960847448669311710e+00,4.107918916212719429e-01,-5.709130509056827840e-01,1.328605487786625350e+00,1.000000000000000000e+00
1.250000000000000000e+00,1.579979355569601646e-02,7.210846641578361194e-01,2.960104336789543211e+00,4.106625892210126194e-01,-5.706482542614711440e-01,1.328623483321803356e+00,1.000000000000000000e+00
