G_mM,U,p0,p1,p2,p3,variance
1.079602432806304677e-02,2.966836247394222248e+00,2.130659219418752014e-08,9.245725936593314888e-05,3.297877416727005434e-02,9.669287472667721373e-01,3.224896047716363512e-02
1.095396340420681444e-02,2.966810328099464211e+00,2.135743926782363371e-08,9.260347443380804338e-05,3.300440087935210820e-02,9.669029742887754741e-01,3.227345267317005550e-02
1.111421303014328149e-02,2.966783638518888822e+00,2.140988333558463034e-08,9.275415824922374295e-05,3.303078893496741442e-02,9.668764354969016095e-01,3.229867158685451045e-02
1.127680700776919134e-02,2.966756155751451018e+00,2.146397713763201996e-08,9.290945112206600075e-05,3.305796095437003174e-02,9.668491081305294887e-01,3.232463875423974287e-02
1.144177963348188588e-02,2.966727856258020157e+00,2.151977522262639534e-08,9.306949774217275430e-05,3.308594018717150170e-02,9.668209687953116527e-01,3.235137630692541677e-02
1.160916570541350654e-02,2.966698715804122255e+00,2.157733409653545413e-08,9.323444755201481225e-05,3.311475056876699019e-02,9.667919934063453624e-01,3.237890702590107139e-02
1.177900053077110543e-02,2.966668709434628681e+00,2.163671231164446275e-08,9.340445494353271814e-05,3.314441674535076321e-02,9.667621571629946287e-01,3.240725436477198684e-02
1.195131993328404051e-02,2.966637811395983704e+00,2.169797066190532092e-08,9.357967975497566209e-05,3.317496415059668913e-02,9.667314344716784191e-01,3.243644252289712426e-02
1.212616026076042235e-02,2.966605995215639169e+00,2.176117207003373693e-08,9.376028688128479718e-05,3.320641892707911630e-02,9.666997990248666905e-01,3.246649636962573027e-02
1.230355839275401424e-02,2.966573233659708819e+00,2.182638171754831304e-08,9.394644657661695185e-05,3.323880796799013465e-02,9.666672237590506755e-01,3.249744148377153863e-02
1.248355174834338450e-02,2.966539498686642240e+00,2.189366718621186914e-08,9.413833478410356880e-05,3.327215896279026031e-02,9.666336808087592214e-01,3.252930419678357055e-02
1.266617829402476129e-02,2.966504761351252739e+00,2.196309870261713616e-08,9.433613375352182097e-05,3.330650049194703449e-02,9.665991414112017344e-01,3.256211168270439771e-02
1.285147655172047022e-02,2.966468991900163221e+00,2.203474900428938924e-08,9.454003157447504898e-05,3.334186193244494112e-02,9.665635760012329936e-01,3.259589186728106824e-02
1.303948560690441558e-02,2.966432159732634855e+00,2.210869347676800008e-08,9.475022247819469309e-05,3.337827349632599416e-02,9.665269541725015623e-01,3.263067346427206417e-02
1.323024511684653404e-02,2.966394233318250251e+00,2.218501038190929842e-08,9.496690739175344916e-05,3.341576631193452634e-02,9.664892445956630995e-01,3.266648605232802538e-02
1.342379531897776833e-02,2.966355180120181956e+00,2.226378108042116570e-08,9.519029446729692929e-05,3.345437249953517322e-02,9.664504149422148416e-01,3.270336014670505165e-02
1.362017703937750714e-02,2.966314966733548886e+00,2.234508982513984002e-08,9.542059838714008163e-05,3.349412503440802463e-02,9.664104320221151845e-01,3.274132706760113365e-02
1.381943170138508897e-02,2.966273558770415431e+00,2.242902406797555827e-08,9.565804112076706765e-05,3.353505786026587943e-02,9.663692616695875870e-01,3.278041904796680228e-02
1.402160133433739964e-02,2.966230920716608210e+00,2.251567483203455460e-08,9.590285285450398278e-05,3.357720603065730836e-02,9.663268686008130715e-01,3.282066936750460684e-02
1.422672858243417826e-02,2.966187016093359219e+00,2.260513647049512442e-08,9.615527117852072300e-05,3.362060554887151553e-02,9.662832165748125313e-01,3.286211219915102788e-02
1.443485671373313795e-02,2.966141807376982964e+00,2.269750692026910053e-08,9.641554166692831564e-05,3.366529344716512329e-02,9.662382683136618855e-01,3.290478268368879355e-02
1.464602962927654892e-02,2.966095255805747399e+00,2.279288819440367494e-08,9.668391911761354326e-05,3.371130797734973872e-02,9.661919853106434308e-01,3.294871711094415900e-02
1.486029187235147347e-02,2.966047321570832729e+00,2.289138609648509977e-08,9.696066658968143599e-05,3.375868842183005203e-02,9.661443280201942319e-01,3.299395273814731411e-02
1.507768863788534752e-02,2.965997963708743690e+00,2.299311054984363059e-08,9.724605616485110075e-05,3.380747519959964587e-02,9.660952557511265359e-01,3.304052789028943948e-02
1.529826578197912394e-02,2.965947139907926910e+00,2.309817611442365189e-08,9.754037021914955814e-05,3.385771005710395271e-02,9.660447264744999041e-01,3.308848214112103392e-02
1.552206983157976804e-02,2.965894806761801394e+00,2.320670159041954265e-08,9.784390012159284011e-05,3.390943581784738869e-02,9.659926970753283104e-01,3.313785607284458479e-02
1.574914799429438100e-02,2.965840919495061456e+00,2.331881071626076224e-08,9.815694798897109570e-05,3.396269665252765052e-02,9.659391230806724238e-01,3.318869153284076390e-02
1.597954816834776942e-02,2.965785431987827181e+00,2.343463226228813243e-08,9.847982673034114467e-05,3.401753805481255721e-02,9.658839586838238178e-01,3.324103160917424304e-02
1.621331895268579917e-02,2.965728296872506053e+00,2.355429997887656996e-08,9.881285967531237054e-05,3.407400674524829753e-02,9.658271568407779117e-01,3.329492053737403978e-02
1.645050965722646974e-02,2.965669465204294752e+00,2.367795344612845845e-08,9.915638269726620815e-05,3.413215099645163647e-02,9.657686689428980342e-01,3.335040400945743500e-02
1.669117031326100911e-02,2.965608886788872578e+00,2.380573755868004931e-08,9.951074252022633576e-05,3.419202030887368016e-02,9.657084451428682437e-01,3.340752886269449107e-02
1.693535168400711263e-02,2.965546509763164806e+00,2.393780358909459567e-08,9.987629939646565835e-05,3.425366582462854859e-02,9.656464339381704010e-01,3.346634347295562861e-02
1.718310527531657569e-02,2.965482280894118361e+00,2.407430875245038958e-08,1.002534256035539633e-04,3.431714003174732991e-02,9.655825824683399450e-01,3.352689747066861514e-02
1.743448334653954074e-02,2.965416145241278834e+00,2.421541712725413647e-08,1.006425076798516386e-04,3.438249709711464069e-02,9.655168361797898946e-01,3.358924205660152040e-02
1.768953892154771085e-02,2.965348046357183964e+00,2.436129945042089189e-08,1.010439455227329865e-04,3.444979266786783040e-02,9.654491390253083782e-01,3.365342981040164716e-02
1.794832579991886487e-02,2.965277926020231103e+00,2.451213392220451151e-08,1.014581542513480261e-04,3.451908413486734495e-02,9.653794331987484156e-01,3.371951493961411472e-02
1.821089856828490491e-02,2.965205724405118204e+00,2.466810609101392210e-08,1.018855635095774922e-04,3.459043046354909334e-02,9.653076593048367515e-01,3.378755311635472935e-02
1.847731261184596546e-02,2.965131379786233978e+00,2.482940975887013657e-08,1.023266195464313380e-04,3.466389248644839022e-02,9.652337560645968262e-01,3.385760175369512126e-02
