G_mM,J_minus_0p7,J_0,J_plus_0p7
4.960713250923735884e-02,2.935444250802126565e+00,2.948926253631757977e+00,2.941655907758700561e+00
5.033285379705294826e-02,2.935281644823359404e+00,2.948371971633950928e+00,2.940956709030896565e+00
5.106919193290933301e-02,2.935111563993148653e+00,2.947801462371150816e+00,2.940241875867765753e+00
5.181630223464570723e-02,2.934933667089285159e+00,2.947214258581912105e+00,2.939511036104936359e+00
5.257434229230411454e-02,2.934747597538169384e+00,2.946609880017460270e+00,2.938763807854016363e+00
5.334347200137012218e-02,2.934552982745408212e+00,2.945987833108741683e+00,2.937999799219729979e+00
5.412385359650025846e-02,2.934349433399237039e+00,2.945347610626750434e+00,2.937218608008179466e+00
5.491565168574237543e-02,2.934136542745811038e+00,2.944688691335899389e+00,2.936419821425962251e+00
5.571903328525711768e-02,2.933913885835543578e+00,2.944010539640636637e+00,2.935603015769876922e+00
5.653416785454686705e-02,2.933681018739481061e+00,2.943312605225065770e+00,2.934767756106931635e+00
5.736122733220053171e-02,2.933437477734806009e+00,2.942594322685773367e+00,2.933913595944379171e+00
5.820038617216081317e-02,2.933182778458553575e+00,2.941855111157749558e+00,2.933040076889493974e+00
5.905182138052247204e-02,2.932916415028556489e+00,2.941094373933439421e+00,2.932146728298762106e+00
5.991571255286848308e-02,2.932637859130733382e+00,2.940311498075007801e+00,2.931233066916262064e+00
6.079224191215288481e-02,2.932346559071767000e+00,2.939505854019815345e+00,2.930298596500835462e+00
6.168159434713729738e-02,2.932041938796277947e+00,2.938676795179183454e+00,2.929342807441855712e+00
6.258395745139029576e-02,2.931723396867589759e+00,2.937823657530554744e+00,2.928365176363188827e+00
6.349952156285675053e-02,2.931390305411202046e+00,2.936945759203069439e+00,2.927365165715112294e+00
6.442847980400667751e-02,2.931042009020183414e+00,2.936042400056752655e+00,2.926342223353851857e+00
6.537102812257070128e-02,2.930677823621644862e+00,2.935112861255382732e+00,2.925295782108420450e+00
6.632736533287224290e-02,2.930297035303520481e+00,2.934156404833254683e+00,2.924225259334497284e+00
6.729769315776364114e-02,2.929898899101053722e+00,2.933172273255903573e+00,2.923130056454973591e+00
6.828221627117636583e-02,2.929482637742206741e+00,2.932159688975120915e+00,2.922009558486932335e+00
6.928114234129327531e-02,2.929047440351618459e+00,2.931117853978390198e+00,2.920863133554730595e+00
7.029468207435278504e-02,2.928592461112456746e+00,2.930045949332992006e+00,2.919690132388886639e+00
7.132304925909356552e-02,2.928116817885966228e+00,2.928943134725125574e+00,2.918489887810497230e+00
7.236646081184977541e-02,2.927619590788338222e+00,2.927808547994248833e+00,2.917261714200945377e+00
7.342513682230558669e-02,2.927099820724855750e+00,2.926641304663070819e+00,2.916004906956552123e+00
7.449930059991960452e-02,2.926556507881287406e+00,2.925440497463485112e+00,2.914718741928016055e+00
7.558917872102782765e-02,2.925988610172793436e+00,2.924205195858897710e+00,2.913402474844335011e+00
7.669500107663634880e-02,2.925395041650632244e+00,2.922934445563371675e+00,2.912055340721026564e+00
7.781700092091259346e-02,2.924774670867354320e+00,2.921627268058070825e+00,2.910676553252435461e+00
7.895541492038651854e-02,2.924126319201211022e+00,2.920282660105506967e+00,2.909265304187963253e+00
8.011048320387109678e-02,2.923448759140913289e+00,2.918899593262193726e+00,2.907820762692047367e+00
8.128244941311367489e-02,2.922740712532077012e+00,2.917477013390253227e+00,2.906342074687824351e+00
8.247156075418758669e-02,2.922000848787002170e+00,2.916013840168721227e+00,2.904828362184307178e+00
8.367806804963644207e-02,2.921227783059849425e+00,2.914508966605158680e+00,2.903278722587099292e+00
8.490222579138043124e-02,2.920420074389501686e+00,2.912961258548410370e+00,2.901692227992610729e+00
8.614429219439737051e-02,2.919576223813063365e+00,2.911369554203258048e+00,2.900067924465791869e+00
8.740452925118832872e-02,2.918694672453021610e+00,2.909732663647937922e+00,2.898404831301503837e+00
8.868320278704083792e-02,2.917773799582054295e+00,2.908049368355331676e+00,2.896701940269652553e+00
8.998058251609972191e-02,2.916811920669472258e+00,2.906318420718933648e+00,2.894958214844270739e+00
9.129694209825907347e-02,2.915807285414381056e+00,2.904538543584607169e+00,2.893172589416850293e+00
9.263255919688570539e-02,2.914758075770797596e+00,2.902708429789270017e+00,2.891343968494237249e+00
9.398771553738778650e-02,2.913662403970987302e+00,2.900826741707731582e+00,2.889471225881525385e+00
9.536269696663966788e-02,2.912518310553727119e+00,2.898892110808924727e+00,2.887553203850445005e+00
9.675779351327665201e-02,2.911323762405200188e+00,2.896903137222950342e+00,2.885588712293857050e+00
9.817329944887119575e-02,2.910076650820824895e+00,2.894858389320305925e+00,2.883576527867047101e+00
9.960951335000479967e-02,2.908774789597402766e+00,2.892756403304855617e+00,2.881515393116626633e+00
1.010667381612471855e-01,2.907415913165714016e+00,2.890595682822169277e+00,2.879404015597988309e+00
1.025452812590576940e-01,2.905997674774813078e+00,2.888374698584863065e+00,2.877241066982367812e+00
1.040454545166205613e-01,2.904517644740196580e+00,2.886091888016851126e+00,2.875025182154698822e+00
1.055675743696296576e-01,2.902973308769262850e+00,2.883745654918211443e+00,2.872754958303611161e+00
1.071119618830347203e-01,2.901362066378379900e+00,2.881334369152872110e+00,2.870428954005102007e+00
1.086789428187648482e-01,2.899681229417399475e+00,2.878856366360994290e+00,2.868045688301509077e+00
1.102688477044420079e-01,2.897928020718345099e+00,2.876309947698400649e+00,2.865603639777682510e+00
1.118820119031005561e-01,2.896099572886574158e+00,2.873693379605239961e+00,2.863101245636391123e+00
1.135187756839257794e-01,2.894192927253898429e+00,2.871004893606330821e+00,2.860536900775202618e+00
1.151794842940283836e-01,2.892205033014423776e+00,2.868242686145712206e+00,2.857908956867357020e+00
1.168644880312678380e-01,2.890132746565482691e+00,2.865404918457949979e+00,2.855215721449301025e+00
1.185741423181422560e-01,2.887972831077131097e+00,2.862489716479049928e+00,2.852455457017863516e+00
1.203088077767580644e-01,2.885721956315251635e+00,2.859495170799711161e+00,2.849626380140293236e+00
1.220688503048975859e-01,2.883376698744599675e+00,2.856419336663965414e+00,2.846726660580617629e+00
1.238546411531983443e-01,2.880933541939498355e+00,2.853260234016213204e+00,2.843754420446165110e+00
1.256665570034624646e-01,2.878388877331052420e+00,2.850015847599939534e+00,2.840707733358272868e+00
1.275049800481107831e-01,2.875739005321185537e+00,2.846684127111349660e+00,2.837584623651624227e+00
1.293702980708001382e-01,2.872980136794627271e+00,2.843262987411336429e+00,2.834383065606959295e+00
1.312629045282192597e-01,2.870108395061226503e+00,2.839750308799398493e+00,2.831100982722204229e+00
1.331831986330820894e-01,2.867119818261602671e+00,2.836143937353102995e+00,2.827736247027513361e+00
1.351315854383343673e-01,2.864010362269967302e+00,2.832441685336799075e+00,2.824286678450031562e+00
1.371084759225931204e-01,2.860775904128149971e+00,2.828641331683567461e+00,2.820750044234558551e+00
1.391142870768349027e-01,2.857412246045268667e+00,2.824740622554251956e+00,2.817124058426780486e+00
1.411494419923534083e-01,2.853915119997154637e+00,2.820737271977663774e+00,2.813406381426053926e+00
1.432143699500028067e-01,2.850280192959226522e+00,2.816628962576128270e+00,2.809594619615187749e+00
1.453095065107476713e-01,2.846503072805652845e+00,2.812413346380564505e+00,2.805686325075119392e+00
1.474352936075364606e-01,2.842579314906207966e+00,2.808088045739383531e+00,2.801678995392784088e+00
1.495921796385202285e-01,2.838504429450604327e+00,2.803650654325613445e+00,2.797570073570917693e+00
1.517806195616339671e-01,2.834273889527441082e+00,2.799098738246620144e+00,2.793356948049003030e+00
1.540010749905626475e-01,2.829883139982269036e+00,2.794429837260884231e+00,2.789036952845010298e+00
1.562540142921101660e-01,2.825327607075434067e+00,2.789641466106351331e+00,2.784607367827990121e+00
1.585399126849937890e-01,2.820602708956261306e+00,2.784731115944801161e+00,2.780065419132037530e+00
1.608592523400827201e-01,2.815703866964988311e+00,2.779696255926753068e+00,2.775408279722580751e+00
1.632125224821044107e-01,2.810626517768243460e+00,2.774534334881408881e+00,2.770633070126338193e+00
1.656002194928374582e-01,2.805366126327159648e+00,2.769242783136019348e+00,2.765736859336661801e+00
1.680228470158153797e-01,2.799918199689917397e+00,2.763819014469063973e+00,2.760716665906419287e+00
1.704809160625609110e-01,2.794278301592282965e+00,2.758260428201579018e+00,2.755569459240801322e+00
1.729749451203757282e-01,2.788442067840685823e+00,2.752564411430750368e+00,2.750292161102863453e+00
1.755054602617057424e-01,2.782405222442497994e+00,2.746728341409875096e+00,2.744881647344762143e+00
1.780729952551077799e-01,2.776163594437558668e+00,2.740749588078579269e+00,2.739334749877939235e+00
