G_mM,U,p0,p1,p2,p3,variance
1.266617829402476129e-02,2.966504761367281251e+00,7.586153391639862569e-05,1.311425769455350308e-03,3.064480249205784809e-02,9.679679102045700700e-01,3.545132836406672538e-02
1.285147655172047022e-02,2.966468991919134712e+00,7.608880751357768694e-05,1.314028928106758184e-03,3.067468380211326590e-02,9.679351984622670546e-01,3.549127027923759670e-02
1.303948560690441558e-02,2.966432159721131168e+00,7.632327397355604857e-05,1.316711710680453428e-03,3.070544703558754709e-02,9.679015179797585411e-01,3.553240344308150611e-02
1.323024511684653404e-02,2.966394233291444582e+00,7.656517326412583485e-05,1.319476612382186609e-03,3.073711796400031143e-02,9.678668402503538548e-01,3.557476341683063481e-02
1.342379531897776833e-02,2.966355180146388992e+00,7.681475455048971702e-05,1.322326215488442598e-03,3.076972315898386656e-02,9.678311358709776879e-01,3.561838690890795078e-02
1.362017703937750714e-02,2.966314966747087389e+00,7.707227672555667767e-05,1.325263194156003910e-03,3.080329003442244459e-02,9.677943744946954086e-01,3.566331183633053570e-02
1.381943170138508897e-02,2.966273558732753557e+00,7.733800711315196995e-05,1.328290298334440685e-03,3.083784664923665611e-02,9.677565250453152856e-01,3.570957706604538373e-02
1.402160133433739964e-02,2.966230920730592135e+00,7.761222288796641299e-05,1.331410368620447853e-03,3.087342186350216025e-02,9.677175555449890609e-01,3.575722262927527595e-02
1.422672858243417826e-02,2.966187016121071274e+00,7.789521280989131690e-05,1.334626354511900953e-03,3.091004553147760903e-02,9.676774329012013398e-01,3.580628998601120827e-02
1.443485671373313795e-02,2.966141807341900805e+00,7.818727550638111150e-05,1.337941293296512771e-03,3.094774824498658719e-02,9.676361231862103951e-01,3.585682168765913502e-02
1.464602962927654892e-02,2.966095255811693754e+00,7.848872020613501639e-05,1.341358316790619088e-03,3.098656139410793653e-02,9.675935915688956834e-01,3.590886146464455919e-02
1.486029187235147347e-02,2.966047321601535280e+00,7.879986912999138108e-05,1.344880676696596665e-03,3.102651743768393769e-02,9.675498020164903235e-01,3.596245459620384111e-02
1.507768863788534752e-02,2.965997963670786053e+00,7.912105625122452073e-05,1.348511728652943475e-03,3.106764970315306629e-02,9.675047175119423359e-01,3.601764764949599851e-02
1.529826578197912394e-02,2.965947139928178267e+00,7.945262718928086849e-05,1.352254929106840291e-03,3.110999233204131409e-02,9.674583001116630054e-01,3.607448841409777174e-02
1.552206983157976804e-02,2.965894806775034809e+00,7.979494250382883650e-05,1.356113870424316978e-03,3.115358065660392764e-02,9.674105105304674490e-01,3.613302641592497366e-02
1.574914799429438100e-02,2.965840919459915348e+00,8.014837572445171964e-05,1.360092256376491679e-03,3.119845090015728115e-02,9.673613084677414875e-01,3.619331252384228037e-02
1.597954816834776942e-02,2.965785432028390289e+00,8.051331402681458169e-05,1.364193907452525755e-03,3.124464021462605365e-02,9.673106525638952569e-01,3.625539900918894887e-02
1.621331895268579917e-02,2.965728296848997747e+00,8.089016173172339783e-05,1.368422797665390335e-03,3.129218707047613790e-02,9.672584999701266950e-01,3.631934007985115898e-02
1.645050965722646974e-02,2.965669465208785827e+00,8.127933679311368062e-05,1.372783012395180401e-03,3.134113075604301468e-02,9.672048068947682875e-01,3.638519121771643938e-02
1.669117031326100911e-02,2.965608886792165499e+00,8.168127465793156340e-05,1.377278788895732820e-03,3.139151180606804953e-02,9.671495281303778002e-01,3.645300976590171160e-02
1.693535168400711263e-02,2.965546509741988856e+00,8.209642832982998672e-05,1.381914513908862659e-03,3.144337194520311490e-02,9.670926171125577842e-01,3.652285486485062904e-02
1.718310527531657569e-02,2.965482280912977942e+00,8.252526716406018918e-05,1.386694707016946672e-03,3.149675387149786232e-02,9.670340261543217686e-01,3.659478717306541284e-02
1.743448334653954074e-02,2.965416145220449273e+00,8.296828172477779307e-05,1.391624071411143868e-03,3.155170179155187410e-02,9.669737058553113940e-01,3.666886960131243711e-02
1.768953892154771085e-02,2.965348046376657276e+00,8.342597941442360854e-05,1.396707441545607005e-03,3.160826080200584975e-02,9.669116057770333894e-01,3.674516649301118321e-02
1.794832579991886487e-02,2.965277926006310683e+00,8.389889098162054315e-05,1.401949851671599120e-03,3.166647761740169070e-02,9.668476736399451710e-01,3.682374462049864405e-02
1.821089856828490491e-02,2.965205724419195388e+00,8.438756594861273903e-05,1.407356480927630417e-03,3.172639992110219687e-02,9.667818560320210475e-01,3.690467232516070339e-02
1.847731261184596546e-02,2.965131379777549370e+00,8.489257888433361600e-05,1.412932718503305670e-03,3.178807704879110796e-02,9.667140976538212138e-01,3.698802045654581150e-02
1.874762412605298495e-02,2.965054828794133179e+00,8.541452537975182139e-05,1.418684114450321750e-03,3.185155940082844833e-02,9.666443419593419017e-01,3.707386159643455414e-02
1.902189012846117189e-02,2.964976005935080927e+00,8.595402820734212614e-05,1.424616442736410978e-03,3.191689909482365445e-02,9.665725304342325241e-01,3.716227095937796321e-02
1.930016847075688088e-02,2.964894844134241314e+00,8.651173323964204379e-05,1.430735651013811689e-03,3.198414936401148406e-02,9.664986032517348669e-01,3.725332559886673778e-02
1.958251785096037922e-02,2.964811273923996904e+00,8.708831624065621060e-05,1.437047929683897031e-03,3.205336526791265073e-02,9.664224984861624623e-01,3.734710538996388607e-02
1.986899782580723098e-02,2.964725224225885469e+00,8.768447832549826511e-05,1.443559656130206231e-03,3.212460302687729363e-02,9.663441528386669255e-01,3.744369215041487564e-02
2.015966882331076543e-02,2.964636621466945954e+00,8.830095300463377693e-05,1.450277465515843137e-03,3.219792074300850682e-02,9.662635008384711233e-01,3.754317064084311539e-02
2.045459215550831170e-02,2.964545390194178065e+00,8.893850294465568431e-05,1.457208208617455109e-03,3.227337787975069483e-02,9.661804754086863456e-01,3.764562788424719031e-02
2.075383003139389185e-02,2.964451452640155082e+00,8.959792405003947811e-05,1.464358989225718723e-03,3.235103560924194877e-02,9.660950074774818930e-01,3.775115366320491717e-02
2.105744557004016540e-02,2.964354728598013633e+00,9.028004749686348058e-05,1.471737178521623354e-03,3.243095690245189483e-02,9.660070258715293123e-01,3.785984067068959291e-02
2.136550281391231751e-02,2.964255135826920462e+00,9.098573808667540690e-05,1.479350389203038440e-03,3.251320618041442234e-02,9.659164576922961709e-01,3.797178406525070216e-02
2.167806674237670456e-02,2.964152589385357750e+00,9.171590023519200015e-05,1.487206531663374598e-03,3.259784985060729112e-02,9.658232277174932934e-01,3.808708223161261230e-02
2.199520328540710556e-02,2.964047001848508778e+00,9.247147782729554235e-05,1.495313803123388607e-03,3.268495611176214233e-02,9.657272586072870313e-01,3.820583654862197420e-02
2.231697933749153193e-02,2.963938283458238843e+00,9.325345458718588363e-05,1.503680681986810635e-03,3.277459481402694719e-02,9.656284710493993062e-01,3.832815123331734242e-02
2.264346277174249245e-02,2.963826341605245496e+00,9.406285933418950872e-05,1.512315973873981862e-03,3.286683786900318482e-02,9.655267832977884046e-01,3.845413393684893322e-02
