top,bottom,logmid,h
2.999998999999999416e+00,4.849337631071369281e-01,-6.357033611944069573e-01,1.904977440071158101e+00
2.976060086338315536e+00,4.910119553134370540e-01,-5.937530934819403861e-01,2.133553698834778523e+00
2.888504974527023705e+00,5.194872585402253717e-01,-5.534003344609602637e-01,2.283203779608169004e+00
2.999998999999999416e+00,5.185870709057811556e-01,-6.826330732530769829e-01,2.092118518842023711e+00
2.958702980216338041e+00,4.217932941620895493e-01,-5.424939334513327882e-01,1.877679172555423381e+00
2.981071168285407413e+00,3.936050186671433138e-01,-5.362768530140269441e-01,2.103208241082971330e+00
2.889566719191163813e+00,5.072977011450053864e-01,-5.670085961202074865e-01,2.198174511811133769e+00
2.884189366223526285e+00,5.205891082558146143e-01,-5.623957371679657591e-01,2.267527872735660033e+00
2.999998999999999416e+00,4.702974117813201183e-01,-6.055617851095750348e-01,1.898895365393246104e+00
2.975320141568885024e+00,4.732279292219068179e-01,-6.175090023654180582e-01,2.055206763354369137e+00
2.999998999999999416e+00,5.039568346415153055e-01,-6.059684247928948109e-01,2.027145490687257912e+00
2.947616596457145466e+00,4.400887714199459566e-01,-5.774877587084134012e-01,1.827202983484021548e+00
2.941148005615753735e+00,5.070429050113194336e-01,-5.952888050842443102e-01,2.122324893743197993e+00
2.954938875827713751e+00,4.941157057551479603e-01,-5.983643067606269073e-01,2.198776438026975644e+00
2.965795139768871991e+00,4.032494928230733189e-01,-5.543639776049150703e-01,1.780759131628493863e+00
2.940928004499561155e+00,5.127186477470747628e-01,-5.783485599781816866e-01,2.215952316278528400e+00
2.947238778401441106e+00,4.838016195984071177e-01,-5.866936974111244263e-01,2.240775718837738850e+00
2.999998999999999416e+00,4.164246949939336417e-01,-5.394351277491307162e-01,1.868993600060401494e+00
2.999998999999999416e+00,4.325954210012729617e-01,-5.129587199477968484e-01,2.081560727948852385e+00
2.892535172825527301e+00,4.618249784096372657e-01,-5.829055774554288138e-01,2.020433238328181780e+00
2.909212984724156570e+00,5.420235468136738177e-01,-5.913476525279481866e-01,2.343905724410861868e+00
2.876604336298778541e+00,4.363924677485218617e-01,-4.899108603604567791e-01,2.073817900875627007e+00
2.954553069631411510e+00,5.747886244441123837e-01,-6.027152039323326882e-01,2.098844510827264198e+00
2.999998999999999416e+00,4.299809962822933040e-01,-5.840811457288063169e-01,1.902465320381520719e+00
2.940495646617315106e+00,5.224504584388007800e-01,-6.281054086517843249e-01,2.063407669531608146e+00
2.974894528315985109e+00,4.564623765063944849e-01,-5.580213440848446060e-01,2.246089631184573499e+00
2.934436934156279708e+00,4.279459590447908801e-01,-5.746707260329356748e-01,2.319638612429719693e+00
2.890984763967526128e+00,3.804187990560674582e-01,-4.679360233593265472e-01,1.775244407655344858e+00
2.966563189696044045e+00,5.002293788384090112e-01,-5.619993437603220121e-01,2.009175820534067736e+00
2.936759732374720766e+00,4.773705262147293071e-01,-5.996085533610403528e-01,1.950148948040003605e+00
2.944185878225092257e+00,4.758409191361563928e-01,-5.739583442170573813e-01,2.227541682032330161e+00
2.952425849756797227e+00,4.815835208270879964e-01,-5.507055124014742509e-01,2.073204322523381382e+00
