G_mM,Y_0p5,Y_5,Y_36
8.041430880149725030e-08,8.992296358193001497e-13,1.571596342085317998e-12,1.529553349331597057e-10
8.128305161640965918e-08,9.089443858392147669e-13,1.588574948016631922e-12,1.546077747705747732e-10
8.216117975204089333e-08,9.187640082246914665e-13,1.605736840775481719e-12,1.562780531791300808e-10
8.304879460116564515e-08,9.286897679810760679e-13,1.623084231505733919e-12,1.579663846757080273e-10
8.394599865193969534e-08,9.387227816334198756e-13,1.640619070954525390e-12,1.596729600293343632e-10
8.485289549973253972e-08,9.488641096945226517e-13,1.658343213520081329e-12,1.613979588128422415e-10
8.576958985908930759e-08,9.591150741385477770e-13,1.676258969029625396e-12,1.631416067664160553e-10
8.669618757582153499e-08,9.694767549284696875e-13,1.694368224988057140e-12,1.649040869057859452e-10
8.763279563922865902e-08,9.799503274712887820e-13,1.712673035706983380e-12,1.666855993527294530e-10
8.857952219445150371e-08,9.905371238382538036e-13,1.731175729052520850e-12,1.684863704709477494e-10
8.953647655495917348e-08,1.001238265762386290e-12,1.749878266170697997e-12,1.703065915445456968e-10
9.050376921517098231e-08,1.012055040356334217e-12,1.768782895768724103e-12,1.721464815363513788e-10
9.148151186321455664e-08,1.022988647685243395e-12,1.787891716088215942e-12,1.740062440652581447e-10
9.246981739382196489e-08,1.034040396650209055e-12,1.807207014036391883e-12,1.758861020249608066e-10
9.346879992136498546e-08,1.045211490292359392e-12,1.826730892311536695e-12,1.777862599831825653e-10
9.447857479303168357e-08,1.056503318608326831e-12,1.846465780009792209e-12,1.797069541985648660e-10
9.549925860214355592e-08,1.067917112060797091e-12,1.866413828428343054e-12,1.816483946878254474e-10
9.653096920161996645e-08,1.079454236200828062e-12,1.886577423157765330e-12,1.836108127214714830e-10
9.757382571758464530e-08,1.091116022674527340e-12,1.906958892064175773e-12,1.855944355849246241e-10
9.862794856312092163e-08,1.102903744352339367e-12,1.927560460085888510e-12,1.875994797740552415e-10
9.969345945217510761e-08,1.114818837677487822e-12,1.948384636539064601e-12,1.896261888128307272e-10
1.007704814136102309e-07,1.126862676278698479e-12,1.969433823992060842e-12,1.916747974688741396e-10
1.018591388054114787e-07,1.139036576709593912e-12,1.990710321660987606e-12,1.937455285816613932e-10
1.029595573290451531e-07,1.151342047580986021e-12,2.012216767044258293e-12,1.958386395822950220e-10
1.040718640439727924e-07,1.163780405021357240e-12,2.033955459994650623e-12,1.979543542319713952e-10
1.051961873823219803e-07,1.176353189739621955e-12,2.055929093400591101e-12,2.000929339739880693e-10
1.063326571637157753e-07,1.189061774301654181e-12,2.078140066434880710e-12,2.022546129524512479e-10
1.074814046102622819e-07,1.201907654457768138e-12,2.100590992827038503e-12,2.044396456435361921e-10
1.086425623617065222e-07,1.214892359438085987e-12,2.123284545092153670e-12,2.066482913488957940e-10
1.098162644907441289e-07,1.228017318352159163e-12,2.146223221510828948e-12,2.088807941889048000e-10
1.110026465185043144e-07,1.241284016959501563e-12,2.169409617985912230e-12,2.111374061185619128e-10
1.122018454301962231e-07,1.254694091413053533e-12,2.192846594636982120e-12,2.134184057143214355e-10
1.134139996909262527e-07,1.268249036293992500e-12,2.216536763283557653e-12,2.157240469372794656e-10
1.146392492616859073e-07,1.281950470537071281e-12,2.240482953485209843e-12,2.180546058698232222e-10
1.158777356155123783e-07,1.295799873843552754e-12,2.264687751382562550e-12,2.204103335452308756e-10
1.171296017538235880e-07,1.309798919034739068e-12,2.289154080337431900e-12,2.227915144227020582e-10
1.183949922229298931e-07,1.323949149689242160e-12,2.313884638543802254e-12,2.251984118431940300e-10
1.196740531307240213e-07,1.338252299210875545e-12,2.338882455050181216e-12,2.276313196457675600e-10
1.209669321635515986e-07,1.352709967934498447e-12,2.364150326946132590e-12,2.300905110392107083e-10
1.222737786032629156e-07,1.367323802110136376e-12,2.389691131541238798e-12,2.325762650608380181e-10
1.235947433444508285e-07,1.382095563094585947e-12,2.415507947119576264e-12,2.350888820559723396e-10
1.249299789118730487e-07,1.397026881301391597e-12,2.441603622977387184e-12,2.376286390829401404e-10
1.262796394780635729e-07,1.412119506395988455e-12,2.467981217025409453e-12,2.401958339658876086e-10
1.276438808811342715e-07,1.427375180284998261e-12,2.494643774016599098e-12,2.427907626041919607e-10
1.290228606427678799e-07,1.442795688770792371e-12,2.521594414679486502e-12,2.454137286505257648e-10
1.304167379864075283e-07,1.458382790234184613e-12,2.548836211992591041e-12,2.480650319893516821e-10
1.318256738556404799e-07,1.474138256873052410e-12,2.576372263552214887e-12,2.507449733455244051e-10
1.332498309327817163e-07,1.490063957285865473e-12,2.604205835459145790e-12,2.534538707668215138e-10
1.346893736576579522e-07,1.506161732224395644e-12,2.632340143941937358e-12,2.561920373671051623e-10
1.361444682465946456e-07,1.522433390342312283e-12,2.660778350900240446e-12,2.589597808112429673e-10
1.376152827116080713e-07,1.538880809059749033e-12,2.689523736865958155e-12,2.617574201229517317e-10
1.391019868798051013e-07,1.555506014170849325e-12,2.718579842979943746e-12,2.645853005136531190e-10
1.406047524129911441e-07,1.572310772878090519e-12,2.747949757288498076e-12,2.674437221931229167e-10
1.421237528274926214e-07,1.589297027222951569e-12,2.777636874074661645e-12,2.703330155710365110e-10
1.436591635141908595e-07,1.606466838392516887e-12,2.807644795599302897e-12,2.732535311993723600e-10
1.452111617587741167e-07,1.623822138331179659e-12,2.837976898743237008e-12,2.762055979967875670e-10
1.467799267622067974e-07,1.641364982592913420e-12,2.868636775156218328e-12,2.791895650242421517e-10
1.483656396614223336e-07,1.659097294194163194e-12,2.899627786863502462e-12,2.822057597364842278e-10
1.499684835502371173e-07,1.677021222857506851e-12,2.930953690199328491e-12,2.852545474872385308e-10
1.515886435004915427e-07,1.695138735282568554e-12,2.962617922740081342e-12,2.883362635387675783e-10
1.532263065834193501e-07,1.713452027532233198e-12,2.994624322737797228e-12,2.914512806998879866e-10
1.548816618912477606e-07,1.731963134434878218e-12,3.026976445764444759e-12,2.945999451037419000e-10
1.565549005590308355e-07,1.750674221549563161e-12,3.059678077228715218e-12,2.977826255740604384e-10
1.582462157867191841e-07,1.769587499287662496e-12,3.092733079788206514e-12,3.009996978203687485e-10
1.599558028614666297e-07,1.788705048711575449e-12,3.126145091357129014e-12,3.042515159188705187e-10
1.616838591801806088e-07,1.808029180672102718e-12,3.159918149464234422e-12,3.075384728206853855e-10
1.634305842723134188e-07,1.827562099203512252e-12,3.194056107429341245e-12,3.108609437473688323e-10
1.651961798229011174e-07,1.847305960086634145e-12,3.228562731985579537e-12,3.142192945948340001e-10
1.669808496958513169e-07,1.867263193636729458e-12,3.263442271186196319e-12,3.176139395679899603e-10
