draw,model,n_0p5,n_5,n_36
1.800000000000000000e+01,1.000000000000000000e+00,2.360589771339262732e+00,2.429501993813454330e+00,3.191982729692258491e+00
1.800000000000000000e+01,2.000000000000000000e+00,5.324333370002240606e+00,5.787877390148417511e+00,6.202498976906486661e+00
1.800000000000000000e+01,3.000000000000000000e+00,3.323610824577440059e+00,3.531892826858382239e+00,4.882695254340050361e+00
1.900000000000000000e+01,0.000000000000000000e+00,3.358457414079972558e+00,3.554706847897692423e+00,4.504940956033879118e+00
1.900000000000000000e+01,1.000000000000000000e+00,2.352235793106567385e+00,2.411379280739979425e+00,2.930726323466971373e+00
1.900000000000000000e+01,2.000000000000000000e+00,5.430056173350980231e+00,5.864459873201502305e+00,5.758042918697690915e+00
1.900000000000000000e+01,3.000000000000000000e+00,3.358457414079822012e+00,3.554706847898720934e+00,4.504940956033878230e+00
2.000000000000000000e+01,0.000000000000000000e+00,3.878712428340329144e+00,4.135809782335256202e+00,5.199564356465489645e+00
2.000000000000000000e+01,1.000000000000000000e+00,2.690395765468427847e+00,2.770942547803915801e+00,3.494209128924854912e+00
2.000000000000000000e+01,2.000000000000000000e+00,6.324339495625766361e+00,6.852670673165070170e+00,6.279185610577698640e+00
2.000000000000000000e+01,3.000000000000000000e+00,3.878712428340475249e+00,4.135809782335256202e+00,5.199564356465488757e+00
2.100000000000000000e+01,0.000000000000000000e+00,3.379105819059962545e+00,3.594922668900076168e+00,4.947764901621769518e+00
2.100000000000000000e+01,1.000000000000000000e+00,2.408044759989966366e+00,2.478521704289972316e+00,3.240887710079924044e+00
2.100000000000000000e+01,2.000000000000000000e+00,5.398007061825631503e+00,5.881458646167970095e+00,6.257538298518482200e+00
2.100000000000000000e+01,3.000000000000000000e+00,3.379105819060824523e+00,3.594922668900409235e+00,4.947764901621875211e+00
2.200000000000000000e+01,0.000000000000000000e+00,3.810802167880765978e+00,4.029585023132037591e+00,4.314417271446384206e+00
2.200000000000000000e+01,1.000000000000000000e+00,2.666287358291603127e+00,2.724096728215022800e+00,2.983877559378260713e+00
2.200000000000000000e+01,2.000000000000000000e+00,6.167235417858319302e+00,6.628611644126759295e+00,5.257078520390154885e+00
2.200000000000000000e+01,3.000000000000000000e+00,3.810802167879880908e+00,4.029585023132374211e+00,4.314417271446876256e+00
2.300000000000000000e+01,0.000000000000000000e+00,3.315246890006562364e+00,3.517910784485426490e+00,4.777341087443008227e+00
2.300000000000000000e+01,1.000000000000000000e+00,2.323882129758321202e+00,2.393058646774451681e+00,3.143113554606691284e+00
2.300000000000000000e+01,2.000000000000000000e+00,5.371126552903577434e+00,5.777414501507992739e+00,5.985131442509103117e+00
2.300000000000000000e+01,3.000000000000000000e+00,3.315246890006564584e+00,3.517910784485973608e+00,4.777341087442938061e+00
2.400000000000000000e+01,0.000000000000000000e+00,3.789592539901689427e+00,4.054465431489960636e+00,5.219659903346979490e+00
2.400000000000000000e+01,1.000000000000000000e+00,2.753014489572793266e+00,2.833154471818605469e+00,3.520676242463013583e+00
