G_mM,Y_0p5,Y_5,Y_36
3.749730022454831971e-08,3.466332864882312346e-16,7.482502369678344697e-16,2.363551660641115351e-13
3.790239616623081612e-08,3.503752297466493890e-16,7.563275124309851820e-16,2.389065989733853997e-13
3.831186849557282214e-08,3.541695725399877265e-16,7.645180683095503594e-16,2.414938759062301089e-13
3.872576449216165457e-08,3.579910716845879393e-16,7.727671736163073527e-16,2.440995357800588877e-13
3.914413194636190865e-08,3.618554576696350283e-16,7.811089821843679477e-16,2.467344782147473395e-13
3.956701916483355350e-08,3.657865919466291086e-16,7.895946186955952553e-16,2.494149712996618929e-13
3.999447497610965066e-08,3.697352635933226431e-16,7.981184396165129462e-16,2.521073943167785952e-13
4.042654873623431788e-08,3.737538190010912822e-16,8.067930889557070940e-16,2.548474828357390400e-13
4.086329033446161975e-08,3.777867231658867296e-16,8.154987100938723513e-16,2.575973864352839423e-13
4.130475019901600056e-08,3.818626204582181184e-16,8.242968223577317792e-16,2.603765725956884671e-13
4.175097930291511298e-08,3.860132375741781133e-16,8.332565819559467719e-16,2.632066778758101211e-13
4.220202916985481773e-08,3.901782034471649165e-16,8.422471012175234431e-16,2.660465982365161821e-13
4.265795188015923932e-08,3.944035403867535175e-16,8.513678717432657076e-16,2.689277310902840143e-13
4.311880007679358157e-08,3.986606571659792665e-16,8.605575863420600338e-16,2.718305005029092524e-13
4.358462697144272729e-08,4.029624145226218126e-16,8.698431862362987366e-16,2.747636370156852082e-13
4.405548635065526447e-08,4.073228954959852516e-16,8.792560674961716888e-16,2.777369014822318399e-13
4.453143258205395839e-08,4.117183980652030665e-16,8.887442568973782525e-16,2.807340258131826682e-13
4.501252062061327156e-08,4.162076989905407322e-16,8.984350358055527757e-16,2.837951379623082682e-13
4.549880601500475226e-08,4.206971062029674137e-16,9.081258147137272990e-16,2.868561958844693688e-13
4.599034491401090033e-08,4.252500730946685391e-16,9.179538453611773570e-16,2.899606896052389305e-13
4.648719407300841696e-08,4.298380084386794584e-16,9.278573962855704575e-16,2.930890431904126382e-13
4.698941086052139414e-08,4.345022047691107249e-16,9.379259887140693287e-16,2.962694004345945200e-13
4.749705326484539690e-08,4.391903688381312701e-16,9.480457058244313109e-16,2.994660257681429316e-13
4.801017990074320577e-08,4.439436868927624836e-16,9.583064931150377972e-16,3.027071172126263497e-13
4.852885001621208072e-08,4.487335677060398634e-16,9.686459827167282981e-16,3.059731530608050092e-13
4.905312349932583513e-08,4.536173531625261590e-16,9.791880618253866599e-16,3.093031767271585412e-13
4.958306088514909963e-08,4.585121924762775024e-16,9.897541122579060913e-16,3.126407921685497401e-13
5.011872336272716368e-08,4.634722389191841453e-16,1.000461232870670224e-15,3.160228737208759454e-13
5.066017278215114356e-08,4.684879797967726823e-16,1.011288210102739901e-15,3.194428599214260864e-13
5.120747166169950247e-08,4.735418245957990773e-16,1.022197708086862562e-15,3.228888750649625640e-13
5.176068319505665054e-08,4.786784138936801766e-16,1.033285612118482485e-15,3.263913404786007467e-13
5.231987125860965726e-08,4.838435944185259259e-16,1.044435247612435097e-15,3.299132733725141447e-13
5.288510041882365189e-08,4.890899251358900072e-16,1.055760107119744197e-15,3.334905177702735523e-13
5.345643593969700377e-08,4.943950857570640960e-16,1.067211823721468782e-15,3.371078901218035853e-13
5.403394379029700392e-08,4.997272432988663638e-16,1.078722089751385084e-15,3.407436996412823387e-13
5.461769065237694114e-08,5.051325795015054966e-16,1.090390184674687884e-15,3.444293437411870251e-13
5.520774392807571753e-08,5.105952044451628959e-16,1.102181742522656062e-15,3.481540854825358418e-13
5.580417174769961297e-08,5.161451973760502228e-16,1.114162313198591080e-15,3.519384226579305500e-13
5.640704297759009623e-08,5.217127808201815857e-16,1.126180431877388189e-15,3.557346897655273059e-13
5.701642722807468503e-08,5.273550309443970223e-16,1.138359985754931234e-15,3.595819302198056904e-13
5.763239486150466666e-08,5.330705660165382904e-16,1.150697580661470503e-15,3.634790594814746081e-13
5.825501700037946082e-08,5.388479601745286142e-16,1.163168821001925472e-15,3.674184857754963922e-13
5.888436553555878271e-08,5.446604290719177479e-16,1.175715793754933014e-15,3.713817719339223225e-13
5.952051313456344680e-08,5.505635077127541849e-16,1.188458143404189143e-15,3.754068768319408843e-13
6.016353324996595611e-08,5.565158504193826915e-16,1.201307197264968460e-15,3.794655482210188999e-13
6.081350012787161807e-08,5.625318590923745593e-16,1.214293502865023707e-15,3.835676011817409276e-13
6.147048881649141798e-08,5.686433135713671826e-16,1.227485792141796921e-15,3.877347264999288222e-13
6.213457517480736454e-08,5.747881421963333756e-16,1.240749995390153344e-15,3.919246271432297677e-13
6.280583588133155830e-08,5.810156090330651090e-16,1.254192816821616756e-15,3.961709238296678684e-13
