G_mM,Y_0p5,Y_5,Y_36
2.897343587701319581e-08,3.239951570114564717e-13,5.662510020073555100e-13,5.511041213899777212e-11
2.928644564625232153e-08,3.274953819409328761e-13,5.723683952938345627e-13,5.570578781772677033e-11
2.960283696526880509e-08,3.310334196074758587e-13,5.785518750239973916e-13,5.630759531602881048e-11
2.992264636608183199e-08,3.346097672128607213e-13,5.848023091869856560e-13,5.691591918820117857e-11
3.024591077537828384e-08,3.382246640048847935e-13,5.911201160729211044e-13,5.753080015260055777e-11
3.057266751877644744e-08,3.418786140938560330e-13,5.975061772531714865e-13,5.815232392922952693e-11
3.090295432513581438e-08,3.455720394316871828e-13,6.039612302001737970e-13,5.878056230384608715e-11
3.123680933091344429e-08,3.493053662216957554e-13,6.104860189652556606e-13,5.941558779416272134e-11
3.157427108456735162e-08,3.530790464944824296e-13,6.170813342886472664e-13,6.005747722829052194e-11
3.191537855100761085e-08,3.568934730798380818e-13,6.237478627094374669e-13,6.070629751229097464e-11
3.226017111609499478e-08,3.607491084243049172e-13,6.304864121578614797e-13,6.136212720927836414e-11
3.260868859118930989e-08,3.646463974373808895e-13,6.372977602163677291e-13,6.202504206298677803e-11
3.296097121774574116e-08,3.685858328568664110e-13,6.441827680829849301e-13,6.269512586864961700e-11
3.331705967196146971e-08,3.725677842361117910e-13,6.511420819745676863e-13,6.337244149302395996e-11
3.367699506947228523e-08,3.765927545162885964e-13,6.581765807035942687e-13,6.405707449345584861e-11
3.404081897010002690e-08,3.806612077382158651e-13,6.652870747469670595e-13,6.474910375837268074e-11
3.440857338265126335e-08,3.847736349391320917e-13,6.724744229682696201e-13,6.544861286613243541e-11
3.478030076976782017e-08,3.889304682743212238e-13,6.797393804543882991e-13,6.615567525616806325e-11
3.515604405282971763e-08,3.931322089843930616e-13,6.870828232589115853e-13,6.687037626895018430e-11
3.553584661691108768e-08,3.973794282455639897e-13,6.945057494632410733e-13,6.759281301043994784e-11
3.591975231578959294e-08,4.016724450194688870e-13,7.020087167875391616e-13,6.832303972659725254e-11
3.630780547701013530e-08,4.060118418548316329e-13,7.095927430498800418e-13,6.906115552948073315e-11
3.670005090700259583e-08,4.103981172288489552e-13,7.172586996349615929e-13,6.980724521737248792e-11
3.709653389625617383e-08,4.148318017168227414e-13,7.250075141663874896e-13,7.056139903754910099e-11
3.749730022454831971e-08,4.193133621229849505e-13,7.328400017899503199e-13,7.132369636640764628e-11
3.790239616623081612e-08,4.238433375254469084e-13,7.407571049848136334e-13,7.209422888802426168e-11
3.831186849557282214e-08,4.284222743359928365e-13,7.487597787512551959e-13,7.287308958772744700e-11
3.872576449216165457e-08,4.330506566833287247e-13,7.568488690072992192e-13,7.366036079684163926e-11
