G_mM,min_pair_TV,TV_0_1,TV_0_2,TV_0_3,TV_1_2,TV_1_3,TV_2_3
6.217159674721193380e-02,4.430567998179190292e-04,6.636844174185959309e-03,1.863722095013692608e-03,4.430567998179190292e-04,8.500566269199651484e-03,6.193787374368040118e-03,2.306778894831611366e-03
6.314506962775433274e-02,4.563075790945694235e-04,6.820022909955958910e-03,1.919277115955636418e-03,4.563075790945694235e-04,8.739300025911594244e-03,6.363715330861389324e-03,2.375584695050205787e-03
6.413378499037429570e-02,4.701694506945104570e-04,7.010953791252125776e-03,1.977384920489681439e-03,4.701694506945104570e-04,8.988338711741806347e-03,6.540784340557615102e-03,2.447554371184192112e-03
6.513798149940908111e-02,4.846733970419533780e-04,7.209980483072870282e-03,2.038174197812882629e-03,4.846733970419533780e-04,9.248154680885752044e-03,6.725307086030916578e-03,2.522847594854836333e-03
6.615790155616381452e-02,4.998520647131033225e-04,7.417460733095406281e-03,2.101780485447648367e-03,4.998520647131033225e-04,9.519241218543054647e-03,6.917608668382303067e-03,2.601632550160751581e-03
6.719379135742434284e-02,5.157398548792380133e-04,7.633768240886903284e-03,2.168346526726250972e-03,5.157398548792380133e-04,9.802114767613154256e-03,7.118028386007664403e-03,2.684086381605488986e-03
6.824590095488629327e-02,5.323730184666421086e-04,7.859291806934447233e-03,2.238022642066841202e-03,5.323730184666421086e-04,1.009731444900128887e-02,7.326918788467804908e-03,2.770395660533483094e-03
6.931448431551465172e-02,5.497897562447756408e-04,8.094437274797000592e-03,2.310967253012862974e-03,5.497897562447756408e-04,1.040540452780986183e-02,7.544647518552224409e-03,2.860757009257638723e-03
7.039979938284823824e-02,5.680303240686523057e-04,8.339626812401575856e-03,2.387347143578508191e-03,5.680303240686523057e-04,1.072697395598008405e-02,7.771596488332923117e-03,2.955377467647160496e-03
7.150210813926445585e-02,5.871371435040309778e-04,8.595300038191181283e-03,2.467337874695564679e-03,5.871371435040309778e-04,1.106263791288674553e-02,8.008162894687149980e-03,3.054475018199595548e-03
7.262167666921869047e-02,6.071549180666562743e-04,8.861914824980476543e-03,2.551124583081361072e-03,6.071549180666562743e-04,1.141303940806183762e-02,8.254759906913820486e-03,3.158279501148017563e-03
7.375877522347405735e-02,6.281307553239741208e-04,9.139947233033199336e-03,2.638901947416981593e-03,6.281307553239741208e-04,1.177884918045018180e-02,8.511816477709226517e-03,3.267032702740956147e-03
7.491367828433675990e-02,6.501142950974383777e-04,9.429892263755733015e-03,2.730875257146951531e-03,6.501142950974383777e-04,1.216076752090268498e-02,8.779777968658294962e-03,3.380989552244390017e-03
7.608666463191278428e-02,6.731578440247725642e-04,9.732264429509328296e-03,2.827260486477320943e-03,6.731578440247725642e-04,1.255952491598665011e-02,9.059106585484555732e-03,3.500418330502093507e-03
7.727801741140233327e-02,6.973165167324085062e-04,1.004759822789072672e-02,2.928285097075973651e-03,6.973165167324085062e-04,1.297588332496669994e-02,9.350281711158318215e-03,3.625601613808381724e-03
7.848802420144759817e-02,7.226483838827001474e-04,1.037644860850743013e-02,3.034188630664584954e-03,7.226483838827001474e-04,1.341063723917201508e-02,9.653800224624729115e-03,3.756837014547285102e-03
7.971697708355113265e-02,7.492146273544487717e-04,1.071939142908703152e-02,3.145223234299033676e-03,7.492146273544487717e-04,1.386461466338606563e-02,9.970176801732583832e-03,3.894437861653482665e-03
8.096517271258070469e-02,7.770797028293004735e-04,1.107702389738184426e-02,3.261654325229055608e-03,7.770797028293004735e-04,1.433867822261089900e-02,1.029994419455254433e-02,4.038734028058356407e-03
8.223291238837832084e-02,8.063115100423418969e-04,1.144996499502479170e-02,3.383761274386992614e-03,8.063115100423418969e-04,1.483372626941178302e-02,1.064365348498244948e-02,4.190072784429334403e-03
8.352050212849058963e-02,8.369815709722113395e-04,1.183885587914776383e-02,3.511838109114586055e-03,8.369815709722113395e-04,1.535069398826235075e-02,1.100187430817555281e-02,4.348819680086797070e-03
8.482825274203768806e-02,8.691652162313723024e-04,1.224436025717513636e-02,3.646194236009275662e-03,8.691652162313723024e-04,1.589055449318441116e-02,1.137519504094376341e-02,4.515359452240647747e-03
8.615647990473916662e-02,9.029417799238058633e-04,1.266716471015978153e-02,3.787155184842461164e-03,9.029417799238058633e-04,1.645431989500224096e-02,1.176422293023597632e-02,4.690096964766267244e-03
8.750550423511431475e-02,9.383948032285891654e-04,1.310797861357350554e-02,3.935063374618508018e-03,9.383948032285891654e-04,1.704304198819201269e-02,1.216958381034491735e-02,4.873458177847097075e-03
8.887565137187568298e-02,9.756122469613017194e-04,1.356753484020007186e-02,4.090279023225178341e-03,9.756122469613017194e-04,1.765781386342524933e-02,1.259192259323876906e-02,5.065891270186480277e-03
9.026725205253446904e-02,1.014686713365148957e-03,1.404659000463969604e-02,4.253180988393338163e-03,1.014686713365148957e-03,1.829977099303303420e-02,1.303190329127454708e-02,5.267867701758487120e-03
9.168064219323675268e-02,1.055715677361716235e-03,1.454592403697439577e-02,4.424167416766901922e-03,1.055715677361716235e-03,1.897009145374129596e-02,1.349020835961267997e-02,5.479883094128618591e-03
9.311616296984973062e-02,1.098801727489518440e-03,1.506634022312462566e-02,4.603657115247201254e-03,1.098801727489518440e-03,1.966999733837182518e-02,1.396753849563510744e-02,5.702458842736719477e-03
9.457416090031758871e-02,1.144052816735773416e-03,1.560866623319855095e-02,4.792089947330275233e-03,1.144052816735773416e-03,2.040075618052882706e-02,1.446461341646277862e-02,5.936142764066048433e-03
9.605498792830675925e-02,1.191582523454566426e-03,1.617375219780010920e-02,4.989928354641166505e-03,1.191582523454566426e-03,2.116368055244127744e-02,1.498216967434554299e-02,6.181510878095732714e-03
9.755900150816113059e-02,1.241510322538221531e-03,1.676247245258325955e-02,5.197657948585352253e-03,1.241510322538221531e-03,2.196013040116861353e-02,1.552096213004503823e-02,6.439168271123574434e-03
9.908656469118728993e-02,1.293961866987637871e-03,1.737572354263897806e-02,5.415788730212596491e-03,1.293961866987637871e-03,2.279151227285157455e-02,1.608176167565134040e-02,6.709750597200234146e-03
1.006380462132909909e-01,1.349069279995749725e-03,1.801442524513840321e-02,5.644856218303732909e-03,1.349069279995749725e-03,2.365928146344213612e-02,1.666535596514265305e-02,6.993925498299483068e-03
1.022138205839855235e-01,1.406971457625194599e-03,1.867951868462798884e-02,5.885422451284535311e-03,1.406971457625194599e-03,2.456494113591252415e-02,1.727254722700279424e-02,7.292393908909729910e-03
1.038142681767940667e-01,1.467814382127645076e-03,1.937196733406604254e-02,6.138077138821299537e-03,1.467814382127645076e-03,2.551004447288734295e-02,1.790415295193839573e-02,7.605891520948944613e-03
1.054397753210672833e-01,1.531751445902121683e-03,2.009275424740180477e-02,6.403438831724461884e-03,1.531751445902121683e-03,2.649619307912626578e-02,1.856100280149967918e-02,7.935190277626583133e-03
1.070907343952388208e-01,1.598943786051124387e-03,2.084288350750498203e-02,6.682156108834033659e-03,1.598943786051124387e-03,2.752503961633901569e-02,1.924393972145386003e-02,8.281099894885157395e-03
1.087675439215408935e-01,1.669560629428331992e-03,2.162337708777107431e-02,6.974908779529834062e-03,1.669560629428331992e-03,2.859828586730090577e-02,1.995381645834274145e-02,8.644469408958166054e-03
1.104706086622027628e-01,1.743779648023925741e-03,2.243527472299881864e-02,7.282409100236692315e-03,1.743779648023925741e-03,2.971768382323551269e-02,2.069149507497489507e-02,9.026188748260617623e-03
1.122003397171558031e-01,1.821787324454763463e-03,2.327963318031154791e-02,7.605403003153499326e-03,1.821787324454763463e-03,3.088503618346504637e-02,2.145784585585678444e-02,9.427190327608261922e-03
1.139571546232679700e-01,1.903779327264504967e-03,2.415752321256027166e-02,7.944671354168186470e-03,1.903779327264504967e-03,3.210219456672845639e-02,2.225374388529576669e-02,9.848450681432691436e-03
1.157414774551325798e-01,1.989960895645855911e-03,2.507002888017616921e-02,8.301031329485231147e-03,1.989960895645855911e-03,3.337106020966140035e-02,2.308006798453031416e-02,1.029099222513108619e-02
1.175537389274348005e-01,2.080547233120289864e-03,2.601824627997566253e-02,8.675337453732331200e-03,2.080547233120289864e-03,3.469358373370799720e-02,2.393769904685537353e-02,1.075588468685262020e-02
1.193943764989212064e-01,2.175763909600122482e-03,2.700328025095552475e-02,9.068483013291075284e-03,2.175763909600122482e-03,3.607176326424660351e-02,2.482751634135540314e-02,1.124424692289119690e-02
1.212638344779972122e-01,2.275847271162462389e-03,2.802624266925322905e-02,9.481401356004271613e-03,2.275847271162462389e-03,3.750764402525750413e-02,2.575039539809077099e-02,1.175724862716673487e-02
1.231625641299778501e-01,2.381044856741750156e-03,2.908825030757214089e-02,9.915066946147516394e-03,2.381044856741750156e-03,3.900331725371965902e-02,2.670720545083039160e-02,1.229611180288926742e-02
1.250910237860180518e-01,2.491615820822214427e-03,3.019042247242295640e-02,1.037049676040069195e-02,2.491615820822214427e-03,4.056091923282365008e-02,2.769880665160073807e-02,1.286211258122290507e-02
1.270496789537484128e-01,2.607831361079884433e-03,3.133387728508932324e-02,1.084875140375297746e-02,2.607831361079884433e-03,4.218262868884229549e-02,2.872604592400943707e-02,1.345658276483286189e-02
