strain,time_min,protein,estimator,theta,point_physically_admissible,theta_lo,theta_hi,p0_lo,p0_hi,pn_lo,pn_hi,point_pn_min,point_p0_max,source_row
WT,-15,GS,modified_over_total,0.008750148111323583,True,0,0.12937634483723576,0.0,1.0,0.0,0.12937634483723576,0,0.9912498518886764,12
WT,-15,GS,paired_peptide_fraction,0.008266177468864759,True,0,0.11116854486654724,0.0,1.0,0.0,0.11116854486654724,0,0.9917338225311353,12
WT,0,GlnB,modified_over_total,0.8945983573049939,True,0,1,0.0,1.0,0.0,1.0,0.6837950719149819,0.10540164269500607,13
WT,0,GlnB,paired_peptide_fraction,0.9351095516768804,True,0,1,0.0,1.0,0.0,1.0,0.8053286550306411,0.06489044832311963,13
WT,0,GlnK,modified_over_total,0.8805472333367835,True,0.2131390980565484,1,0.0,0.7868609019434516,0.0,1.0,0.6416417000103505,0.11945276666321647,13
WT,0,GlnK,paired_peptide_fraction,0.9630812906731117,True,0.7963186835404182,1,0.0,0.20368131645958176,0.3889560506212548,1.0,0.889243872019335,0.036918709326888344,13
WT,0,GS,modified_over_total,0.023640786882555005,True,0,0.1408597596098602,0.0,1.0,0.0,0.1408597596098602,0,0.976359213117445,13
WT,0,GS,paired_peptide_fraction,0.02248456160159234,True,0,0.10656166503966526,0.0,1.0,0.0,0.10656166503966526,0,0.9775154383984077,13
WT,1,GlnB,modified_over_total,0.3260470568414741,True,0.010112736784859406,0.8367824067555034,0.0,0.9898872632151406,0.0,0.8367824067555034,0,0.6739529431585258,15
WT,1,GlnB,paired_peptide_fraction,0.3230148599034948,True,0.01062137364180093,0.7593461383867549,0.0,0.9893786263581991,0.0,0.7593461383867549,0,0.6769851400965052,15
WT,1,GlnK,modified_over_total,0.5856147138259679,True,0,1,0.0,1.0,0.0,1.0,0,0.41438528617403214,15
WT,1,GlnK,paired_peptide_fraction,0.5070571034744874,True,0,0.7468716427028657,0.0,1.0,0.0,0.7468716427028657,0,0.4929428965255126,15
WT,1,GS,modified_over_total,0.3354478354436441,True,0.1650552046743049,0.7606900498273593,0.0,0.8349447953256951,0.0,0.7606900498273593,0,0.6645521645563559,15
WT,1,GS,paired_peptide_fraction,0.32256094682624326,True,0.18362601089420377,0.5464516477996471,0.0,0.8163739891057962,0.0,0.5464516477996471,0,0.6774390531737567,15
WT,2,GlnB,modified_over_total,0.2647448379584946,True,0,0.7772962394065251,0.0,1.0,0.0,0.7772962394065251,0,0.7352551620415053,16
WT,2,GlnB,paired_peptide_fraction,0.305337070594388,True,0,0.6672610108079183,0.0,1.0,0.0,0.6672610108079183,0,0.6946629294056119,16
WT,2,GlnK,modified_over_total,0.5151816070549989,True,0,1,0.0,1.0,0.0,1.0,0,0.48481839294500106,16
WT,2,GlnK,paired_peptide_fraction,0.45805934863762726,True,0,0.7561500715961021,0.0,1.0,0.0,0.7561500715961021,0,0.5419406513623728,16
WT,2,GS,modified_over_total,0.36238011395020026,True,0.10779035850039301,0.6967514734480748,0.0,0.892209641499607,0.0,0.6967514734480748,0,0.6376198860497997,16
WT,2,GS,paired_peptide_fraction,0.347839206127315,True,0.11000965599054274,0.6203256651706177,0.0,0.8899903440094572,0.0,0.6203256651706177,0,0.652160793872685,16
WT,5,GlnB,modified_over_total,0.24913680492945084,True,0,1,0.0,1.0,0.0,1.0,0,0.7508631950705491,17
WT,5,GlnB,paired_peptide_fraction,0.28552744274036895,True,0,0.8248149926279941,0.0,1.0,0.0,0.8248149926279941,0,0.7144725572596311,17
WT,5,GlnK,modified_over_total,0.36458182838109304,True,0.09736825326956203,1,0.0,0.902631746730438,0.0,1.0,0,0.6354181716189069,17
