# S1 Data: the 2,000 coordinate-perturbation draws (seed 20260909; log-input sd 0.06, ordinate sd 0.06): refitted parameters, calibrated composite coefficients at PII 0.5, 5, 36 uM, and the regulatory swing
Umin,Umax,S_mM,h,composite_PII_0p5,composite_PII_5,composite_PII_36,regulatory_swing
0.4160706090970112,2.9999999999999996,0.5912754494865887,1.8859403813344517,3.491435442727338,3.713073669559685,5.037848018425276,5.59375413095285e+16
0.4596765545916646,2.9514424797865386,0.5633542602310079,2.124040058730758,3.7097257160483323,3.951526017954522,4.934549298314225,335.9034675298201
0.39094581350506047,2.923085050264478,0.5739638789053623,1.938281553590182,3.3904853815245763,3.5786083277030505,4.232805079842887,253.6280153508916
0.4581169790055485,2.9999999999999996,0.5590863540509918,1.841901018760026,3.3085471084313216,3.514696151572454,4.834920731258191,4.997685722550508e+16
0.4257181352961871,2.9999999999999996,0.583674012202905,2.0162568660875686,3.7025093285905353,3.954745927481582,5.440172382784268,5.446577857699525e+16
0.44292583393857876,2.9999999999999996,0.5486784864631072,1.880118683882387,3.3473013303474106,3.5600838297712505,4.936731423490382,5.199984908999408e+16
0.4663704759080736,2.9759260865483474,0.5525414069950958,2.180808647863763,3.8145904324594233,4.084136768765261,5.455274654189917,671.5641551830579
0.4350844827671663,2.9999999999999996,0.527407227423879,1.9738618116222881,3.4376568788378297,3.6664541362440755,5.187298394654853,5.309935437908159e+16
0.49617499398031445,2.9444604885273016,0.5420883039891821,2.0956429459618513,3.567236805401762,3.794165205556421,4.776322301120308,267.53017580678994
0.33940754045885263,2.9711630988010427,0.619178007837168,1.8688314561202888,3.4967067018357247,3.6994756137646494,4.630611676305958,807.6715261468455
0.4111123375089143,2.9658912766932954,0.5713589121718183,1.933483592941718,3.451067565846808,3.661122640170507,4.692888300570024,547.5735456058612
0.5208120269583021,2.9495105302487263,0.5440321124739727,2.261226061765798,3.8435135905093674,4.110522458071438,5.18856074631512,278.0850188972846
0.5686167884416989,2.975032476202035,0.5074066363138262,2.064286664674015,3.4359007841859914,3.662679024947858,5.059236497652398,509.50678754320836
0.5231860172082863,2.9398383464061193,0.5881158633993457,2.306210583715774,4.06340274677535,4.340144652663163,5.043043811941231,231.334788776768
0.4825673783080406,2.9999999999999996,0.5579570078371265,2.0358343084316286,3.6332934482457904,3.8844606148519234,5.446191239401594,4.698829273016084e+16
0.46417308529224244,2.9999999999999996,0.5601107469698884,1.9249907156697306,3.4541296802340864,3.67939652702822,5.099372979259116,4.9207287152221256e+16
0.5036981785639484,2.9938700372645966,0.5366309333186265,2.126616009512789,3.689926367674029,3.952879377875475,5.581103193951256,2420.4818067441493
0.4376245370009318,2.9334610902651534,0.5712964971447575,2.023222856863051,3.53393436591808,3.7438329579884546,4.495643439716645,258.1343227281206
0.41748499195273586,2.9999999999999996,0.5382554810467379,1.9805725938372287,3.489615907238625,3.7231319060687897,5.235322173046041,5.5717517286164344e+16
0.38171133577848326,2.93729143558266,0.5849615241381043,1.8339632266179855,3.2663533876637536,3.4421301528123225,4.153211383455941,321.2940243789003
0.4454222519405633,2.9982604033115905,0.5316003172783987,1.8358611670041312,3.2190302389472665,3.4176066026167073,4.7423573123416745,9884.802412790646
