# Fig 2a
l,theta_n1,theta_n2,theta_n3,theta_n12
1.014531799604925,0.49639325633683845,0.4963932563368385,0.4963932563368384,0.49639325633683856
1.0442319871406702,0.48918127017410123,0.48918127017410123,0.48918127017410135,0.48918127017410135
1.0748016409070458,0.48197378500376914,0.4819737850037692,0.4819737850037692,0.48197378500376936
1.1062662143300737,0.4747737931684307,0.4747737931684307,0.4747737931684307,0.4747737931684309
1.138651905979026,0.4675842745630093,0.46758427456300933,0.46758427456300933,0.46758427456300916
1.1719856813803282,0.460408191717215,0.460408191717215,0.460408191717215,0.4604081917172152
1.2062952954700576,0.45324848493906933,0.4532484849390694,0.45324848493906933,0.45324848493906933
1.2416093157037242,0.44610806753631954,0.4461080675363196,0.44610806753631943,0.4461080675363197
1.277957145842601,0.4389898211320858,0.43898982113208573,0.43898982113208573,0.4389898211320859
1.3153690504363764,0.431896591090535,0.43189659109053513,0.431896591090535,0.4318965910905351
1.3538761800225432,0.4248311820677088,0.42483118206770876,0.42483118206770876,0.4248311820677089
1.3935105970634938,0.41779635370190615,0.41779635370190615,0.4177963537019062,0.41779635370190604
1.4343053026429042,0.410794816457208,0.410794816457208,0.41079481645720795,0.4107948164572081
1.4762942639436705,0.4038292276328382,0.4038292276328382,0.4038292276328382,0.4038292276328382
1.5195124425302324,0.3969021875501219,0.39690218755012197,0.3969021875501219,0.3969021875501218
1.5639958234588722,0.39001623592778856,0.3900162359277886,0.3900162359277885,0.3900162359277885
1.6097814452402093,0.3831738484553284,0.3831738484553284,0.3831738484553284,0.38317384845532854
1.6569074306788276,0.3763774335730261,0.3763774335730261,0.37637743357302617,0.37637743357302633
1.7054130186157384,0.3696293294661765,0.36962932946617655,0.3696293294661766,0.3696293294661766
1.755338596600098,0.3629318012798618,0.36293180127986185,0.36293180127986174,0.36293180127986174
1.8067257345173682,0.35628703855952476,0.3562870385595248,0.35628703855952476,0.3562870385595248
1.8596172192019456,0.34969715292142406,0.349697152921424,0.349697152921424,0.34969715292142395
1.9140570900630722,0.34316417595591986,0.34316417595591986,0.3431641759559199,0.3431641759559198
1.970090675753665,0.3366900573654198,0.33669005736541974,0.3366900573654198,0.3366900573654199
2.027764631912646,0.3302766633376973,0.33027666333769734,0.3302766633376973,0.33027666333769734
2.087126980012143,0.3239257751542396,0.32392577515423954,0.32392577515423954,0.3239257751542395
2.1482271473419505,0.31763908803222807,0.3176390880322281,0.31763908803222807,0.317639088032228
2.211116008164529,0.31141821019776833,0.3114182101977683,0.31141821019776833,0.3114182101977683
2.2758459260747865,0.3052646621870367,0.3052646621870367,0.30526466218703663,0.30526466218703663
2.3424707975999612,0.2991798763711095,0.29917987637110943,0.29917987637110943,0.2991798763711094
2.411046097075855,0.2931651966994106,0.29316519669941066,0.2931651966994106,0.2931651966994105
2.481628922836824,0.2872218786559258,0.2872218786559258,0.2872218786559259,0.28722187865592574
2.5542780447579747,0.28135108942161957,0.2813510894216196,0.2813510894216195,0.2813510894216195
2.629053953189125,0.27555390823584314,0.27555390823584314,0.2755539082358432,0.2755539082358432
2.7060189093213163,0.2698313269489308,0.2698313269489308,0.2698313269489308,0.2698313269489308
2.7852369970277957,0.26418425075766977,0.26418425075766977,0.26418425075766977,0.26418425075766977
2.8667741762226067,0.2586134991148836,0.2586134991148837,0.2586134991148837,0.2586134991148838
2.950698337781265,0.25311980680398033,0.25311980680398033,0.2531198068039804,0.25311980680398033
3.0370793600692223,0.24770382516900868,0.24770382516900868,0.24770382516900866,0.24770382516900857
3.125989167125166,0.24236612349051864,0.24236612349051867,0.24236612349051861,0.24236612349051864
3.217501788547658,0.23710719049733012,0.23710719049733012,0.2371071904973301,0.2371071904973301
3.3116934211349,0.2319274360042012,0.2319274360042012,0.23192743600420124,0.2319274360042012
3.4086424923290197,0.22682719266531293,0.22682719266531298,0.2268271926653129,0.22682719266531298
