scenario,KG_mM,alpha,experiments_per_trial,trials,rejections,rejection_rate,naive_independence_rejection_rate,mean_ratio_correlation,interval_low,interval_high,invalid_trials,mean_score,null_score,mean_fit_rmse
hidden_conformation,7.8,0.25,8,100,100,1.0,1.0,0.41455058697004915,0.9630065017930163,1.0,0,-0.6736499633470564,-1.3419425654988641,0.027967498476816274
hidden_conformation,7.8,0.34,8,100,100,1.0,1.0,0.4413254904815968,0.9630065017930163,1.0,0,-0.39443103220033243,-1.3419425654988641,0.02771375096435593
hidden_conformation,7.8,0.5,8,100,100,1.0,1.0,0.40666046024169616,0.9630065017930163,1.0,0,-0.058574952664164195,-1.3419425654988641,0.0275760931830167
hidden_conformation,7.8,0.68,8,100,100,1.0,1.0,0.46899823447402883,0.9630065017930163,1.0,0,0.19453402476064138,-1.3419425654988641,0.027735020191686402
hidden_conformation,11.7,0.17,8,100,100,1.0,1.0,0.509794578911548,0.9630065017930163,1.0,0,-0.9312248527522056,-1.3419425654988641,0.028114722497280312
hidden_conformation,11.7,0.25,8,100,100,1.0,1.0,0.46531564879382764,0.9630065017930163,1.0,0,-0.5893926976233758,-1.3419425654988641,0.027881034621833667
hidden_conformation,11.7,0.34,8,100,100,1.0,1.0,0.4876464926568662,0.9630065017930163,1.0,0,-0.32349452161127373,-1.3419425654988641,0.027994797531448866
hidden_conformation,11.7,0.5,8,100,100,1.0,1.0,0.46383484095309396,0.9630065017930163,1.0,0,-0.008909067319762433,-1.3419425654988641,0.02786224168003445
hidden_conformation,11.7,0.68,8,100,100,1.0,1.0,0.4741630257174672,0.9630065017930163,1.0,0,0.2236219305828905,-1.3419425654988641,0.027663729373094505
hidden_conformation,15.6,0.17,8,100,100,1.0,1.0,0.4996008558005295,0.9630065017930163,1.0,0,-0.8476465528039892,-1.3419425654988641,0.02789600273963641
hidden_conformation,15.6,0.25,8,100,100,1.0,1.0,0.46260353033141377,0.9630065017930163,1.0,0,-0.520593176722793,-1.3419425654988641,0.0278553278619611
