G_uM,epsilon_P,epsilon_S,J,actual_gap,universal_bound,condition_bound,condition_certifies,universal_certifies
530.0,0.00401,0.001,0.0,1.3895506482120012e-06,0.002004515064277016,0.0010060144199267032,True,True
540.0,0.00401,0.001,0.0,1.4142942111883272e-06,0.002004515064277016,0.0010057111000799637,True,True
550.0,0.00401,0.001,0.0,1.4374999289801238e-06,0.002004515064277016,0.001005415549424237,True,True
560.0,0.00401,0.001,0.0,1.459252699231861e-06,0.002004515064277016,0.0010051291334691728,True,True
570.0,0.00401,0.001,0.0,1.479632267820108e-06,0.002004515064277016,0.0010048529102725237,True,True
580.0,0.00401,0.001,0.0,1.4987133805099973e-06,0.002004515064277016,0.001004587658767985,True,True
590.0,0.00401,0.001,0.0,1.5165660182114848e-06,0.002004515064277016,0.0010043339097088868,True,True
600.0,0.00401,0.001,0.0,1.533255658880961e-06,0.002004515064277016,0.0010040919775106119,True,True
610.0,0.00401,0.001,0.0,1.5488435786137345e-06,0.002004515064277016,0.0010038619916351568,True,True
610.1877689098774,0.00401,0.001,0.0,1.5491261082800634e-06,0.002004515064277016,0.001003857787531758,True,True
620.0,0.00401,0.001,0.0,1.5633871229825402e-06,0.002004515064277016,0.0010036439265214128,True,True
630.0,0.00401,0.001,0.0,1.576940013903183e-06,0.002004515064277016,0.0010034376293672756,True,True
640.0,0.00401,0.001,0.0,1.58955262508087e-06,0.002004515064277016,0.0010032428453380362,True,True
650.0,0.00401,0.001,0.0,1.6012722403591084e-06,0.002004515064277016,0.0010030592399924423,True,True
712.7508569783073,0.00401,0.001,0.0,1.657025121226674e-06,0.002004515064277016,0.00100213476708677,True,True
832.5532074018732,0.00401,0.001,0.0,1.7003939563053905e-06,0.002004515064277016,0.0010011398439697663,True,True
972.4924724660731,0.00401,0.001,0.0,1.6880254174456155e-06,0.002004515064277016,0.001000619817337455,True,True
1135.9533548066277,0.00401,0.001,0.0,1.6318036967222227e-06,0.002004515064277016,0.0010003534719336118,True,True
1326.889473009725,0.00401,0.001,0.0,1.5456716193629205e-06,0.002004515064277016,0.0010002138409941344,True,True
1549.918987548337,0.00401,0.001,0.0,1.4431798595060386e-06,0.002004515064277016,0.0010001373738011124,True,True
1810.4362999534146,0.00401,0.001,0.0,1.335315392925196e-06,0.002004515064277016,0.0010000933026511607,True,True
