# Fig 6A: ligands bound per enzyme for a one-site law and a concerted two-site law
scaled_glutamine,one_ligand,two_ligands
0.6397643955748427,0.3901562915388001,0.5808542152253438
0.6597782479539537,0.3975098774594,0.6065702103116369
0.6804181968927098,0.40491003855521374,0.6329169615169734
0.7017038286703826,0.41235367567965997,0.6598661693098061
0.7236553422869654,0.41983761169260864,0.6873858904696141
0.7462935686310134,0.42735859653658437,0.7154406079790454
0.7696399902471158,0.4349133125883089,0.7439913445441699
0.7937167617217551,0.4424983802681764,0.7729958204846887
0.8185467307069029,0.4501103638885972,0.8024086558431187
0.8441534596012985,0.4577457777205821,0.8321816156121464
0.8705612479099865,0.46540109225649845,0.8622638960010394
0.8977951553033323,0.47307274064562255,0.8926024486870475
0.9258810253973955,0.4807571252779464,0.9231423390599637
0.9548455102782294,0.48845062449069343,0.9538271336017743
0.9847160957933774,0.4961495993711602,0.9845993107815492
1.0155211276345681,0.5038504006288398,1.0154006892184506
1.0472898382363585,0.5115493755093066,1.0461728663982257
1.080052374516253,0.5192428747220537,1.0768576609400362
1.1138398264826195,0.5269272593543775,1.1073975513129528
1.1486842567375537,0.5345989077435016,1.1377361039989606
1.1846187309026837,0.5422542222794179,1.1678183843878538
1.2216773489967918,0.5498896361114027,1.197591344156881
1.2598952777950272,0.5575016197318237,1.2270041795153113
1.2993087842004158,0.5650866874116911,1.25600865545583
1.3399552696593384,0.5726414034634155,1.2845593920209541
1.381873305653632,0.5801623883073913,1.3126141095303854
1.4251026703029979,0.5876463243203399,1.3401338306901933
1.469684386112446,0.5950899614447862,1.3670830384830264
1.5156607589006028,0.6024901225406,1.3934297896883627
1.5630754179458157,0.6098437084611997,1.4191457847746556
1.6119733573881572,0.6171477028387647,1.4442063957170002
1.6624009789266119,0.624399176564619,1.4685906540057323
1.7144061358519702,0.631595291952827,1.4922812017097222
1.7680381784572068,0.638733306576949,1.5152642089351296
1.8233480008684404,0.6458105767718298,1.537529261373494
1.8803880893409146,0.6528245607942302,1.559069221864401
1.939212572065829,0.6597728216380251,1.5798800700139084
1.999877270535285,0.6666530295015821,1.5999607239201452
2.0624397525140905,0.6734629639067817,1.619312847974022
2.1269593866686898,0.6802005154709249,1.6379406505396812
2.1934973989050577,0.6868636873344984,1.6558506750907098
