# Fig 2b
l,nH_n1,nH_n2,nH_n3,nH_n12
2.060963743625031,0.9999999999732445,1.0000000000842668,1.0000000000842668,1.000000000139778
2.1837151136800044,1.0000000000287557,1.0000000000287557,0.9999999999177334,1.000000000139778
2.313777577342025,0.9999999999732445,1.0000000000287557,1.0000000000287557,0.9999999998067111
2.4515865846570435,1.0000000000287557,1.0000000000287557,0.9999999999177334,0.9999999998067111
2.597603521153815,1.0000000000287557,0.9999999998067111,0.9999999998622222,1.000000000139778
2.752317252565903,1.0000000000287557,1.0000000000287557,0.9999999998067111,1.0000000002508003
2.916245761557603,1.000000000139778,0.9999999999177334,1.000000000139778,0.9999999998067111
3.0899378819335617,1.0000000000287557,1.000000000139778,1.000000000139778,0.9999999998067111
3.2739751361382217,1.0000000000287557,0.9999999998067111,0.9999999999177334,1.000000000139778
3.468973682197071,1.000000000139778,1.000000000139778,0.9999999998067111,1.0000000000287557
3.67558637661806,1.000000000139778,1.0000000000287557,0.9999999999177334,0.9999999999177334
3.8945049601597943,1.000000000139778,1.000000000139778,0.9999999999177334,1.0000000000287557
4.126462373784476,0.9999999999177334,0.9999999998067111,0.9999999998067111,1.0000000000287557
4.372235212549416,1.0000000000287557,0.9999999999177334,0.9999999999177334,1.0000000000287557
4.632646325652765,1.0000000000287557,1.0000000000287557,1.000000000139778,1.0000000002508003
4.908567571338431,1.0000000000287557,1.0000000000287557,1.0000000000287557,0.9999999996956888
5.2009227358836405,1.000000000139778,0.9999999999177334,0.9999999998067111,1.000000000139778
5.510690626441899,0.9999999996956888,0.9999999996956888,0.9999999996956888,1.000000000139778
5.838908348096256,1.0000000000287557,1.0000000000287557,1.0000000000287557,1.0000000000287557
6.186674776094437,0.9999999999177334,0.9999999998067111,1.0000000000287557,0.9999999996956888
6.555154234890926,1.0000000000287557,0.9999999999177334,1.0000000000287557,0.9999999999177334
6.945580396313453,1.0000000000287557,1.0000000002508003,1.000000000139778,1.0000000000287557
7.3592604099049765,1.0000000000287557,1.0000000000287557,0.9999999999177334,1.000000000139778
7.797579279269578,0.9999999999177334,0.9999999999177334,1.000000000139778,0.9999999999177334
8.262004499074298,1.000000000139778,0.9999999999177334,1.000000000139778,0.9999999999177334
8.754090968231631,0.9999999999177334,0.9999999999177334,0.9999999999177334,0.9999999999177334
9.275486195712066,0.9999999999177334,0.9999999999177334,0.9999999999177334,0.9999999999177334
9.827935816415728,0.9999999999177334,1.000000000139778,1.000000000139778,0.9999999999177334
10.413289435570352,1.000000000139778,0.9999999999177334,1.000000000139778,0.9999999996956888
11.033506821222625,1.000000000139778,0.9999999999177334,0.9999999999177334,1.000000000139778
11.690664465555443,0.9999999999177334,0.9999999999177334,0.9999999999177334,0.9999999999177334
12.386962536998379,1.000000000139778,0.9999999999177334,0.9999999999177334,0.9999999996956888
13.124732246407115,0.9999999999177334,0.9999999999177334,0.9999999999177334,0.9999999999177334
13.906443651973829,0.9999999999177334,0.9999999996956888,0.9999999999177334,0.9999999996956888
14.734713928999454,0.9999999999177334,0.9999999999177334,1.000000000139778,0.9999999996956888
15.612316132215046,0.9999999996956888,1.000000000139778,0.9999999996956888,0.9999999999177334
16.54218847998859,1.000000000139778,0.9999999999177334,1.0000000003618226,1.0000000003618226
17.527444191500823,0.9999999999177334,0.9999999999177334,0.9999999999177334,1.0000000003618226
18.571381909825018,0.9999999999177334,0.9999999999177334,1.0000000003618226,0.9999999999177334
19.67749674580727,1.000000000139778,1.000000000139778,0.9999999999177334,0.9999999996956888
20.849491979722256,0.9999999999177334,0.9999999999177334,0.9999999999177334,0.9999999999177334
22.091291459881727,0.9999999999177334,0.9999999999177334,0.9999999999177334,0.9999999996956888
23.407052739706348,0.9999999999177334,0.9999999999177334,0.9999999999177334,0.9999999994736442
24.80118099724387,0.9999999999177334,0.9999999999177334,0.9999999999177334,0.9999999996956888
26.278343783736315,0.9999999996956888,1.000000000139778,1.000000000139778,1.000000000139778
27.843486650614473,1.000000000139778,0.9999999999177334,0.9999999999177334,1.000000000139778
29.50184970723898,1.000000000139778,0.9999999996956888,0.9999999999177334,0.9999999999177334
31.25898516482341,0.9999999996956888,0.9999999999177334,0.9999999999177334,0.9999999994736442
33.12077592527667,0.9999999999177334,0.9999999999177334,0.9999999999177334,0.9999999996956888
35.09345527719985,1.000000000139778,1.000000000139778,0.9999999999177334,0.9999999999177334
37.18362776498091,1.000000000139778,1.000000000139778,1.000000000139778,1.0000000003618226
39.39829130085527,0.9999999999177334,0.9999999999177334,0.9999999996956888,0.9999999996956888
41.74486059396599,1.000000000139778,0.9999999999177334,1.000000000139778,0.9999999999177334
44.23119197486164,0.9999999999177334,0.9999999999177334,1.000000000139778,0.9999999999177334
46.8656096985471,0.9999999999177334,0.9999999999177334,0.9999999996956888,1.000000000139778
49.65693381414729,1.000000000139778,0.9999999999177334,1.000000000139778,0.9999999999177334
52.61450969449466,0.9999999999177334,0.9999999999177334,0.9999999999177334,0.9999999999177334
55.74823932450256,1.000000000139778,1.000000000139778,1.000000000139778,0.9999999996956888
