# Fig 4A: the bounded fixed-exponent fits h = 1, 2, 3 as curves, on the grid of Fig3A_fit.csv
glutamine_mM,fit_h1,fit_h2,fit_h3
1.1677106564073023,1.1697656120142756,0.9204346480656864,0.8310302838267007
1.1930195608829681,1.1544998863392464,0.904223337189303,0.8190892889446783
1.2188770093341845,1.1393093680107846,0.8884503069184736,0.8077626220794231
1.2452948908766341,1.124196968388408,0.8731119390907223,0.7970257291300226
1.2722853523101185,1.1091655332418255,0.8582040350833307,0.7868542329455006
1.2998608037035964,1.0942178409137056,0.8437218593937627,0.7772240395620267
1.3280339241012589,1.079356600597151,0.8296601827153698,0.7681114302959613
1.3568176673522914,1.064584450729348,0.8160133242901351,0.759493140602769
1.3862252680669818,1.0499039575025702,0.8027751933446111,0.7513464266526478
1.4162702477019233,1.035317613493383,0.789939329439132,0.7436491205919746
1.4469664207771076,1.0208278364105898,0.7774989415836548,0.736379675459096
1.4783279012277666,1.0064369679621539,0.7654469459959825,0.7295172007070336
1.5103691088938844,0.9921472728410309,0.7537760023994557,0.7230414892574527
1.5431047761503616,0.9779609378295478,0.7424785487773546,0.7169330369725471
1.5765499546808819,0.9638800710216912,0.7315468345201159,0.7111730553867814
1.6107200223985958,0.9499067011623782,0.7209729519189688,0.7057434784908123
1.6456306905168006,0.9360427771025299,0.7107488659756956,0.7006269643071812
1.681298010772878,0.9222901673685001,0.7008664425128895,0.6958068919430476
1.7177383828087873,0.908650659844186,0.6913174745823509,0.6912673547505417
1.754968561711538,0.8951259615638915,0.6820937071810993,0.6869931501712456
1.7930056657170883,0.881717698613818,0.6731868602949947,0.6829697667886732
1.8318671840812173,0.8684274161398372,0.6645886502991346,0.6791833690619674
1.8715709851209905,0.8552565784590137,0.656290809752133,0.675620780165845
1.9121353244305164,0.8422065692721629,0.6482851056281425,0.6722694633163628
1.95357885327477,0.8292786919745656,0.6405633560361257,0.669117501919579
1.995920627165344,0.8164741700618118,0.6331174454805064,0.6661535788407051
2.039180114622072,0.8037941476276033,0.6259393387209917,0.6633669550549377
2.0833772061245455,0.7912396899502293,0.619021093292169,0.6607474479077772
2.1285322232576522,0.7788117841643107,0.6123548707454887,0.6582854091822031
2.1746659280553367,0.7665113400143226,0.6059329466775513,0.6559717031424771
2.221799532546859,0.7543391906863227,0.5997477196092964,0.653797684699434
2.269954708509982,0.7422960937142321,0.5937917187807904,0.6517551778197562
2.319153597435535,0.7303827319569822,0.5880576109259477,0.6498364542817305
2.369418820707951,0.7185997146427793,0.5825382060907072,0.6480342128622004
2.4207734900064604,0.7069475784767253,0.577226462557021,0.6463415590236681
2.473241217931714,0.6954267888080037,0.5721154909335392,0.6447519851566124
2.526846128862731,0.6840377408528424,0.5671985574721372,0.6432593514199016
2.5816128700491596,0.6727807609694695,0.5624690866674992,0.6418578672115384
2.6375666229439467,0.6616561079812914,0.5579206631948571,0.6405420732927286
2.6947331147816374,0.6506639745445525,0.5535470332387584,0.6393068245802883
2.7531386304076193,0.6398044885567735,0.549342105263404,0.6381472736155374
2.812810024363747,0.6290777146023062,0.5452999502727164,0.6370588547119893
2.8737747332359302,0.6184836554313976,0.5414148016058712,0.6360372687791906
2.936060788269311,0.608022253469228,0.5376810543115966,0.6350784688159092
2.999696828256889,0.5976933923514359,0.5340932641421193,0.6341786460624171
3.064712112707484,0.5874968984827422,0.5306461462052394,0.6333342167987799
3.131136535299098,0.5774325426153502,0.5273345733106654,0.6325418097737665
3.1990006376238704,0.5675000414438955,0.524153574044437,0.6317982542471785
3.2683356232309353,0.5576990592138096,0.5210983306030283,0.6311005686269823
3.339173371973647,0.5480292093400554,0.518164176416563,0.6304459496815787
3.4115464546677647,0.5384900560332997,0.5153465935884844,0.629831762306796
3.4854881480673376,0.5290811159306863,0.512641210177029,0.6292555298267056
3.561032450165179,0.5198018597284828,0.510043797341932,0.6287149248071057
3.6382140958249547,0.5106517138139861,0.5075502663779746,0.6282077603604422
3.717068572752103,0.5016300618941754,0.5051566656552464,0.6277319819210299
