# S5 Fig B: parameters in results/counterexamples_parameters.json (condition_i)
l,R
7.087817362649023e-05,-0.672972362087562
7.116089453663508e-05,-0.6723949994147815
7.144474317212811e-05,-0.6718160623072563
7.172972403127287e-05,-0.6712355488113168
7.201584163031581e-05,-0.670653456986496
7.230310050351793e-05,-0.6700697849056421
7.259150520322662e-05,-0.669484530655029
7.288106029994767e-05,-0.6688976923344672
7.317177038241827e-05,-0.6683092680574141
7.346364005767885e-05,-0.6677192559510892
7.37566739511467e-05,-0.6671276541565818
7.405087670668907e-05,-0.6665344608289672
7.434625298669685e-05,-0.665939674137413
7.464280747215824e-05,-0.6653432922652975
7.494054486273356e-05,-0.6647453134103162
7.523946987682877e-05,-0.6641457357846009
7.553958725167098e-05,-0.6635445576148267
7.584090174338323e-05,-0.6629417771423272
7.614341812705992e-05,-0.6623373926232093
7.644714119684252e-05,-0.6617314023284615
7.675207576599532e-05,-0.6611238045440718
7.705822666698239e-05,-0.6605145975711382
7.73655987515432e-05,-0.6599037797259866
7.767419689077012e-05,-0.6592913493402749
7.798402597518547e-05,-0.6586773047611205
7.829509091481906e-05,-0.6580616443512005
7.860739663928595e-05,-0.6574443664888747
7.892094809786441e-05,-0.6568254695682968
7.923575025957507e-05,-0.6562049519995276
7.955180811325859e-05,-0.6555828122086493
7.986912666765545e-05,-0.6549590486378813
8.018771095148517e-05,-0.6543336597456952
8.05075660135259e-05,-0.6537066440069255
8.082869692269458e-05,-0.6530779999128884
8.115110876812697e-05,-0.6524477259714939
8.147480665925904e-05,-0.651815820707359
8.179979572590694e-05,-0.6511822826619282
8.212608111834893e-05,-0.6505471103935819
8.245366800740684e-05,-0.649910302477754
8.278256158452806e-05,-0.6492718575070469
8.311276706186756e-05,-0.6486317740913464
8.344428967237124e-05,-0.647990050857935
8.377713466985782e-05,-0.647346686451608
8.411130732910277e-05,-0.6467016795347896
8.444681294592172e-05,-0.6460550287876452
8.478365683725442e-05,-0.6454067329081987
8.512184434124899e-05,-0.6447567906124452
8.546138081734633e-05,-0.6441052006344689
8.580227164636572e-05,-0.643451961726554
8.614452223058914e-05,-0.6427970726593037
8.64881379938475e-05,-0.6421405322217536
8.683312438160643e-05,-0.6414823392214837
8.717948686105261e-05,-0.640822492484738
8.752723092118021e-05,-0.6401609908565364
8.787636207287858e-05,-0.6394978332007902
8.822688584901855e-05,-0.638833018400416
8.857880780454079e-05,-0.6381665453574508
8.89321335165437e-05,-0.6374984129931681
8.928686858437173e-05,-0.6368286202481899
8.964301862970418e-05,-0.6361571660826014
9.00005892966443e-05,-0.6354840494760676
9.035958625180844e-05,-0.6348092694279459
9.072001518441677e-05,-0.6341328249574003
9.108188180638212e-05,-0.6334547151035149
9.144519185240144e-05,-0.6327749389254093
9.180995108004634e-05,-0.6320934955023517
9.217616526985446e-05,-0.6314103839338714
9.254384022542077e-05,-0.630725603339876
9.29129817734904e-05,-0.6300391528607603
9.328359576404974e-05,-0.6293510316575224
9.365568807042005e-05,-0.6286612389118775
9.40292645893502e-05,-0.6279697738263683
9.44043312411102e-05,-0.6272766356244794
9.478089396958499e-05,-0.6265818235507516
9.51589587423685e-05,-0.6258853368708917
9.55385315508589e-05,-0.6251871748718845
9.59196184103525e-05,-0.6244873368621093
9.630222536013973e-05,-0.6237858221714487
9.668635846360074e-05,-0.6230826301513994
9.707202380830149e-05,-0.6223777601751855
9.745922750608995e-05,-0.6216712116378729
9.784797569319388e-05,-0.6209629839564718
9.823827453031672e-05,-0.620253076570057
9.863013020273616e-05,-0.6195414889398754
9.902354892040188e-05,-0.6188282205494546
9.941853691803399e-05,-0.6181132709047142
9.981510045522182e-05,-0.6173966395340766
0.00010021324581652309,-0.6166783259885783
0.00010061297931156375,-0.6159583298419737
0.00010101430727513744,-0.615236650690853
0.0001014172360673066,-0.6145132881547422
0.00010182177207350254,-0.6137882418762175
0.0001022279217046271,-0.6130615115210146
0.00010263569139715398,-0.6123330967781307
0.00010304508761323119,-0.6116029973599385
0.00010345611684078273,-0.6108712130022904
0.00010386878559361223,-0.610137743464627
0.00010428310041150549,-0.6094025885300837
0.00010469906786033444,-0.6086657480055964
0.00010511669453216109,-0.6079272217220092
0.00010553598704534236,-0.6071870095341795
0.00010595695204463436,-0.6064451113210829
0.00010637959620129797,-0.6057015269859206
0.00010680392621320492,-0.6049562564562198
0.00010722994880494329,-0.6042092996839442
0.0001076576707279245,-0.6034606566455927
0.00010808709876049007,-0.602710327342306
0.00010851823970801951,-0.6019583117999685
0.0001089511004030375,-0.6012046100693111
0.00010938568770532244,-0.6004492222260174
0.00010982200850201563,-0.5996921483708189
0.0001102600697077296,-0.5989333886296011
0.00011069987826465822,-0.5981729431535057
0.00011114144114268648,-0.5974108121190299
0.00011158476533950136,-0.5966469957281239
0.00011202985788070199,-0.5958814942082941
0.00011247672581991186,-0.5951143078127025
0.00011292537623888982,-0.5943454368202663
0.00011337581624764275,-0.5935748815357512
0.00011382805298453813,-0.5928026422898761
0.00011428209361641704,-0.5920287194394082
0.00011473794533870827,-0.5912531133672572
0.00011519561537554139,-0.5904758244825751
0.00011565511097986232,-0.5896968532208509
0.00011611643943354737,-0.5889162000440078
0.00011657960804751912,-0.5881338654404951
0.00011704462416186207,-0.5873498499253869
0.0001175114951459394,-0.5865641540404696
0.00011798022839850904,-0.5857767783543418
0.00011845083134784136,-0.5849877234625043
0.00011892331145183714,-0.5841969899874514
0.0001193976761981451,-0.5834045785787652
0.00011987393310428104,-0.5826104899132034
0.00012035208971774673,-0.5818147246947928
0.00012083215361614998,-0.5810172836549176
0.00012131413240732401,-0.5802181675524094
0.00012179803372944842,-0.5794173771736351
0.00012228386525117054,-0.578614913332586
0.00012277163467172623,-0.5778107768709662
0.0001232613497210625,-0.5770049686582766
0.00012375301815995956,-0.5761974895919015
0.0001242466477801545,-0.5753883405971989
0.00012474224640446376,-0.5745775226275809
0.0001252398218869082,-0.5737650366645974
0.00012573938211283664,-0.5729508837180223
0.0001262409349990513,-0.5721350648259373
0.00012674448849393324,-0.5713175810548108
0.00012725005057756807,-0.5704984334995822
0.00012775762926187293,-0.5696776232837413
0.00012826723259072275,-0.5688551515594087
0.00012877886864007853,-0.5680310195074183
0.00012929254551811447,-0.5672052283373898
0.00012980827136534713,-0.5663777792878146
0.00013032605435476396,-0.5655486736261255
0.00013084590269195356,-0.5647179126487796
0.0001313678246152347,-0.5638854976813292
0.0001318918283957875,-0.5630514300785026
0.0001324179223377847,-0.5622157112242714
0.0001329461147785227,-0.5613783425319309
0.00013347641408855397,-0.5605393254441677
0.0001340088286718196,-0.5596986614331363
0.00013454336696578292,-0.5588563520005261
0.0001350800374415624,-0.5580123986776349
0.0001356188486040668,-0.5571668030254375
0.00013615980899212915,-0.5563195666346531
0.00013670292717864256,-0.5554706911258187
0.00013724821177069595,-0.5546201781493492
0.00013779567140971026,-0.5537680293856093
0.00013834531477157608,-0.5529142465449751
0.00013889715056679002,-0.5520588313679032
0.0001394511875405939,-0.5512017856249902
0.0001400074344731125,-0.5503431111170394
0.0001405659001794931,-0.5494828096751213
0.00014112659351004487,-0.5486208831606336
0.00014168952335037992,-0.5477573334653634
0.00014225469862155307,-0.5468921625115502
0.00014282212828020365,-0.5460253722519348
0.00014339182131869796,-0.5451569646698289
0.00014396378676527087,-0.5442869417791618
0.0001445380336841695,-0.5434153056245454
0.00014511457117579658,-0.5425420582813214
0.00014569340837685513,-0.5416672018556187
0.00014627455446049255,-0.5407907384844088
0.00014685801863644637,-0.5399126703355559
0.00014744381015119058,-0.5390329996078675
0.00014803193828808134,-0.5381517285311461
0.0001486224123675047,-0.5372688593662379
0.00014921524174702397,-0.5363843944050837
0.00014981043582152866,-0.535498335970761
0.00015040800402338223,-0.5346106864175384
0.00015100795582257288,-0.5337214481309132
0.0001516103007268625,-0.5328306235276605
0.00015221504828193792,-0.5319382150558778
0.00015282220807156214,-0.5310442251950231
0.00015343178971772604,-0.5301486564559625
0.00015404380288080131,-0.5292515113810032
0.00015465825725969272,-0.5283527925439424
0.00015527516259199284,-0.5274525025500953
0.0001558945286541354,-0.5265506440363446
0.00015651636526155084,-0.5256472196711652
0.00015714068226882144,-0.5247422321546669
0.00015776748956983826,-0.5238356842186298
0.00015839679709795691,-0.5229275786265302
0.00015902861482615545,-0.5220179181735809
0.00015966295276719292,-0.5211067056867588
0.00016029982097376708,-0.5201939440248358
0.00016093922953867428,-0.5192796360784073
0.00016158118859496926,-0.5183637847699201
0.00016222570831612613,-0.5174463930537008
0.0001628727989161989,-0.5165274639159803
0.00016352247064998357,-0.5156070003749211
0.00016417473381318137,-0.5146850054806371
0.00016482959874256073,-0.5137614823152173
0.0001654870758161219,-0.5128364339927508
0.00016614717545326103,-0.5119098636593442
0.00016680990811493595,-0.5109817744931396
0.00016747528430383077,-0.5100521697043342
0.00016814331456452373,-0.5091210525352005
0.00016881400948365305,-0.508188426260096
0.0001694873796900854,-0.507254294185483
0.00017016343585508423,-0.5063186596499394
0.0001708421886924786,-0.5053815260241727
0.00017152364895883375,-0.5044428967110298
0.0001722078274536203,-0.5035027751455096
0.0001728947350193869,-0.5025611647947683
0.0001735843825419306,-0.5016180691581309
0.00017427678095047034,-0.500673491767097
0.0001749719412178196,-0.4997274361853429
0.00017566987436056105,-0.49877990600873134
0.00017637059143922018,-0.49783090486531023
0.00017707410355844092,-0.49688043641531804
0.00017778042186716232,-0.4959285043511793
0.00017848955755879407,-0.4949751123975116
0.0001792015218713947,-0.49402026431111723
0.0001799163260878492,-0.49306396388098533
0.0001806339815360486,-0.4921062149282831
0.00018135449958906822,-0.4911470213063531
0.00018207789166534938,-0.490186386900711
0.00018280416922887907,-0.4892243156290273
0.00018353334378937232,-0.488260811441129
0.00018426542690245444,-0.487295878318984
