# Fig 5A: calibrated composite responses normalised between their plateaus; midpoints at the reported cascade half-points
glutamine_mM,Y_norm_PII_0.5,Y_norm_PII_5,Y_norm_PII_36
0.4588324610100845,0.2575315934998356,0.3574825961705579,0.9661680686322056
0.46684523707037895,0.27162761343094904,0.3742915031213333,0.9684581571095181
0.474997943466141,0.2860846036837565,0.3912773289769026,0.9705821315459336
0.4832930238571752,0.3008755409101195,0.4083957108713435,0.9725522221234882
0.49173296457790183,0.31597092997864784,0.4256016054560941,0.9743798095140457
0.5003202953826005,0.33133904999791935,0.44284978306665423,0.9760754716231757
0.5090575902036681,0.34694623825319876,0.4600953168655979,0.9776490300892912
0.517947467923121,0.3627572066527426,0.47729405589192425,0.979109596023619
0.5269925931575656,0.37873538429137926,0.49440307178216064,0.9804656145909629
0.5361956770568816,0.39484327897132104,0.511381070126203,0.9817249081281089
0.5455594781168517,0.4110428500089932,0.5281887589054245,0.982894717578089
0.5550868030059806,0.42729588442391087,0.5447891681446809,0.9839817420861952
0.5647805074067554,0.4435643686579412,0.5611479167009901,0.9849921766594086
0.5746434968715973,0.459810848301565,0.5772334239185216,0.9859317478363654
0.584678727693759,0.4759987688846328,0.5930170656184682,0.9868057473516123
0.5948892077934335,0.4920927915866294,0.6084732754917259,0.987619063806994
0.6052779976193349,0.5080590786901559,0.6235795943658866,0.9883762123857657
0.615848211066026,0.5238655446896547,0.6383166709868541,0.9890813626624182
0.6266030164072652,0.5394820701212107,0.6526682188675652,0.9897383645741674
0.6375456372456506,0.5548806763455171,0.6666209344062832,0.9903507726293433
0.6486793534788511,0.5700356606458336,0.6801643818731824,0.9909218684341837
0.6600075022827095,0.5849236920535883,0.6932908510262091,0.9914546816233691
0.6715334791115142,0.5995238692522451,0.70599519307365,0.9919520092814911
0.6832607387157402,0.6138177427104416,0.718274640484685,0.9924164339429408
0.6951927961775606,0.6277893038430586,0.7301286157962369,0.9928503402567816
0.7073332279644439,0.6414249444877896,0.7415585341103753,0.9932559304012908
0.7196856730011517,0.6547133903168862,0.7525676034551294,0.9936352383302833
0.7322538337604534,0.6676456119879407,0.7631606266233253,0.9939901429302288
0.7450414773728913,0.6802147178878503,0.7733438075351867,0.9943223801637205
0.7580524367559262,0.692415832258126,0.7831245646124702,0.9946335542711672
0.7712906117627992,0.7042459623272849,0.7925113531216479,0.9949251480987558
0.7847599703514611,0.7157038578377104,0.8015134979534165,0.9951985326168731
0.7984645497739087,0.7267898660601709,0.8101410378636819,0.9954549756893143
0.8124084577862966,0.737505785058021,0.8184045818118425,0.9956956501498199
0.8265958738801809,0.7478547176118099,0.8263151776972242,0.9959216412387921
0.8410310505352605,0.7578409278581452,0.8338841935132263,0.9961339534494835
0.8557183144940006,0.7674697023462353,0.8411232107086338,0.9963335168295347
0.8706620680585127,0.7767472168809935,0.8480439293628664,0.9965211927804827
0.8858667904100823,0.7856804102100083,0.8546580846421402,0.9966977793947864
0.9013370389517434,0.7942768653279044,0.8609773739016543,0.99686401636699
0.9170774506742931,0.8025446989184873,0.867013393729842,0.9970205895129166
0.9330927435461663,0.8104924592339419,0.8727775861894902,0.9971681349282082
0.9493877179275825,0.8181290325210745,0.8782811934923538,0.9973072428151273
0.9659672580093832,0.8254635579461671,0.8835352203444096,0.9974384610042932
0.9828363332770026,0.8325053508405582,0.8885504032142153,0.9975622981959431
1.0,0.8392638339862449,0.8933371858034163,0.9976792269433595
1.0174634027476064,0.8457484765819565,0.8979057000333697,0.997789686399321
1.0352317759307377,0.8519687404724878,0.9022657519025296,0.9978940848447548
1.053310445370937,0.8579340331847389,0.9064268116135582,0.9979928020172373
1.0717048298967105,0.8636536672902262,0.9103980074153859,0.9980861912555613
1.0904204429677526,0.8691368256031584,0.9141881226522224,0.9981745814752764
1.1094628943275218,0.8743925317231847,0.9178055955577675,0.9982582789888991
1.1288378916846884,0.8794296254404808,0.9212585213777467,0.9983375691833666
1.1485512424239381,0.8842567425360133,0.9245546564468086,0.9984127180662944
1.168608855346651,0.8888822985300125,0.9277014238863521,0.9984839736916348
1.18901674244199,0.8933144759554393,0.9307059206277304,0.9985515674744782
1.2097810206889013,0.8975612147593627,0.9335749255003444,0.9986157154039383
1.2309079138896017,0.9016302054627199,0.9363149081563829,0.998676619162318
1.2524037545350732,0.9055288847370528,0.9389320386333404,0.998734467158093
1.2742749857031335,0.9092644330848971,0.9414321973820897,0.9987894354796234
1.2965281629896677,0.9128437743380409,0.9438209856122857,0.9988416887759366
