# S2 Fig: sup over the input of the ladder factor nu for the three-site ladder c = (1, 3a, 3b, 1); a = b = 1 is the binomial ladder (nu = 1); the bound nu <= 3 is approached as a, b -> 0
log10_a,log10_b,nu_sup
-2.4,-2.9,2.979500010772433
-2.3,-2.9,2.975622994579633
-2.2,-2.9,2.9707604801580616
-2.1,-2.9,2.9646678149473495
-2.0,-2.9,2.9571039615973578
-1.9,-2.9,2.947764406501492
-1.7999999999999998,-2.9,2.9361303872721494
-1.7,-2.9,2.9216759489830655
-1.5999999999999999,-2.9,2.903774864376856
-1.5,-2.9,2.8816921600794183
-1.4,-2.9,2.854580728347228
-1.2999999999999998,-2.9,2.8214863564894084
-1.2,-2.9,2.781857332508764
-1.0999999999999999,-2.9,2.734851396799297
-1.0,-2.9,2.6792573812180343
-0.8999999999999999,-2.9,2.6142595037406244
-0.7999999999999998,-2.9,2.5420963640561105
-0.6999999999999997,-2.9,2.4613667880754573
-0.5999999999999996,-2.9,2.3766608450512647
-0.5,-2.9,2.290744078760971
-0.3999999999999999,-2.9,2.210280244355273
-0.2999999999999998,-2.9,2.139949727209637
-0.19999999999999973,-2.9,2.0850251466111964
-0.09999999999999964,-2.9,2.0468523009600648
0.0,-2.9,2.02275401042408
0.10000000000000009,-2.9,2.008594105097293
0.20000000000000018,-2.9,2.000567344959634
0.30000000000000027,-2.9,1.9960508221591295
0.40000000000000036,-2.9,1.99360689587058
0.5,-2.9,1.992341637912926
0.6000000000000001,-2.9,1.9918155992582944
0.7000000000000002,-2.9,1.9916987620173632
0.8000000000000003,-2.9,1.9918012973176378
0.9000000000000004,-2.9,1.992109365638259
1.0,-2.9,1.9924576116408514
1.1000000000000005,-2.9,1.9928821050142362
1.2000000000000002,-2.9,1.993307561544387
1.2999999999999998,-2.9,1.9937251139759788
1.4000000000000004,-2.9,1.9941558062752658
1.5,-2.9,1.9945495432429978
1.6000000000000005,-2.9,1.994930238161259
1.7000000000000002,-2.9,1.9952974537576393
1.8000000000000007,-2.9,1.9956279850711536
1.9000000000000004,-2.9,1.99594571534216
2.0,-2.9,1.9962454555139282
2.1000000000000005,-2.9,1.9965137053009272
2.2,-2.9,1.9967708260745884
2.3000000000000007,-2.9,1.9970115332631775
2.4000000000000004,-2.9,1.9972264629386975
2.5,-2.9,1.9974321296680508
2.6000000000000005,-2.9,1.9976242008338574
2.7,-2.9,1.9977955418556645
2.8000000000000007,-2.9,1.997959316164447
2.9000000000000004,-2.9,1.9981121866194391
3.0,-2.9,1.9982485020257992
-3.0,-2.8,2.9897003615506508
-2.9,-2.8,2.98867304299994
-2.8,-2.8,2.987380854453923
-2.7,-2.8,2.985755871665553
-2.6,-2.8,2.983712964618586
-2.5,-2.8,2.981205914033688
-2.4,-2.8,2.9781203498288975
-2.3,-2.8,2.9742474907958933
-2.2,-2.8,2.9693901807876033
-2.1,-2.8,2.9633040218066524
-2.0,-2.8,2.955687263615571
-1.9,-2.8,2.9462791695560413
-1.7999999999999998,-2.8,2.934659732895306
-1.7,-2.8,2.9202232856192145
-1.5999999999999999,-2.8,2.902344288334016
-1.5,-2.8,2.8802885377825707
-1.4,-2.8,2.8532097589669307
-1.2999999999999998,-2.8,2.820154597491799
-1.2,-2.8,2.780423417189937
-1.0999999999999999,-2.8,2.733482533513261
-1.0,-2.8,2.677962784796939
-0.8999999999999999,-2.8,2.6130481607753384
-0.7999999999999998,-2.8,2.540853055677982
-0.6999999999999997,-2.8,2.46011317825172
-0.5999999999999996,-2.8,2.3755440203156426
-0.5,-2.8,2.289663376025655
-0.3999999999999999,-2.8,2.2091568910842847
-0.2999999999999998,-2.8,2.1388098120177332
-0.19999999999999973,-2.8,2.0838873386922354
-0.09999999999999964,-2.8,2.045612982754024
0.0,-2.8,2.021399305484527
0.10000000000000009,-2.8,2.007104442240075
0.20000000000000018,-2.8,1.9989202549690146
0.30000000000000027,-2.8,1.9944117002118462
0.40000000000000036,-2.8,1.991944750151109
0.5,-2.8,1.9907089489767473
0.6000000000000001,-2.8,1.9901923831837447
0.7000000000000002,-2.8,1.9901335996420424
0.8000000000000003,-2.8,1.9903553905594635
0.9000000000000004,-2.8,1.990708837669699
1.0,-2.8,1.9911693070270944
1.1000000000000005,-2.8,1.9916664532652502
1.2000000000000002,-2.8,1.9921594600957016
1.2999999999999998,-2.8,1.99268411685809
1.4000000000000004,-2.8,1.9931673717045137
1.5,-2.8,1.9936366464510742
1.6000000000000005,-2.8,1.9940931709677663
1.7000000000000002,-2.8,1.9945051982693922
1.8000000000000007,-2.8,1.9949022570010428
1.9000000000000004,-2.8,1.995277644077711
2.0,-2.8,1.9956139606197443
2.1000000000000005,-2.8,1.995936866374329
2.2,-2.8,1.9962391908659862
2.3000000000000007,-2.8,1.9965092702396625
2.4000000000000004,-2.8,1.9967680277267232
2.5,-2.8,1.997009552177864
2.6000000000000005,-2.8,1.9972250604338924
2.7,-2.8,1.9974312447462226
2.8000000000000007,-2.8,1.9976235743559638
2.9000000000000004,-2.8,1.9977950983428592
