# Fig 3A: curves of constant local coefficient nu*eta = c; reference lines nu = 1 (independent ladder) and nu = 3 (trimer ceiling)
nu,eta_c1,eta_c2,eta_c3,eta_c4,eta_c6
0.8613712374581941,1.1609396233741018,2.3218792467482037,3.4828188701223057,4.643758493496407,6.9656377402446115
0.8695652173913044,1.15,2.3,3.4499999999999997,4.6,6.8999999999999995
0.8777591973244148,1.13926462183273,2.27852924366546,3.41779386549819,4.55705848733092,6.83558773099638
0.8859531772575251,1.1287278218195544,2.257455643639109,3.3861834654586636,4.514911287278218,6.772366930917327
0.8941471571906355,1.118384140639611,2.236768281279222,3.3551524219188327,4.473536562558444,6.710304843837665
0.902341137123746,1.1082283172720533,2.2164566345441066,3.3246849518161596,4.432913269088213,6.649369903632319
0.9105351170568563,1.0982552800734617,2.1965105601469235,3.294765840220385,4.393021120293847,6.58953168044077
0.9187290969899666,1.0884601383327266,2.176920276665453,3.2653804149981798,4.353840553330906,6.5307608299963595
0.926923076923077,1.0788381742738589,2.1576763485477177,3.236514522821577,4.3153526970954355,6.473029045643154
0.9351170568561874,1.069384835479256,2.138769670958512,3.2081545064377677,4.277539341917024,6.416309012875535
0.9433110367892977,1.060095727707853,2.120191455415706,3.1802871831235593,4.240382910831412,6.360574366247119
0.9515050167224082,1.0509666080843583,2.1019332161687165,3.1528998242530752,4.203866432337433,6.3057996485061505
0.9596989966555185,1.0419933786373932,2.0839867572747863,3.1259801359121795,4.167973514549573,6.251960271824359
0.9678929765886288,1.0331720801658604,2.0663441603317207,3.099516240497581,4.1326883206634415,6.199032480995162
0.9760869565217392,1.024498886414254,2.048997772828508,3.0734966592427617,4.097995545657016,6.146993318485523
0.9842809364548496,1.0159700985389057,2.0319401970778115,3.0479102956167172,4.063880394155623,6.0958205912334344
0.99247491638796,1.007582139848357,2.015164279696714,3.0227464195450713,4.030328559393428,6.045492839090143
1.0006688963210704,0.9993315508021389,1.9986631016042777,2.9979946524064167,3.9973262032085555,5.995989304812833
1.0088628762541807,0.9912149842532736,1.9824299685065472,2.9736449527598205,3.9648599370130944,5.947289905519641
1.017056856187291,0.9832292009207497,1.9664584018414994,2.949687602762249,3.932916803682999,5.899375205524498
1.0252508361204016,0.975371065079106,1.950742130158212,2.926113195237318,3.901484260316424,5.852226390474636
1.0334448160535117,0.9676375404530745,1.935275080906149,2.9029126213592233,3.870550161812298,5.805825242718447
1.0416387959866222,0.960025686305988,1.920051372611976,2.880077058917964,3.840102745223952,5.760154117835928
1.0498327759197326,0.952532653711373,1.905065307422746,2.8575979611341187,3.810130614845492,5.715195922268237
1.058026755852843,0.9451556819977872,1.8903113639955744,2.8354670459933615,3.780622727991149,5.670934091986723
1.0662207357859534,0.9378920953575908,1.8757841907151815,2.813676286072772,3.751568381430363,5.627352572145544
1.0744147157190636,0.930739299610895,1.86147859922179,2.7922178988326847,3.72295719844358,5.584435797665369
1.082608695652174,0.9236947791164657,1.8473895582329314,2.771084337349397,3.6947791164658628,5.542168674698794
1.0908026755852844,0.916756093821861,1.833512187643722,2.750268281465583,3.667024375287444,5.500536562931166
1.0989966555183948,0.9099208764455264,1.8198417528910529,2.7297626293365793,3.6396835057821058,5.459525258673159
1.107190635451505,0.9031868297840204,1.8063736595680409,2.7095604893520613,3.6127473191360817,5.419120978704123
1.1153846153846154,0.896551724137931,1.793103448275862,2.689655172413793,3.586206896551724,5.379310344827586
1.123578595317726,0.890013394850424,1.780026789700848,2.670040184551272,3.560053579401696,5.340080369102544
1.1317725752508363,0.8835697399527186,1.7671394799054372,2.6507092198581557,3.5342789598108744,5.301418439716311
1.1399665551839466,0.8772187179111045,1.754437435822209,2.6316561537333136,3.508874871644418,5.263312307466627
1.148160535117057,0.8709583454704339,1.7419166909408679,2.612875036411302,3.4838333818817357,5.225750072822604
1.1563545150501673,0.8647866955892985,1.729573391178597,2.5943600867678955,3.459146782357194,5.188720173535791
1.1645484949832778,0.8587018954623777,1.7174037909247555,2.5761056863871334,3.434807581849511,5.152211372774267
1.172742474916388,0.8527021246256952,1.7054042492513903,2.5581063738770853,3.4108084985027807,5.116212747754171
1.1809364548494985,0.8467856131407532,1.6935712262815064,2.5403568394222598,3.3871424525630127,5.0807136788445195
1.1891304347826088,0.8409506398537476,1.6819012797074953,2.522851919561243,3.3638025594149905,5.045703839122486
1.1973244147157192,0.835195530726257,1.670391061452514,2.5055865921787706,3.340782122905028,5.011173184357541
1.2055183946488297,0.8295186572340129,1.6590373144680257,2.4885559717020387,3.3180746289360514,4.977111943404077
1.2137123745819398,0.8239184348305318,1.6478368696610637,2.4717553044915954,3.2956737393221274,4.943510608983191
1.2219063545150504,0.8183933214725604,1.6367866429451208,2.4551799644176815,3.2735732858902415,4.910359928835363
1.2301003344481607,0.8129418162044588,1.6258836324089176,2.4388254486133767,3.2517672648178353,4.877650897226753
1.238294314381271,0.8075624577987845,1.615124915597569,2.4226873733963536,3.230249831195138,4.845374746792707
1.2464882943143816,0.8022538234504962,1.6045076469009925,2.4067614703514884,3.209015293801985,4.813522940702977
1.2546822742474917,0.7970145275223244,1.5940290550446488,2.391043582566973,3.1880581100892975,4.782087165133946
