# Fig 2A: nu*eta = 2.0179, the fitted first-layer coefficient; constrains the product only
nu,eta
2.6312709030100336,0.7668893400108998
2.6394648829431437,0.7645086014363602
2.6476588628762547,0.7621425986908044
2.655852842809365,0.7597911953829183
2.664046822742475,0.7574542567994168
2.672240802675586,0.7551316498793182
2.680434782608696,0.7528232431886897
2.688628762541806,0.7505289068958519
2.696822742474917,0.7482485127470394
2.7050167224080273,0.7459819340425017
2.7132107023411374,0.7437290456130359
2.7214046822742475,0.7414897237969466
2.7295986622073585,0.7392638464174175
2.7377926421404686,0.7370512927602924
2.7459866220735787,0.7348519435522507
2.7541806020066897,0.732665680939375
2.7623745819398,0.7304923884661001
2.77056856187291,0.7283319510545333
2.77876254180602,0.7261842549841433
2.786956521739131,0.7240491878718053
2.795150501672241,0.7219266386521991
2.803344481605351,0.7198164975585486
2.811538461538462,0.7177186561036999
2.8197324414715723,0.7156330070615293
2.8279264214046824,0.7135594444486729
2.8361204013377934,0.7114978635065746
2.8443143812709035,0.7094481606838442
2.8525083612040136,0.7074102336189183
2.8607023411371237,0.7053839811230204
2.8688963210702347,0.7033693031634126
2.877090301003345,0.7013661008469344
2.885284280936455,0.6993742764038199
2.893478260869566,0.6973937331717913
2.901672240802676,0.6954243755804234
2.909866220735786,0.6934661091357686
2.9180602006688963,0.691518840405244
2.9262541806020073,0.689582477002772
2.9344481605351174,0.6876569275741684
2.9426421404682275,0.685742101782776
2.9508361204013385,0.6838379102953364
2.9590301003344486,0.6819442647680988
2.9672240802675587,0.6800610778331553
2.9754180602006697,0.6781882630850057
2.98361204013378,0.6763257350673415
2.99180602006689,0.6744734092600474
3.0,0.6726312020664164
