w,Khat_PII0.5,nu_at_midpoint_PII0.5,range_coefficient_PII0.5,ratio_PII0.5,Khat_PII5,nu_at_midpoint_PII5,range_coefficient_PII5,ratio_PII5,Khat_PII36,nu_at_midpoint_PII36,range_coefficient_PII36,ratio_PII36
1.250000000000000000e+00,1.616457083285823382e+00,2.233836869154042670e+00,6.302227899926371002e+00,8.298652608327766744e-01,2.561149933325837846e+00,2.234014544601565788e+00,6.767286319531147676e+00,9.545923868117882627e-01,1.287365477738023287e+02,2.234128746610205773e+00,8.806131292396697674e+00,5.087364531878008078e-01
1.274999999999999911e+00,1.452843967720231388e+00,2.448358237206125665e+00,6.747317938231423007e+00,7.751228040353563831e-01,2.300014114310614310e+00,2.448522979337159011e+00,7.247494530944516455e+00,8.913425146328619597e-01,1.154519039941120582e+02,2.448629038999701635e+00,9.427832583032460079e+00,4.751887520852655644e-01
1.300000000000000044e+00,1.308016712686336236e+00,2.685962602244640340e+00,7.241749333303108216e+00,7.222011919065544072e-01,2.069345831944011227e+00,2.686113220630387932e+00,7.780778773745496757e+00,8.302510825520229565e-01,1.037573399235730136e+02,2.686210341121409773e+00,1.011843485972335621e+01,4.427562228850960846e-01
1.324999999999999956e+00,1.179627937409505556e+00,2.947724078606694054e+00,7.792869382025560121e+00,6.711263520036817587e-01,1.865211871588299042e+00,2.947859939907033766e+00,8.375131334703729280e+00,7.713311877548632012e-01,9.343725233869454883e+01,2.947947680608641541e+00,1.088848016288737064e+01,4.114440154163819807e-01
1.350000000000000089e+00,1.065634388295016777e+00,3.234185521778561778e+00,8.409125940637558472e+00,6.219433549836305142e-01,1.684222778197698611e+00,3.234306484146109106e+00,9.039750787110083508e+00,7.146214704515317928e-01,8.430857761734917233e+01,3.234384720983045636e+00,1.175012135482409370e+01,3.812726579339289490e-01
1.375000000000000000e+00,9.642592200603591346e-01,3.545200409453734380e+00,9.100018547899203725e+00,5.747241033049739212e-01,1.523455436343817082e+00,3.545306754818298600e+00,9.784999295168082867e+00,6.601942223123106190e-01,7.621539942751104491e+01,3.545375638647801697e+00,1.271708933890990423e+01,3.522818689566603045e-01
1.399999999999999911e+00,8.739577952652050064e-01,3.879795609161607928e+00,9.875833345909606820e+00,5.295755625692258883e-01,1.380386276190496364e+00,3.879887970235513794e+00,1.062212811183126426e+01,6.081643840093254871e-01,6.902452700912972716e+01,3.879947881269113275e+00,1.380436287361716907e+01,3.245350793090316932e-01
1.425000000000000044e+00,7.933871910964800378e-01,4.236078759535394589e+00,1.074700767424540260e+01,4.866470889877003159e-01,1.252833941742640178e+00,4.236158042095675924e+00,1.156260181762535133e+01,5.586977828945691726e-01,6.262185595750285927e+01,4.236209540734789947e+00,1.502731414922030417e+01,2.981238001357978118e-01
1.449999999999999956e+00,7.213793244476817135e-01,4.611213179881447743e+00,1.172294701189906441e+01,4.461335528251922367e-01,1.138910247422115773e+00,4.611280483407887765e+00,1.261682296900755418e+01,5.120147929370643114e-01,5.690936237513614770e+01,4.611324259524964830e+00,1.640005664877241287e+01,2.731697881260269911e-01
1.475000000000000089e+00,6.569174554539944921e-01,5.001476964631682343e+00,1.281018757085625559e+01,4.082688072342111618e-01,1.036978312695810533e+00,5.001533505611790886e+00,1.379213131454685559e+01,4.683830114919584342e-01,5.180261164459732015e+01,5.001570329127742021e+00,1.793280603361459313e+01,2.498214719772440251e-01
