enzyme_target_ratio,G_over_K,total_fraction_lambda1,total_fraction_lambda4,gap,rigorous_pairwise_bound
1.000000000000000056e-01,3.932235335728213599e+00,8.615540887594185238e-01,8.575401520970211688e-01,4.013936662397354915e-03,1.000000000000000056e-01
1.000000000000000056e-01,4.336244396414017821e+00,8.388678814960482955e-01,8.348338334194177479e-01,4.034048076630547541e-03,1.000000000000000056e-01
1.000000000000000056e-01,4.781762498950185680e+00,8.137401595825453082e-01,8.098280987948018872e-01,3.912060787743421031e-03,1.000000000000000056e-01
1.000000000000000056e-01,5.273054400548867093e+00,7.861696553992105763e-01,7.824973099535605936e-01,3.672345445649982665e-03,1.000000000000000056e-01
1.000000000000000056e-01,5.814823031727796021e+00,7.562012545138788733e-01,7.528529351391329838e-01,3.348319374745889476e-03,1.000000000000000056e-01
1.000000000000000056e-01,6.412254515483961193e+00,7.239411393448549337e-01,7.209655938311261281e-01,2.975545513728805602e-03,1.000000000000000056e-01
1.000000000000000056e-01,7.071067811865474617e+00,6.895747576734557738e-01,6.869885391630118354e-01,2.586218510443938357e-03,1.000000000000000056e-01
1.000000000000000056e-01,7.797569463168178672e+00,6.533829024753392556e-01,6.511770317403526853e-01,2.205870734986570270e-03,1.000000000000000056e-01
1.000000000000000056e-01,8.598713963809681005e+00,6.157503180394680031e-01,6.138980748888095418e-01,1.852243150658461346e-03,1.000000000000000056e-01
1.000000000000000056e-01,9.482170332776291843e+00,5.771620229540508351e-01,5.756262730248932202e-01,1.535749929157614879e-03,1.000000000000000056e-01
1.000000000000000056e-01,1.045639552591272725e+01,5.381848846224751570e-01,5.369240535818556870e-01,1.260831040619470045e-03,1.000000000000000056e-01
1.000000000000000056e-01,1.153071539079968311e+01,4.994353275009275617e-01,4.984077294246457845e-01,1.027598076281777129e-03,1.000000000000000056e-01
1.000000000000000056e-01,1.271541393916609408e+01,4.615374588747074291e-01,4.607040753566778446e-01,8.333835180295845468e-04,1.000000000000000056e-01
1.000000000000000056e-01,1.402183179140337721e+01,4.250782948324922650e-01,4.244042952275505209e-01,6.739996049417440460e-04,1.000000000000000056e-01
1.000000000000000056e-01,1.546247473554957885e+01,3.905674007633044287e-01,3.900227463126401117e-01,5.446544506643169470e-04,1.000000000000000056e-01
1.000000000000000056e-01,1.705113343993265929e+01,3.584069840570611176e-01,3.579664294154714654e-01,4.405546415896521850e-04,1.000000000000000056e-01
1.000000000000000056e-01,1.880301546543196523e+01,3.288758290270437645e-01,3.285185705167754655e-01,3.572585102682990232e-04,1.000000000000000056e-01
1.000000000000000056e-01,2.073489084105543157e+01,3.021273932885385483e-01,3.018365432005818416e-01,2.908500879567066377e-04,1.000000000000000056e-01
1.000000000000000056e-01,2.286525259636630025e+01,2.781998194501311694e-01,2.779618245773362584e-01,2.379948727949110499e-04,1.000000000000000056e-01
1.000000000000000056e-01,2.521449378746882530e+01,2.570341186027652047e-01,2.568381940386619822e-01,1.959245641032225649e-04,1.000000000000000056e-01
