G_over_K,bound_exchange_rate,lambda,free_modified_fraction,total_modified_fraction,no_exchange_free_fraction,residual
1.000000000000000000e+00,5.623413251903490971e-03,1.000000000000000000e+00,9.888829605567823755e-01,9.882268300211826118e-01,9.893730667424024405e-01,1.402813615595209507e-17
1.000000000000000000e+00,5.623413251903490971e-03,4.000000000000000000e+00,9.890641471054200107e-01,9.884450682205692118e-01,9.893730667424024405e-01,3.300040362502754121e-18
1.000000000000000000e+00,1.000000000000000021e-02,1.000000000000000000e+00,9.885368702426513554e-01,9.880063278413517835e-01,9.893730667424024405e-01,1.759466578915526089e-15
1.000000000000000000e+00,1.000000000000000021e-02,4.000000000000000000e+00,9.888474504069090232e-01,9.882896151896701786e-01,9.893730667424024405e-01,3.303557073893164525e-14
1.000000000000000000e+00,1.778279410038922925e-02,1.000000000000000000e+00,9.879885432586651417e-01,9.876058347600896736e-01,9.893730667424024405e-01,5.255378440031390451e-15
1.000000000000000000e+00,1.778279410038922925e-02,4.000000000000000000e+00,9.885011428916440357e-01,9.880259105367468209e-01,9.893730667424024405e-01,8.820450541290568436e-17
1.000000000000000000e+00,3.162277660168379134e-02,1.000000000000000000e+00,9.871841369336514793e-01,9.869487942044682383e-01,9.893730667424024405e-01,7.562310153086393427e-18
1.000000000000000000e+00,3.162277660168379134e-02,4.000000000000000000e+00,9.879706508830052858e-01,9.876025876936964654e-01,9.893730667424024405e-01,8.610725183550403672e-17
1.000000000000000000e+00,5.623413251903491145e-02,1.000000000000000000e+00,9.861281314312912993e-01,9.860146197701257220e-01,9.893730667424024405e-01,6.573383940573947204e-15
1.000000000000000000e+00,5.623413251903491145e-02,4.000000000000000000e+00,9.872028473420952910e-01,9.869606673198929592e-01,9.893730667424024405e-01,4.681659011471998172e-14
1.000000000000000000e+00,1.000000000000000056e-01,1.000000000000000000e+00,9.849263210026072413e-01,9.848923838191419033e-01,9.893730667424024405e-01,6.925341376751159572e-18
1.000000000000000000e+00,1.000000000000000056e-01,4.000000000000000000e+00,9.861816701033268018e-01,9.860672766785947285e-01,9.893730667424024405e-01,5.046114079972768840e-17
1.000000000000000000e+00,1.778279410038922925e-01,1.000000000000000000e+00,9.837609991122203690e-01,9.837620863066588450e-01,9.893730667424024405e-01,7.968885967768457590e-18
1.000000000000000000e+00,1.778279410038922925e-01,4.000000000000000000e+00,9.849776635143911996e-01,9.849711841131916223e-01,9.893730667424024405e-01,1.138412281109779656e-17
