eta,G_uM,fixed_free_GS_gap,closed_GS_gap,RHS
0.00026366508987303583,7329.114385542688,2.0857476412672327e-08,2.408692146849134e-07,4.718447854656915e-16
0.00026366508987303583,8561.024696578494,1.507054769867011e-08,1.7456258505355038e-07,4.0245584642661925e-16
0.00026366508987303583,10000.0,1.0938797534443268e-08,1.2541441296587408e-07,6.245004513516506e-16
0.00042813323987193956,20.0,1.7369521400074743e-10,1.7286791141883813e-10,6.938893903907228e-18
0.00042813323987193956,23.361689410840295,2.8333820619591554e-10,2.823462033835558e-10,6.938893903907228e-18
0.00042813323987193956,27.288426606428374,4.862727789065133e-10,4.852877954900688e-10,1.0408340855860843e-17
0.00042813323987193956,31.87518734449451,8.76034846552208e-10,8.757713027809835e-10,6.938893903907228e-18
0.00042813323987193956,37.23291133272139,1.650879956989395e-09,1.653707594635994e-09,3.469446951953614e-18
0.00042813323987193956,43.49118552081964,3.240075573725937e-09,3.253220961336404e-09,1.3877787807814457e-17
0.00042813323987193956,50.80137841233114,6.589904785541615e-09,6.634512734657837e-09,6.938893903907228e-18
0.00042813323987193956,59.34030120557235,1.3816398988005657e-08,1.3952665406673139e-08,1.0408340855860843e-17
0.00042813323987193956,69.31448431551465,2.9700681648684238e-08,3.009514058891372e-08,6.938893903907228e-18
0.00042813323987193956,80.9651727125807,6.511184523657048e-08,6.620445093313485e-08,6.938893903907228e-18
0.00042813323987193956,94.5741609003176,1.4479212358611566e-07,1.4763652571422783e-07,3.469446951953614e-18
0.00042813323987193956,110.47060866220276,3.248259860880176e-07,3.3133031744430295e-07,1.0408340855860843e-17
0.00042813323987193956,129.0390024296432,7.309322504591223e-07,7.408114628549688e-07,1.0408340855860843e-17
0.00042813323987193956,150.72845483229952,1.639228334634514e-06,1.6240401340132833e-06,1.6479873021779667e-17
0.00042813323987193956,176.06356735840254,3.6358222322112332e-06,3.4022702417868533e-06,2.0816681711721685e-17
0.00042813323987193956,205.65711885957793,7.895715280092919e-06,6.5933884720956876e-06,4.163336342344337e-17
0.00042813323987193956,240.22488679628626,1.6544722459450184e-05,1.1729009821916103e-05,4.5102810375396984e-17
0.00042813323987193956,280.60295970445543,3.2688736379349326e-05,2.0443403076997324e-05,6.245004513516506e-17
0.00042813323987193956,327.76795961890105,5.8668059020119956e-05,3.66037963078214e-05,6.938893903907228e-17
0.00042813323987193956,382.86066357208045,9.042882996640467e-05,5.994256437399925e-05,5.5077470362263625e-17
