G_uM,epsilon,direct,J,PII_TV,GS_total_gap,GS_free_gap,GS_bound,GS_condition_bound
31.87518734449451,0.17888543819998323,0.0,0.0,0.0001311350189066839,8.032529597734543e-13,0.0,0.022360679774997904,0.022360679774997904
31.87518734449451,0.26013796504969466,0.0,0.0,0.0001902585974762245,2.0464511255228568e-12,0.0,0.03251724563121183,0.03251724563121183
31.87518734449451,0.37829664360127047,0.0,0.0,0.00027557272922009454,5.777054213382843e-12,0.0,0.04728708045015881,0.04728708045015881
31.87518734449451,0.5501248175469059,0.0,0.0,0.0003976667459253571,1.940085724706957e-11,0.0,0.06876560219336324,0.06876560219336324
31.87518734449451,0.8,0.0,0.0,0.0005679339120324559,8.859231346531824e-11,0.0,0.1,0.1
37.23291133272139,0.0001,0.0,0.0,9.762057829776295e-08,3.824353756853166e-19,0.0,1.25e-05,1.25e-05
37.23291133272139,0.00014542154334489538,0.0,0.0,1.4196116231538982e-07,3.110728498791418e-19,1.4823076576950256e-21,1.8177692918111922e-05,1.8177692918111922e-05
37.23291133272139,0.00021147425268811283,0.0,0.0,2.0644171308327375e-07,7.199780051661553e-20,2.117582368135751e-22,2.6434281586014103e-05,2.6434281586014103e-05
37.23291133272139,0.00030752912203613756,0.0,0.0,3.0020987874205814e-07,1.2098806860343612e-18,0.0,3.8441140254517195e-05,3.8441140254517195e-05
37.23291133272139,0.00044721359549995795,0.0,0.0,4.365680496041274e-07,4.0966748493954236e-18,0.0,5.5901699437494744e-05,5.5901699437494744e-05
37.23291133272139,0.0006503449126242365,0.0,0.0,6.348602089965857e-07,1.090279633882054e-17,0.0,8.129311407802956e-05,8.129311407802956e-05
37.23291133272139,0.000945741609003176,0.0,0.0,9.23215506457358e-07,2.6326842791847722e-17,1.6940658945086007e-21,0.000118217701125397,0.000118217701125397
37.23291133272139,0.0013753120438672643,0.0,0.0,1.3425372931188772e-06,6.04556001817364e-17,1.376428539288238e-21,0.00017191400548340803,0.00017191400548340803
37.23291133272139,0.0020000000000000005,0.0,0.0,1.9523025924969746e-06,1.3490122003679845e-16,0.0,0.00025000000000000006,0.00025000000000000006
37.23291133272139,0.0029084308668979077,0.0,0.0,2.8389926492206794e-06,2.958467973775353e-16,0.0,0.00036355385836223846,0.00036355385836223846
37.23291133272139,0.0042294850537622575,0.0,0.0,4.128346148997324e-06,6.4194329495534e-16,1.5881867761018131e-21,0.0005286856317202822,0.0005286856317202822
37.23291133272139,0.0061505824407227525,0.0,0.0,6.003163931444196e-06,1.384145856470672e-15,2.117582368135751e-22,0.0007688228050903441,0.0007688228050903441
