eta,direct,J,epsilon,G_uM,total_GS_gap,bound
0.1,1,0.4,0.01,1303.672689737678,1.3779559697724153e-06,0.031391874289600635
0.1,1,0.4,0.01,1614.7276486997293,1.2655031971231523e-06,0.031391874289600635
0.1,1,0.4,0.01,2000.0,1.1372298371892242e-06,0.031391874289600635
0.1,1,0.4,0.1,100.0,7.738183677448549e-09,0.3184595505148419
0.1,1,0.4,0.1,123.85989684455544,8.171663250790783e-09,0.3184595505148419
0.1,1,0.4,0.1,153.41274046343915,7.298583687866524e-09,0.3184595505148419
0.1,1,0.4,0.1,190.0168620844211,4.3467736018129415e-09,0.3184595505148419
0.1,1,0.4,0.1,235.35468936502514,1.4303003638784818e-09,0.3184595505148419
0.1,1,0.4,0.1,291.51007546634406,4.888887340857677e-09,0.3184595505148419
0.1,1,0.4,0.1,361.06407876409946,4.232833057931512e-08,0.3184595505148419
0.1,1,0.4,0.1,447.213595499958,1.1267342412725478e-07,0.3184595505148419
0.1,1,0.4,0.1,553.9182980610753,5.490669381935653e-06,0.3184595505148419
0.1,1,0.4,0.1,686.0826325815651,1.3391272081442196e-05,0.3184595505148419
0.1,1,0.4,0.1,849.781240983936,1.4584727333954994e-05,0.3184595505148419
0.1,1,0.4,0.1,1052.5381684870872,1.4768199196990572e-05,0.3184595505148419
0.1,1,0.4,0.1,1303.672689737678,1.4093893788258427e-05,0.3184595505148419
0.1,1,0.4,0.1,1614.7276486997293,1.2926068513219313e-05,0.3184595505148419
0.1,1,0.4,0.1,2000.0,1.160403748379224e-05,0.3184595505148419
0.1,1,0.4,0.8,100.0,3.9999448049028456e-07,1
0.1,1,0.4,0.8,123.85989684455544,4.277418560819779e-07,1
0.1,1,0.4,0.8,153.41274046343915,4.3417361297740445e-07,1
0.1,1,0.4,0.8,190.0168620844211,4.1297214085332667e-07,1
0.1,1,0.4,0.8,235.35468936502514,3.3477302224853506e-07,1
0.1,1,0.4,0.8,291.51007546634406,2.0470010695717612e-07,1
0.1,1,0.4,0.8,361.06407876409946,3.8243505341923126e-07,1
0.1,1,0.4,0.8,447.213595499958,8.502114066831143e-07,1
0.1,1,0.4,0.8,553.9182980610753,8.776911486285677e-05,1
0.1,1,0.4,0.8,686.0826325815651,0.00013765324161196801,1
0.1,1,0.4,0.8,849.781240983936,0.00014389744021958695,1
0.1,1,0.4,0.8,1052.5381684870872,0.0001417803538847906,1
0.1,1,0.4,0.8,1303.672689737678,0.0001329460030616847,1
0.1,1,0.4,0.8,1614.7276486997293,0.00012050741629021644,1
0.1,1,0.4,0.8,2000.0,0.00010726365318347586,1
1,0,0,0.01,100.0,2.516278753644883e-08,0.0037625786760090534
1,0,0,0.01,123.85989684455544,6.864395537273596e-08,0.0037625786760090534
1,0,0,0.01,153.41274046343915,1.7244855842705326e-07,0.0037625786760090534
1,0,0,0.01,190.0168620844211,3.909162504343172e-07,0.0037625786760090534
1,0,0,0.01,235.35468936502514,7.617458593831006e-07,0.0037625786760090534
1,0,0,0.01,291.51007546634406,1.2409184784734073e-06,0.0037625786760090534
1,0,0,0.01,361.06407876409946,1.5692281540857778e-06,0.0037625786760090534
1,0,0,0.01,447.213595499958,1.2606647146196082e-06,0.0037625786760090534
1,0,0,0.01,553.9182980610753,4.191441924650263e-07,0.0037625786760090534
1,0,0,0.01,686.0826325815651,3.6108262979617223e-07,0.0037625786760090534
1,0,0,0.01,849.781240983936,8.478841210246557e-07,0.0037625786760090534
1,0,0,0.01,1052.5381684870872,1.088847499386425e-06,0.0037625786760090534
1,0,0,0.01,1303.672689737678,1.1662593781824881e-06,0.0037625786760090534
1,0,0,0.01,1614.7276486997293,1.1464530258464833e-06,0.0037625786760090534
1,0,0,0.01,2000.0,1.078070774207518e-06,0.0037625786760090534
1,0,0,0.1,100.0,2.6822986637820186e-07,0.03883403898972401
1,0,0,0.1,123.85989684455544,7.307852661665466e-07,0.03883403898972401
