protein,activity,ATP_uM,IDH_form_uM,ATP_over_Km,protein_over_apparent_Kd,ordered_protein_bound,random_protein_bound,occupancy_contrast,ordered_rate_nmol_mg_min,random_rate_nmol_mg_min
AceK4,kinase,32.0,3.809375,0.1,1.0,0.04748253001254256,0.5222645078407537,0.4747819778282112,23.74126500627128,23.719004024634785
AceK4,kinase,32.0,38.09375,0.1,10.0,0.08329142569776214,0.9161916355512205,0.8329002098534584,41.64571284888107,41.60749741532868
AceK4,kinase,320.0,0.38093750000000004,1.0,0.1,0.07934131736526946,0.1585739094555459,0.07923259209027643,39.67065868263473,39.632172885043424
AceK4,kinase,320.0,3.809375,1.0,1.0,0.32675709001233044,0.6532313356339636,0.3264742456216332,163.3785450061652,163.234560886751
AceK4,kinase,320.0,38.09375,1.0,10.0,0.47482530012542556,0.9495851144564453,0.47475981433101977,237.41265006271277,237.27904623137357
AceK4,kinase,3200.0,0.38093750000000004,10.0,0.1,0.36985345429169575,0.40644832438371076,0.03659487009201501,184.92672714584788,184.7459715770385
AceK4,kinase,3200.0,3.809375,10.0,1.0,0.7934131736526946,0.8722765319444997,0.07886335829180513,396.7065868263473,396.4671709206591
AceK4,kinase,3200.0,38.09375,10.0,10.0,0.8960270498732038,0.9855395179910542,0.08951246811785041,448.0135249366019,447.9343086746195
WT,phosphatase,0.0,0.6533333333333334,0.0,0.1,0.0,0.09090909090909093,0.09090909090909093,0.0,0.0
WT,phosphatase,0.0,6.533333333333334,0.0,1.0,0.0,0.5,0.5,0.0,0.0
WT,phosphatase,0.0,65.33333333333334,0.0,10.0,0.0,0.9090909090909091,0.9090909090909091,0.0,0.0
WT,phosphatase,0.06,0.6533333333333334,0.01,0.1,0.000907760425350599,0.09168262901319747,0.09077486858784688,0.05446562552103594,0.054425979530428964
WT,phosphatase,0.06,6.533333333333334,0.01,1.0,0.004973609419407226,0.5023299920286033,0.49735638260919607,0.2984165651644336,0.2981349265948109
WT,phosphatase,0.06,65.33333333333334,0.01,10.0,0.009008512124721932,0.909858154003745,0.900849641879023,0.540510727483316,0.5399784281516191
WT,phosphatase,0.6000000000000001,0.6533333333333334,0.1,0.1,0.008959590418723715,0.0985438002434969,0.08958420982477319,0.5375754251234229,0.5371671879527733
WT,phosphatase,0.6000000000000001,6.533333333333334,0.1,1.0,0.04748062015503876,0.5222435521153512,0.4747629319603125,2.8488372093023258,2.8461681710829745
WT,phosphatase,0.6000000000000001,65.33333333333334,0.1,10.0,0.08329083800781914,0.9161851781907744,0.8328943401829553,4.997450280469148,4.992864911646261
WT,phosphatase,6.0,0.6533333333333334,1.0,0.1,0.07928802588996763,0.15846783252226831,0.07917980663230069,4.757281553398058,4.752684392693148
WT,phosphatase,6.0,6.533333333333334,1.0,1.0,0.32666666666666666,0.6530510715735177,0.32638440490685106,19.6,19.58275367142179
WT,phosphatase,6.0,65.33333333333334,1.0,10.0,0.4748062015503876,0.9495469513439891,0.47474074979360154,28.488372093023255,28.472343544961294
WT,phosphatase,60.0,0.6533333333333334,10.0,0.1,0.36869826937547023,0.405181128586778,0.03648285921130778,22.121896162528213,22.100400760954702
WT,phosphatase,60.0,6.533333333333334,10.0,1.0,0.7928802588996764,0.871692978097342,0.07881271919766564,47.57281553398058,47.54424554245587
WT,phosphatase,60.0,65.33333333333334,10.0,10.0,0.8959590418723716,0.9854647978041177,0.08950575593174603,53.7575425123423,53.748045696586786
AceK3,phosphatase,0.0,2.020754716981132,0.0,0.1,0.0,0.0909090909090909,0.0909090909090909,0.0,0.0
AceK3,phosphatase,0.0,20.20754716981132,0.0,1.0,0.0,0.5,0.5,0.0,0.0
AceK3,phosphatase,0.0,202.0754716981132,0.0,10.0,0.0,0.9090909090909091,0.9090909090909091,0.0,0.0
AceK3,phosphatase,0.53,2.020754716981132,0.01,0.1,0.0008997724105079301,0.09087619735040176,0.08997642493989383,0.021594537852190322,0.021583221740056897
AceK3,phosphatase,0.53,20.20754716981132,0.01,1.0,0.004949534161490683,0.49990050808497033,0.49495097392347964,0.11878881987577639,0.11871064372037327
AceK3,phosphatase,0.53,202.0754716981132,0.01,10.0,0.009000582390625275,0.9090580301879712,0.9000574477973459,0.2160139773750066,0.21581866036028494
AceK3,phosphatase,5.300000000000001,2.020754716981132,0.1,0.1,0.008237764496850267,0.0906079350036873,0.08237017050683704,0.19770634792440642,0.19760037598239227
AceK3,phosphatase,5.300000000000001,20.20754716981132,0.1,1.0,0.04537366548042705,0.4990878862307423,0.45371422075031526,1.0889679715302494,1.0882850602046583
AceK3,phosphatase,5.300000000000001,202.0754716981132,0.1,10.0,0.08261785193584968,0.9087890840039157,0.826171232068066,1.9828284464603922,1.9811804783673492
